10,"SELECT   A.RAJ2#,A.DEJ2#,C.ra,C.dec,C.err_maj,C.err_min,C.err_ang,C.j_m,C.j_cmsig,C.j_msigcom,C.j_snr,C.h_m,C.h_cmsig,C.h_msigcom,C.h_snr,C.k_m,C.k_cmsig,C.k_msigcom,C.k_snr,A.INDX,B.distance FROM    MyDB.WISE_AGN_R9#_ptsrc_VIZIER AS A    OUTER APPLY dbo.fGetNearestObjEq( A.RAJ2#, A.DEJ2#, #/#.) AS B    LEFT OUTER JOIN PhotoObjAll AS C ON B.objID=C.objID WHERE    A.INDX BETWEEN # AND # INTO    MyDB.WISE_AGN_R9#_ptsrc_VIZIER6#_SDSSTwomass_#as"
2019-09-08 18:48:00,1
2019-09-08 18:51:00,1
2019-09-08 18:54:00,1
2019-09-08 18:56:00,1
2019-09-08 18:59:00,1
2019-09-08 19:02:00,1
2019-09-08 19:05:00,1
2019-09-08 19:08:00,1
2019-09-08 19:11:00,1
2019-09-08 19:13:00,1
