10,"SELECT   A.RAJ2#,A.DEJ2#,C.ra,C.dec,C.err_maj,C.err_min,C.err_ang,C.j_m,C.j_cmsig,C.j_msigcom,C.j_snr,C.h_m,C.h_cmsig,C.h_msigcom,C.h_snr,C.k_m,C.k_cmsig,C.k_msigcom,C.k_snr,A.INDX,B.distance FROM    MyDB.WISE_AGN_R9#_ptsrc_VIZIER AS A    OUTER APPLY dbo.fGetNearestObjEq( A.RAJ2#, A.DEJ2#, #/#.) AS B    LEFT OUTER JOIN PhotoObjAll AS C ON B.objID=C.objID WHERE    A.INDX BETWEEN # AND # INTO    MyDB.WISE_AGN_R9#_ptsrc_VIZIER7#_SDSSTwomass_#as"
2019-09-08 19:16:00,1
2019-09-08 19:19:00,1
2019-09-08 19:22:00,1
2019-09-08 19:25:00,1
2019-09-08 19:28:00,1
2019-09-08 19:31:00,1
2019-09-08 19:35:00,1
2019-09-08 19:38:00,1
2019-09-08 19:41:00,1
2019-09-08 19:44:00,1
