22,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-04-10 03:06:00,1
2019-04-10 06:05:00,1
2019-04-10 06:06:00,1
2019-04-10 06:08:00,1
2019-04-10 06:09:00,1
2019-04-10 06:10:00,1
2019-04-10 06:12:00,1
2019-04-10 06:13:00,1
2019-04-10 09:09:00,1
2019-04-10 09:10:00,1
2019-04-10 09:12:00,1
2019-04-10 09:13:00,1
2019-04-10 09:14:00,1
2019-04-10 09:16:00,1
2019-04-10 09:17:00,1
2019-04-10 11:55:00,1
2019-04-10 11:56:00,1
2019-04-10 11:57:00,1
2019-04-10 11:59:00,1
2019-04-10 12:00:00,1
2019-04-10 12:01:00,1
2019-04-10 12:03:00,1
