11,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-10-10 05:54:00,1
2019-10-10 05:56:00,1
2019-10-10 05:59:00,1
2019-10-10 06:04:00,1
2019-10-10 06:13:00,1
2019-10-10 06:30:00,1
2019-10-10 08:46:00,1
2019-10-10 08:48:00,1
2019-10-10 08:51:00,1
2019-10-10 08:56:00,1
2019-10-10 13:11:00,1
