18,"select count(*), stim_timestamps.timestamp from session_eeg, stim_timestamps              where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp              group by stim_timestamps.timestamp             )              select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps              where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp             order by stim_timestamps_index.index_value"
2019-02-18 16:29:00,2
2019-02-18 16:30:00,3
2019-02-18 16:31:00,2
2019-02-18 16:32:00,2
2019-02-18 16:33:00,1
2019-02-18 16:34:00,2
2019-02-18 16:35:00,1
2019-02-18 16:36:00,2
2019-02-18 16:37:00,1
2019-02-18 16:38:00,1
2019-02-18 16:40:00,1
