141,"SELECT  s.objid,sz.ra as ra,sz.dec as dec,pz.z as photoz,pz.zerr as photozerr,sz.z as specz, sz.zerr as speczerr,b.distance as proj_sep,s.modelMag_u as umag,s.modelMagErr_u as umagerr, s.modelMag_g as gmag,s.modelMagErr_g as gmagerr,s.modelMag_r as rmag, s.modelMagerr_r as rmagerr, s.type as obj_type  FROM BESTDR1#..PhotoObjAll as s  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = S.objID  JOIN Photoz as pz ON pz.objid = s.objid  JOIN specObjAll as sz ON sz.bestobjid = s.objid  WHERE (s.type=# and sz.z > # and sz.z < #)"
2019-05-12 08:13:00,1
2019-05-12 08:14:00,1
2019-05-12 08:15:00,4
2019-05-12 08:16:00,3
2019-05-12 08:17:00,3
2019-05-12 08:18:00,2
2019-05-12 08:19:00,2
2019-05-12 08:20:00,2
2019-05-12 08:21:00,3
2019-05-12 08:22:00,4
2019-05-12 08:23:00,2
2019-05-12 08:24:00,2
2019-05-12 08:25:00,2
2019-05-12 08:32:00,1
2019-05-12 08:33:00,3
2019-05-12 08:34:00,2
2019-05-12 08:35:00,2
2019-05-12 08:36:00,3
2019-05-12 08:37:00,2
2019-05-12 08:38:00,3
2019-05-12 08:39:00,4
2019-05-12 08:40:00,3
2019-05-12 08:42:00,1
2019-05-12 08:43:00,4
2019-05-12 08:44:00,3
2019-05-12 08:45:00,2
2019-05-12 08:46:00,2
2019-05-12 09:48:00,1
2019-05-12 09:49:00,3
2019-05-12 09:50:00,3
2019-05-12 09:51:00,2
2019-05-12 09:52:00,4
2019-05-12 09:53:00,3
2019-05-12 09:54:00,3
2019-05-12 09:55:00,2
2019-05-12 09:56:00,3
2019-05-12 09:57:00,1
2019-05-12 09:58:00,2
2019-05-12 09:59:00,3
2019-05-12 10:00:00,4
2019-05-12 10:01:00,3
2019-05-12 10:02:00,4
2019-05-12 10:03:00,3
2019-05-12 10:33:00,2
2019-05-12 10:34:00,3
2019-05-12 10:35:00,3
2019-05-12 10:36:00,4
2019-05-12 10:37:00,3
2019-05-12 10:38:00,3
2019-05-12 10:39:00,4
2019-05-12 10:40:00,3
2019-05-12 10:41:00,3
2019-05-12 10:42:00,3
