36,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#)n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and(p.g BETWEEN # and #) order by p.g"
2019-05-26 01:06:00,1
2019-05-26 01:09:00,1
2019-05-26 01:11:00,1
2019-05-26 01:35:00,1
2019-05-26 01:52:00,1
2019-05-26 01:56:00,1
2019-05-26 01:59:00,1
2019-05-26 02:01:00,1
2019-05-26 02:03:00,1
2019-05-26 02:05:00,2
2019-05-26 02:10:00,1
2019-05-26 02:12:00,1
2019-05-26 02:32:00,1
2019-05-26 02:35:00,1
2019-05-26 02:36:00,2
2019-05-26 02:37:00,1
2019-05-26 02:38:00,1
2019-05-26 02:39:00,1
2019-05-26 02:40:00,1
2019-05-26 02:42:00,1
2019-05-26 02:43:00,1
2019-05-26 02:44:00,2
2019-05-26 02:50:00,1
2019-05-26 02:53:00,1
2019-05-26 02:54:00,1
2019-05-26 03:00:00,1
2019-05-26 03:01:00,1
2019-05-26 03:02:00,1
2019-05-26 03:03:00,1
2019-05-26 03:04:00,1
2019-05-26 03:49:00,1
2019-05-26 03:52:00,1
2019-05-26 03:55:00,1
