21,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-03-12 00:52:00,1
2019-03-12 00:54:00,1
2019-03-12 01:33:00,1
2019-03-12 09:36:00,1
2019-03-12 10:40:00,1
2019-03-12 10:43:00,1
2019-03-12 10:47:00,1
2019-03-12 10:55:00,1
2019-03-12 10:56:00,1
2019-03-12 11:02:00,1
2019-03-12 11:03:00,1
2019-03-12 11:04:00,1
2019-03-12 11:07:00,1
2019-03-12 11:08:00,1
2019-03-12 11:25:00,1
2019-03-12 11:26:00,1
2019-03-12 11:43:00,1
2019-03-12 20:02:00,1
2019-03-12 20:22:00,1
2019-03-12 20:25:00,1
2019-03-12 21:26:00,1
