41,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #e-#) )"
2019-04-10 04:19:00,1
2019-04-11 04:43:00,1
2019-04-11 20:06:00,1
2019-04-14 23:44:00,1
2019-04-17 03:23:00,1
2019-04-18 08:38:00,1
2019-04-18 12:55:00,1
2019-06-01 11:20:00,1
2019-06-03 19:12:00,1
2019-06-04 13:57:00,1
2019-06-06 17:19:00,1
2019-08-05 23:26:00,1
2019-08-17 20:59:00,1
2019-08-18 02:48:00,1
2019-10-11 13:13:00,1
2019-10-14 15:00:00,1
2019-10-14 23:16:00,1
2019-10-22 23:23:00,1
2019-10-27 20:12:00,1
2019-10-30 14:38:00,1
2019-10-30 15:00:00,1
2019-10-30 15:05:00,1
2019-11-21 16:18:00,1
2019-11-21 16:33:00,1
2019-11-21 19:56:00,1
2019-11-21 21:23:00,1
2019-11-22 04:37:00,1
2019-11-22 06:37:00,1
2019-11-22 07:20:00,1
2019-11-22 11:38:00,1
2019-11-25 14:47:00,1
2019-11-25 17:04:00,1
2019-11-25 17:46:00,1
2019-11-25 18:50:00,1
2019-11-25 20:27:00,1
2019-11-26 03:30:00,1
2019-11-26 06:10:00,1
2019-11-26 16:50:00,1
2019-11-26 21:30:00,1
2019-11-27 00:47:00,1
2019-11-27 05:14:00,1
