19,"CREATE TABLE [Typical_diet_yesterday] (eid BIGINT NOT # , [Portion_size_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Typical_diet_yesterday_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Reason_for_not_eating_or_drinking_normally_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Type_of_special_diet_followed_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , PRIMARY KEY (eid) ) GO"
2019-04-15 13:26:00,1
2019-04-15 13:36:00,1
2019-04-16 08:57:00,1
2019-04-16 08:59:00,1
2019-04-16 10:13:00,1
2019-04-16 10:15:00,1
2019-04-16 10:18:00,1
2019-04-16 10:36:00,1
2019-04-17 11:28:00,1
2019-04-23 09:45:00,1
2019-04-23 10:53:00,1
2019-04-24 09:56:00,1
2019-04-24 13:20:00,1
2019-04-29 11:39:00,1
2019-04-30 11:44:00,1
2019-04-30 15:39:00,1
2019-05-01 09:28:00,1
2019-05-02 09:35:00,1
2019-05-02 10:36:00,1
