14,"select v.* from optw.tamass.VARIABLES v where concept like # and binmin > # and race is not #) , -- needs query tracts as (select TractID = ID, vintage, lon = centroid.Long, lat = centroid.Lat , wkt = geom.STIntersection (@area) .ToString () , dist2geom = geom.STDistance (@center) , dist2cent = centroid.STDistance (@center) , m2 = geom.STArea () , deg = geom.EnvelopeAngle () from optw.tamass.TRACTS where centroid.STDistance (@center) < # / # * # -- meters -- and geom.STArea () < #e9 -- m^# and geom.STIntersects (@area) = #) select t.*, count_var = count (distinct c.VarID) , total = sum (c.val) , density = sum (c.val) / m2 * # from vars v join optw.tamass.VALS as c on c.VarID = v.ID join tracts t on t.TractID = c.TractID and t.vintage = v.vintage where v.vintage = # -- need year and c.VAL is not # group by t.TractID, t.vintage, lon, lat, wkt, dist2geom, dist2cent, m2, deg"
2019-11-11 16:07:00,1
2019-11-11 16:08:00,1
2019-11-11 16:10:00,1
2019-11-11 16:11:00,1
2019-11-11 16:14:00,1
2019-11-11 16:15:00,2
2019-11-11 16:16:00,1
2019-11-11 18:05:00,1
2019-11-11 18:06:00,1
2019-11-11 18:07:00,1
2019-11-16 06:39:00,1
2019-11-16 06:40:00,1
2019-11-16 06:42:00,1
