60,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR7..SpecObj as s JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = p.objID WHERE (p.type = # OR p.type = #)"
2019-01-01 12:17:00,1
2019-01-02 12:47:00,1
2019-01-06 09:42:00,1
2019-01-06 09:44:00,2
2019-01-06 09:46:00,3
2019-01-06 09:48:00,1
2019-01-06 09:49:00,1
2019-01-24 06:17:00,3
2019-01-24 06:18:00,2
2019-01-28 04:39:00,1
2019-01-28 04:42:00,1
2019-01-30 10:08:00,1
2019-02-01 10:43:00,1
2019-02-06 18:19:00,1
2019-02-07 09:44:00,1
2019-03-01 20:09:00,1
2019-03-16 05:41:00,1
2019-03-18 11:31:00,1
2019-04-10 11:24:00,1
2019-04-22 07:02:00,1
2019-05-10 03:44:00,1
2019-05-10 03:46:00,2
2019-05-29 16:08:00,1
2019-06-05 21:39:00,1
2019-06-11 15:35:00,1
2019-06-11 15:36:00,2
2019-06-20 16:17:00,1
2019-06-23 08:11:00,1
2019-06-24 18:49:00,1
2019-06-24 18:51:00,1
2019-06-26 12:47:00,1
2019-07-02 09:15:00,1
2019-08-07 14:22:00,1
2019-08-07 14:23:00,1
2019-08-07 14:24:00,2
2019-08-09 19:59:00,1
2019-08-27 21:14:00,1
2019-09-10 15:18:00,3
2019-09-23 18:41:00,1
2019-09-23 18:42:00,1
2019-09-25 18:22:00,1
2019-10-04 20:18:00,1
2019-10-27 00:11:00,1
2019-10-27 00:12:00,1
2019-10-27 00:13:00,1
2019-10-27 00:16:00,1
2019-10-28 23:00:00,2
2019-11-04 15:13:00,1
