10952,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-01-24 18:43:00,11
2019-01-24 19:16:00,11
2019-01-24 19:18:00,12
2019-01-24 19:36:00,7
2019-01-24 19:37:00,33
2019-01-24 19:38:00,59
2019-01-24 19:39:00,37
2019-01-24 19:40:00,53
2019-01-24 19:41:00,39
2019-01-24 19:42:00,47
2019-01-24 19:43:00,15
2019-01-24 19:44:00,6
2019-01-24 19:57:00,1
2019-01-24 19:58:00,16
2019-01-24 19:59:00,86
2019-01-24 20:00:00,58
2019-01-24 20:05:00,3
2019-01-24 20:12:00,4
2019-01-24 20:24:00,5
2019-01-24 20:28:00,25
2019-01-24 20:29:00,141
2019-01-24 20:30:00,200
2019-01-24 20:31:00,75
2019-01-24 20:32:00,6
2019-01-24 20:48:00,105
2019-01-24 20:54:00,21
2019-01-24 20:55:00,1
2019-01-24 20:56:00,9
2019-01-24 21:04:00,4
2019-01-24 21:05:00,12
2019-01-24 21:06:00,4
2019-01-24 21:08:00,20
2019-01-24 21:09:00,5
2019-01-24 21:10:00,4
2019-01-24 21:11:00,3
2019-01-24 21:12:00,1
2019-01-24 21:14:00,30
2019-01-24 21:24:00,3
2019-01-24 21:25:00,15
2019-01-24 21:31:00,155
2019-01-24 21:32:00,64
2019-01-24 21:34:00,19
2019-01-24 21:35:00,4
2019-01-24 21:47:00,4
2019-01-24 21:48:00,38
2019-01-24 21:49:00,99
2019-01-24 21:50:00,96
2019-01-24 21:51:00,4
2019-01-24 21:57:00,124
2019-01-24 21:58:00,9
2019-01-24 22:02:00,2
2019-01-24 22:12:00,8
2019-01-24 22:15:00,115
2019-01-24 22:33:00,1
2019-01-24 22:42:00,3
2019-01-24 22:51:00,3
2019-01-24 22:54:00,5
2019-01-24 22:58:00,1
2019-01-24 22:59:00,1
2019-01-24 23:09:00,7
2019-01-24 23:11:00,1
2019-01-24 23:14:00,1
2019-01-24 23:17:00,3
2019-01-24 23:18:00,16
2019-01-24 23:19:00,121
2019-01-24 23:20:00,102
2019-01-24 23:23:00,3
2019-01-24 23:24:00,2
2019-01-24 23:25:00,3
2019-01-24 23:27:00,2
2019-01-24 23:28:00,1
2019-01-24 23:31:00,33
2019-01-24 23:32:00,28
2019-01-24 23:34:00,1
2019-01-24 23:54:00,1
2019-01-24 23:59:00,6
2019-01-25 00:00:00,11
2019-01-25 00:01:00,16
2019-01-25 00:02:00,22
2019-01-25 00:03:00,2
2019-01-25 00:16:00,16
2019-01-25 00:24:00,20
2019-01-25 00:25:00,23
2019-01-25 00:30:00,1
2019-01-25 00:31:00,2
2019-01-25 00:32:00,6
2019-01-25 00:34:00,1
2019-01-25 00:35:00,5
2019-01-25 00:37:00,4
2019-01-25 00:38:00,25
2019-01-25 00:39:00,46
2019-01-25 00:41:00,184
2019-01-25 00:42:00,32
2019-01-25 00:51:00,29
2019-01-25 00:52:00,99
2019-01-25 00:53:00,50
2019-01-25 00:54:00,63
2019-01-25 00:56:00,31
2019-01-25 00:57:00,131
2019-01-25 01:10:00,1
2019-01-25 01:14:00,1
2019-01-25 01:18:00,5
2019-01-25 01:19:00,32
2019-01-25 01:22:00,2
2019-01-25 01:40:00,3
2019-01-25 01:42:00,1
2019-01-25 01:44:00,5
2019-01-25 01:45:00,8
2019-01-25 02:09:00,3
2019-01-25 02:10:00,8
2019-01-25 02:11:00,20
2019-01-25 02:12:00,3
2019-01-25 02:13:00,1
2019-01-25 02:17:00,8
2019-01-25 02:18:00,4
2019-01-25 02:19:00,11
2019-01-25 02:21:00,5
2019-01-25 02:22:00,5
2019-01-25 02:23:00,6
2019-01-25 02:24:00,13
2019-01-25 02:25:00,2
2019-01-25 02:29:00,4
2019-01-25 02:30:00,1
2019-01-25 02:31:00,70
2019-01-25 02:32:00,35
2019-01-25 02:33:00,6
2019-01-25 02:34:00,2
2019-01-25 02:35:00,18
2019-01-25 02:36:00,2
2019-01-25 02:49:00,20
2019-01-25 02:52:00,10
2019-01-25 02:53:00,15
2019-01-25 02:56:00,13
2019-01-25 02:57:00,1
2019-01-25 02:59:00,1
2019-01-25 03:00:00,15
2019-01-25 03:01:00,1
2019-01-25 03:11:00,4
2019-01-25 03:12:00,2
2019-01-25 03:13:00,5
2019-01-25 03:14:00,13
2019-01-25 03:21:00,9
2019-01-25 03:25:00,8
2019-01-25 03:37:00,5
2019-01-25 03:43:00,9
2019-01-25 04:03:00,14
2019-01-25 04:04:00,179
2019-01-25 04:05:00,151
2019-01-25 04:06:00,87
2019-01-25 04:07:00,2
2019-01-25 04:17:00,1
2019-01-25 04:26:00,5
2019-01-25 04:27:00,3
2019-01-25 04:28:00,9
2019-01-25 04:29:00,10
2019-01-25 04:30:00,9
2019-01-25 04:36:00,4
2019-01-25 04:40:00,6
2019-01-25 04:41:00,2
2019-01-25 04:44:00,3
2019-01-25 04:52:00,3
2019-01-25 04:55:00,6
2019-01-25 04:56:00,2
2019-01-25 04:59:00,6
2019-01-25 05:04:00,16
2019-01-25 05:09:00,4
2019-01-25 05:10:00,20
2019-01-25 05:18:00,7
2019-01-25 05:25:00,4
2019-01-25 05:26:00,19
2019-01-25 05:27:00,22
2019-01-25 05:35:00,3
2019-01-25 05:41:00,13
2019-01-25 05:42:00,32
2019-01-25 05:43:00,18
2019-01-25 05:44:00,39
2019-01-25 05:45:00,46
2019-01-25 05:46:00,9
2019-01-25 05:50:00,11
2019-01-25 06:00:00,5
2019-01-25 06:08:00,7
2019-01-25 06:09:00,2
2019-01-25 06:17:00,5
2019-01-25 06:18:00,12
2019-01-25 06:19:00,3
2019-01-25 06:21:00,7
2019-01-25 06:22:00,2
2019-01-25 06:23:00,1
2019-01-25 06:25:00,2
2019-01-25 06:27:00,1
2019-01-25 06:33:00,2
2019-01-25 06:39:00,5
2019-01-25 06:56:00,5
2019-01-25 07:40:00,3
2019-01-25 09:14:00,5
2019-01-25 09:32:00,3
2019-01-25 10:51:00,1
2019-01-25 11:36:00,5
2019-01-25 11:37:00,2
2019-01-25 12:48:00,1
2019-01-25 12:51:00,7
2019-01-25 12:52:00,2
2019-01-25 12:53:00,5
2019-01-25 12:55:00,1
2019-01-25 12:56:00,1
2019-01-25 12:58:00,1
2019-01-25 12:59:00,7
2019-01-25 13:02:00,1
2019-01-25 13:04:00,2
2019-01-25 13:09:00,2
2019-01-25 13:20:00,2
2019-01-25 13:29:00,3
2019-01-25 13:36:00,4
2019-01-25 13:40:00,1
2019-01-25 13:42:00,4
2019-01-25 13:45:00,9
2019-01-25 13:46:00,2
2019-01-25 13:48:00,9
2019-01-25 13:52:00,3
2019-01-25 13:53:00,4
2019-01-25 13:59:00,10
2019-01-25 14:03:00,3
2019-01-25 14:05:00,2
2019-01-25 14:06:00,1
2019-01-25 14:12:00,1
2019-01-25 14:19:00,1
2019-01-25 14:20:00,2
2019-01-25 14:23:00,1
2019-01-25 14:25:00,7
2019-01-25 14:26:00,2
2019-01-25 14:29:00,4
2019-01-25 14:31:00,4
2019-01-25 14:33:00,2
2019-01-25 14:34:00,2
2019-01-25 14:35:00,7
2019-01-25 14:36:00,1
2019-01-25 14:37:00,10
2019-01-25 14:38:00,1
2019-01-25 14:43:00,3
2019-01-25 14:47:00,5
2019-01-25 14:48:00,18
2019-01-25 14:52:00,5
2019-01-25 14:54:00,4
2019-01-25 14:55:00,2
2019-01-25 14:56:00,2
2019-01-25 14:58:00,6
2019-01-25 14:59:00,7
2019-01-25 15:00:00,12
2019-01-25 15:01:00,1
2019-01-25 15:02:00,10
2019-01-25 15:03:00,6
2019-01-25 15:05:00,5
2019-01-25 15:06:00,1
2019-01-25 15:07:00,7
2019-01-25 15:08:00,1
2019-01-25 15:09:00,1
2019-01-25 15:10:00,6
2019-01-25 15:11:00,19
2019-01-25 15:13:00,1
2019-01-25 15:14:00,4
2019-01-25 15:15:00,1
2019-01-25 15:18:00,5
2019-01-25 15:21:00,2
2019-01-25 15:22:00,2
2019-01-25 15:23:00,8
2019-01-25 15:24:00,10
2019-01-25 15:27:00,5
2019-01-25 15:30:00,3
2019-01-25 15:31:00,5
2019-01-25 15:32:00,18
2019-01-25 15:33:00,107
2019-01-25 15:34:00,7
2019-01-25 15:36:00,13
2019-01-25 15:37:00,4
2019-01-25 15:39:00,2
2019-01-25 15:40:00,48
2019-01-25 15:46:00,1
2019-01-25 15:50:00,5
2019-01-25 15:56:00,6
2019-01-25 15:58:00,1
2019-01-25 16:01:00,4
2019-01-25 16:03:00,7
2019-01-25 16:05:00,3
2019-01-25 16:07:00,3
2019-01-25 16:08:00,2
2019-01-25 16:09:00,4
2019-01-25 16:10:00,1
2019-01-25 16:11:00,13
2019-01-25 16:12:00,2
2019-01-25 16:13:00,2
2019-01-25 16:15:00,6
2019-01-25 16:24:00,1
2019-01-25 16:25:00,3
2019-01-25 16:28:00,4
2019-01-25 16:29:00,11
2019-01-25 16:30:00,1
2019-01-25 16:31:00,2
2019-01-25 16:39:00,4
2019-01-25 16:40:00,1
2019-01-25 16:43:00,6
2019-01-25 16:44:00,3
2019-01-25 16:45:00,11
2019-01-25 16:46:00,5
2019-01-25 16:47:00,6
2019-01-25 16:53:00,3
2019-01-25 16:54:00,13
2019-01-25 16:55:00,4
2019-01-25 16:56:00,17
2019-01-25 16:57:00,6
2019-01-25 16:59:00,4
2019-01-25 17:00:00,1
2019-01-25 17:01:00,13
2019-01-25 17:02:00,22
2019-01-25 17:03:00,6
2019-01-25 17:04:00,4
2019-01-25 17:05:00,20
2019-01-25 17:06:00,1
2019-01-25 17:07:00,1
2019-01-25 17:08:00,6
2019-01-25 17:09:00,3
2019-01-25 17:12:00,18
2019-01-25 17:14:00,8
2019-01-25 17:15:00,3
2019-01-25 17:17:00,2
2019-01-27 11:00:00,2
2019-01-27 21:08:00,1
2019-01-28 02:30:00,1
2019-01-28 02:36:00,2
2019-01-28 03:08:00,5
2019-01-28 03:14:00,2
2019-01-28 03:15:00,1
2019-01-28 10:41:00,1
2019-01-28 11:15:00,3
2019-01-28 11:45:00,1
2019-01-28 11:48:00,2
2019-01-28 12:21:00,1
2019-01-28 13:22:00,1
2019-01-28 13:28:00,1
2019-01-28 13:30:00,1
2019-01-28 13:52:00,5
2019-01-28 13:54:00,1
2019-01-28 13:55:00,5
2019-01-28 13:58:00,2
2019-01-28 13:59:00,4
2019-01-28 14:00:00,31
2019-01-28 14:01:00,15
2019-01-28 14:08:00,10
2019-01-28 14:14:00,2
2019-01-28 14:16:00,5
2019-01-28 14:18:00,3
2019-01-28 14:20:00,11
2019-01-28 14:21:00,2
2019-01-28 14:22:00,1
2019-01-28 14:37:00,3
2019-01-28 14:38:00,13
2019-01-28 14:48:00,1
2019-01-28 14:49:00,10
2019-01-28 14:54:00,2
2019-01-28 14:55:00,8
2019-01-28 14:56:00,18
2019-01-28 14:57:00,4
2019-01-28 14:58:00,10
2019-01-28 14:59:00,8
2019-01-28 15:00:00,3
2019-01-28 15:01:00,3
2019-01-28 15:03:00,1
2019-01-28 15:04:00,10
2019-01-28 15:05:00,11
2019-01-28 15:08:00,6
2019-01-28 15:11:00,1
2019-01-28 15:12:00,2
2019-01-28 15:14:00,4
2019-01-28 15:20:00,2
2019-01-28 15:21:00,9
2019-01-28 15:32:00,2
2019-01-28 15:33:00,5
2019-01-28 15:34:00,1
2019-01-28 15:37:00,1
2019-01-28 15:38:00,2
2019-01-28 15:39:00,7
2019-01-28 15:40:00,12
2019-01-28 15:41:00,2
2019-01-28 15:42:00,4
2019-01-28 15:43:00,13
2019-01-28 15:44:00,5
2019-01-28 15:45:00,3
2019-01-28 15:49:00,1
2019-01-28 15:50:00,3
2019-01-28 15:53:00,2
2019-01-28 15:56:00,4
2019-01-28 15:57:00,14
2019-01-28 16:04:00,5
2019-01-28 16:05:00,10
2019-01-28 16:06:00,10
2019-01-28 16:40:00,21
2019-01-28 17:06:00,7
2019-01-28 17:29:00,11
2019-01-28 18:01:00,1
2019-01-28 18:46:00,4
2019-01-28 19:20:00,1
2019-01-28 19:22:00,1
2019-01-28 19:23:00,4
2019-01-28 19:25:00,5
2019-01-28 19:26:00,20
2019-01-28 19:27:00,4
2019-01-28 19:28:00,6
2019-01-28 19:31:00,12
2019-01-28 19:32:00,2
2019-01-28 19:33:00,1
2019-01-28 19:34:00,4
2019-01-28 19:35:00,4
2019-01-28 19:37:00,1
2019-01-28 19:38:00,3
2019-01-28 19:40:00,2
2019-01-28 19:41:00,3
2019-01-28 19:43:00,7
2019-01-28 19:44:00,7
2019-01-28 19:45:00,1
2019-01-28 19:47:00,4
2019-01-28 19:51:00,3
2019-01-28 19:52:00,6
2019-01-28 19:53:00,2
2019-01-28 19:54:00,9
2019-01-28 19:55:00,4
2019-01-28 19:56:00,3
2019-01-28 19:57:00,5
2019-01-28 20:01:00,1
2019-01-28 20:03:00,18
2019-01-28 20:04:00,2
2019-01-28 20:05:00,20
2019-01-28 20:06:00,6
2019-01-28 20:07:00,4
2019-01-28 20:09:00,2
2019-01-28 20:10:00,12
2019-01-28 20:11:00,6
2019-01-28 20:12:00,10
2019-01-28 20:14:00,32
2019-01-28 20:15:00,36
2019-01-28 20:16:00,29
2019-01-28 20:17:00,13
2019-01-28 20:22:00,5
2019-01-28 20:23:00,3
2019-01-28 20:27:00,11
2019-01-28 20:28:00,2
2019-01-28 20:29:00,128
2019-01-28 20:30:00,44
2019-01-28 20:31:00,15
2019-01-28 20:33:00,6
2019-01-28 20:34:00,1
2019-01-28 20:35:00,23
2019-01-28 20:36:00,7
2019-01-28 20:38:00,1
2019-01-28 20:40:00,2
2019-01-28 20:41:00,7
2019-01-28 20:46:00,49
2019-01-28 20:50:00,8
2019-01-28 20:52:00,63
2019-01-28 20:53:00,2
2019-01-28 20:57:00,3
2019-01-28 20:59:00,6
2019-01-28 21:00:00,15
2019-01-28 21:01:00,1
2019-01-28 21:02:00,1
2019-01-28 21:03:00,2
2019-01-28 21:04:00,5
2019-01-28 21:07:00,14
2019-01-28 21:09:00,8
2019-01-28 21:10:00,1
2019-01-28 21:15:00,11
2019-01-28 21:16:00,1
2019-01-28 21:20:00,9
2019-01-28 21:26:00,2
2019-01-28 21:30:00,4
2019-01-28 21:36:00,7
2019-01-28 21:41:00,1
2019-01-28 21:43:00,9
2019-01-28 21:44:00,6
2019-01-28 21:45:00,9
2019-01-28 21:46:00,2
2019-01-28 21:58:00,6
2019-01-28 21:59:00,4
2019-01-28 22:00:00,3
2019-01-28 22:01:00,11
2019-01-28 22:03:00,30
2019-01-28 22:04:00,1
2019-01-28 22:09:00,50
2019-01-28 22:10:00,11
2019-01-28 22:11:00,96
2019-01-28 22:12:00,3
2019-01-28 22:13:00,23
2019-01-28 22:17:00,3
2019-01-28 22:21:00,8
2019-01-28 22:22:00,45
2019-01-28 22:23:00,96
2019-01-28 22:24:00,11
2019-01-28 22:27:00,30
2019-01-28 22:28:00,20
2019-01-28 22:29:00,4
2019-01-28 22:31:00,6
2019-01-28 22:32:00,21
2019-01-28 22:33:00,17
2019-01-28 22:34:00,67
2019-01-28 22:35:00,5
2019-01-28 22:37:00,9
2019-01-28 22:38:00,111
2019-01-28 22:39:00,8
2019-01-28 22:40:00,42
2019-01-28 22:41:00,10
2019-01-28 22:42:00,28
2019-01-28 22:43:00,1
2019-01-28 22:44:00,6
2019-01-28 22:45:00,7
2019-01-28 22:46:00,9
2019-01-28 22:47:00,10
2019-01-28 22:49:00,27
2019-01-28 22:50:00,9
2019-01-28 22:51:00,14
2019-01-28 22:52:00,9
2019-01-28 22:53:00,2
2019-01-28 22:58:00,8
2019-01-28 22:59:00,5
2019-01-28 23:00:00,9
2019-01-28 23:01:00,2
2019-01-28 23:02:00,19
2019-01-28 23:03:00,16
2019-01-28 23:04:00,9
2019-01-28 23:11:00,3
2019-01-28 23:12:00,4
2019-01-28 23:13:00,43
2019-01-28 23:14:00,9
2019-01-28 23:15:00,14
2019-01-28 23:22:00,11
2019-01-28 23:23:00,3
2019-01-28 23:24:00,7
2019-01-28 23:25:00,12
2019-01-28 23:27:00,11
2019-01-28 23:28:00,7
2019-01-28 23:29:00,11
2019-01-28 23:30:00,14
2019-01-28 23:31:00,19
2019-01-28 23:38:00,4
2019-01-28 23:41:00,2
2019-01-28 23:47:00,1
2019-01-28 23:48:00,5
2019-01-28 23:50:00,8
2019-01-28 23:54:00,4
2019-02-26 10:27:00,1
2019-02-26 10:28:00,15
2019-02-26 11:07:00,6
2019-02-26 11:19:00,30
2019-02-26 11:26:00,1
2019-02-26 11:42:00,1
2019-02-26 11:46:00,4
2019-02-26 11:47:00,13
2019-02-26 12:02:00,1
2019-02-26 12:17:00,5
2019-02-26 12:20:00,3
2019-02-26 12:21:00,7
2019-02-26 12:24:00,3
2019-02-26 12:25:00,1
2019-02-26 12:33:00,1
2019-02-26 12:40:00,2
2019-02-26 12:50:00,1
2019-02-26 12:51:00,3
2019-02-26 12:52:00,7
2019-02-26 13:01:00,23
2019-02-26 13:03:00,7
2019-02-26 13:04:00,16
2019-02-26 13:21:00,17
2019-02-26 13:25:00,9
2019-02-26 13:26:00,11
2019-02-26 13:28:00,29
2019-02-26 13:29:00,2
2019-02-26 13:39:00,18
2019-02-26 13:41:00,58
