21,"SELECT EID, [Ever_had_eye_surgery_#], [Ever_had_cataract_surgery_#], [Ever_had_refractive_laser_eye_surgery_#], [Ever_had_surgery_for_glaucoma_or_high_eye_pressure_#], [Ever_had_laser_treatment_for_glaucoma_or_high_eye_pressure_#], [Ever_had_corneal_graft_surgery_#], [Both_eyes_present_#], [Current_eye_infection_#] FROM Eye_surgery_complications GO"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:26:00,1
2019-05-02 09:33:00,1
2019-05-02 10:34:00,1
