21144,"select s.z, p.petroRad_z from photoObj p JOIN specObj s ON s.bestObjID = p.objID where s.bestObjID = #"
2019-03-11 12:26:00,59
2019-03-11 12:27:00,55
2019-03-12 10:32:00,15
2019-03-12 10:33:00,32
2019-03-12 10:34:00,47
2019-03-12 10:35:00,52
2019-03-12 10:36:00,47
2019-03-12 10:37:00,40
2019-03-12 10:38:00,45
2019-03-12 10:39:00,34
2019-03-12 10:43:00,11
2019-03-12 10:44:00,43
2019-03-12 10:45:00,49
2019-03-12 10:46:00,48
2019-03-12 10:47:00,58
2019-03-12 11:25:00,20
2019-03-12 11:26:00,48
2019-03-12 11:27:00,53
2019-03-12 11:28:00,54
2019-03-12 11:29:00,34
2019-03-12 11:38:00,10
2019-03-12 11:39:00,45
2019-03-12 11:40:00,27
2019-03-12 11:49:00,1
2019-03-12 11:50:00,52
2019-03-13 17:12:00,8
2019-03-13 17:13:00,48
2019-03-13 17:14:00,42
2019-03-13 17:17:00,50
2019-03-13 17:18:00,46
2019-03-13 17:20:00,67
2019-03-13 17:21:00,58
2019-03-13 17:22:00,48
2019-03-13 17:23:00,50
2019-03-13 17:24:00,52
2019-03-13 17:25:00,49
2019-03-13 17:26:00,47
2019-03-13 17:27:00,48
2019-03-13 17:28:00,48
2019-03-13 17:29:00,50
2019-03-13 17:30:00,50
2019-03-13 17:31:00,50
2019-03-13 17:32:00,49
2019-03-13 17:33:00,22
2019-03-13 17:34:00,22
2019-03-13 17:35:00,35
2019-03-13 17:36:00,43
2019-03-13 17:37:00,46
2019-03-13 17:38:00,46
2019-03-13 17:39:00,49
2019-03-13 17:40:00,50
2019-03-13 17:41:00,47
2019-03-13 17:42:00,47
2019-03-13 17:43:00,43
2019-03-13 17:44:00,40
2019-03-13 17:56:00,11
2019-03-13 17:57:00,26
2019-03-13 17:58:00,36
2019-03-13 17:59:00,32
2019-03-13 18:00:00,38
2019-03-13 18:01:00,41
2019-03-13 18:02:00,49
2019-03-13 18:03:00,45
2019-03-13 18:04:00,49
2019-03-13 18:05:00,50
2019-03-13 18:06:00,52
2019-03-13 18:07:00,48
2019-03-13 18:08:00,50
2019-03-13 18:09:00,46
2019-03-13 18:10:00,44
2019-03-13 18:11:00,43
2019-03-13 18:12:00,44
2019-03-13 18:13:00,47
2019-03-13 18:14:00,47
2019-03-13 18:15:00,47
2019-03-13 18:16:00,46
2019-03-13 18:17:00,25
2019-03-13 18:19:00,11
2019-03-13 18:20:00,22
2019-03-13 18:21:00,32
2019-03-13 18:22:00,50
2019-03-13 18:23:00,50
2019-03-13 18:24:00,48
2019-03-13 18:25:00,51
2019-03-13 18:26:00,52
2019-03-13 18:27:00,50
2019-03-13 18:28:00,50
2019-03-13 18:29:00,46
2019-03-13 18:30:00,25
2019-03-13 18:41:00,5
2019-03-13 18:42:00,25
2019-03-13 18:43:00,38
2019-03-13 18:44:00,33
2019-03-13 18:45:00,39
2019-03-13 18:46:00,42
2019-03-13 18:47:00,51
2019-03-13 18:48:00,48
2019-03-13 18:49:00,50
2019-03-13 18:50:00,53
2019-03-13 18:51:00,50
2019-03-13 18:52:00,50
2019-03-13 18:53:00,53
2019-03-13 18:54:00,44
2019-03-13 18:55:00,45
2019-03-13 18:56:00,44
2019-03-13 18:57:00,47
2019-03-13 18:58:00,51
2019-03-13 18:59:00,51
2019-03-13 19:00:00,45
2019-03-13 19:01:00,46
2019-03-13 19:02:00,42
2019-03-13 19:03:00,8
2019-03-13 19:05:00,25
2019-03-13 19:06:00,53
2019-03-13 19:07:00,52
2019-03-13 19:08:00,53
2019-03-13 19:09:00,56
2019-03-13 19:10:00,18
2019-03-13 19:11:00,36
2019-03-13 19:12:00,55
2019-03-13 19:13:00,52
2019-03-13 19:14:00,56
2019-03-13 19:15:00,52
2019-03-13 19:16:00,54
2019-03-13 19:17:00,53
2019-03-13 19:18:00,55
2019-03-14 12:55:00,2
2019-03-14 12:56:00,2
2019-03-14 12:57:00,7
2019-03-14 12:58:00,17
2019-03-14 12:59:00,50
2019-03-14 13:00:00,47
2019-03-14 13:01:00,35
2019-03-14 13:02:00,35
2019-03-14 13:17:00,29
2019-03-14 13:18:00,50
2019-03-14 13:19:00,53
2019-03-14 13:20:00,34
2019-03-14 13:21:00,27
2019-03-14 16:03:00,11
2019-03-14 16:04:00,2
2019-03-15 08:56:00,2
2019-03-15 11:46:00,18
2019-03-15 11:47:00,22
2019-03-15 11:48:00,14
2019-03-15 11:49:00,19
2019-03-15 11:50:00,12
2019-03-15 11:54:00,34
2019-03-15 11:55:00,4
2019-03-15 12:07:00,28
2019-03-15 12:08:00,40
2019-03-15 12:09:00,48
2019-03-15 12:10:00,46
2019-03-15 12:11:00,46
2019-03-15 12:12:00,44
2019-03-15 12:25:00,20
2019-03-15 12:26:00,42
2019-03-15 12:27:00,32
2019-03-15 12:28:00,32
2019-03-15 12:29:00,32
2019-03-15 12:30:00,27
2019-03-15 12:31:00,24
2019-03-15 12:32:00,27
2019-03-15 12:33:00,28
2019-03-15 12:34:00,25
2019-03-15 12:35:00,23
2019-03-15 12:36:00,31
2019-03-15 12:37:00,28
2019-03-15 12:38:00,25
2019-03-15 12:39:00,17
2019-03-26 15:29:00,2
2019-03-26 15:30:00,45
2019-03-26 15:31:00,52
2019-03-26 15:32:00,42
2019-03-26 15:33:00,25
2019-03-26 15:34:00,60
2019-03-26 15:35:00,52
2019-03-26 15:36:00,50
2019-03-26 15:37:00,50
2019-03-26 15:38:00,51
2019-03-26 15:39:00,55
2019-03-26 15:40:00,47
2019-03-26 15:41:00,54
2019-03-26 15:42:00,53
2019-03-26 15:43:00,51
2019-03-26 15:44:00,49
2019-03-26 15:45:00,45
2019-03-26 15:57:00,14
2019-03-26 15:58:00,22
2019-03-26 15:59:00,13
2019-03-26 16:00:00,22
2019-03-26 16:01:00,23
2019-03-26 16:02:00,37
2019-03-26 16:03:00,18
2019-03-26 16:04:00,50
2019-03-26 16:05:00,48
2019-03-26 16:06:00,52
2019-03-26 16:07:00,49
2019-03-26 16:08:00,51
2019-03-26 16:09:00,53
2019-03-26 16:10:00,45
2019-03-26 16:11:00,52
2019-03-26 16:12:00,48
2019-03-26 16:13:00,26
2019-03-26 16:14:00,33
2019-03-26 16:15:00,33
2019-03-26 16:16:00,31
2019-03-26 16:17:00,41
2019-03-26 16:18:00,43
2019-03-26 16:19:00,49
2019-03-26 16:20:00,43
2019-03-26 16:21:00,49
2019-03-26 16:22:00,47
2019-03-26 16:23:00,49
2019-03-26 16:24:00,48
2019-03-26 16:25:00,45
2019-03-26 16:26:00,41
2019-03-26 16:27:00,45
2019-03-26 16:28:00,39
2019-03-26 16:29:00,42
2019-03-26 16:30:00,41
2019-03-26 16:31:00,45
2019-03-26 16:32:00,47
2019-03-26 16:33:00,44
2019-03-26 16:34:00,44
2019-03-26 16:35:00,41
2019-03-26 16:36:00,20
2019-03-26 16:38:00,2
2019-03-26 16:39:00,41
2019-03-26 16:40:00,42
2019-03-26 16:41:00,43
2019-03-26 16:42:00,47
2019-03-26 16:43:00,40
2019-03-26 17:22:00,11
2019-03-26 17:23:00,79
2019-03-26 17:24:00,88
2019-03-26 17:25:00,88
2019-03-26 17:26:00,88
2019-03-26 17:27:00,86
2019-03-26 17:28:00,56
2019-03-26 17:29:00,59
2019-03-26 17:30:00,60
2019-03-26 17:31:00,74
2019-03-26 17:32:00,78
2019-03-26 17:33:00,83
2019-03-26 17:34:00,83
2019-03-26 17:35:00,83
2019-03-26 17:36:00,78
2019-03-26 17:37:00,73
2019-03-26 17:38:00,79
2019-03-26 17:39:00,80
2019-03-26 17:40:00,79
2019-03-26 17:41:00,47
2019-03-26 17:43:00,71
2019-03-26 17:44:00,78
2019-03-26 17:45:00,81
2019-03-26 17:46:00,83
2019-03-26 17:47:00,83
2019-03-26 17:48:00,15
2019-04-03 10:17:00,6
2019-04-03 10:20:00,22
2019-04-03 10:21:00,48
2019-04-03 10:22:00,45
2019-04-03 10:23:00,51
2019-04-03 10:24:00,48
2019-04-03 10:25:00,48
2019-04-03 10:26:00,48
2019-04-03 10:27:00,47
2019-04-03 10:28:00,47
2019-04-03 10:29:00,49
2019-04-03 10:30:00,49
2019-04-03 10:31:00,42
2019-04-03 10:32:00,48
2019-04-03 10:33:00,47
2019-04-03 10:34:00,48
2019-04-03 10:35:00,47
2019-04-03 10:36:00,49
2019-04-03 10:37:00,46
2019-04-03 10:38:00,49
2019-04-03 10:39:00,50
2019-04-03 10:40:00,51
2019-04-03 10:41:00,46
2019-04-03 10:42:00,46
2019-04-03 10:43:00,48
2019-04-03 10:44:00,50
2019-04-03 10:45:00,47
2019-04-03 10:46:00,50
2019-04-03 10:47:00,47
2019-04-03 10:48:00,46
2019-04-03 10:49:00,25
2019-04-03 10:50:00,29
2019-04-03 10:51:00,29
2019-04-03 10:52:00,29
2019-04-03 10:53:00,37
2019-04-03 10:54:00,39
2019-04-03 10:55:00,39
2019-04-03 10:56:00,36
2019-04-03 10:57:00,37
2019-04-03 10:58:00,40
2019-04-03 10:59:00,43
2019-04-03 11:00:00,45
2019-04-03 11:01:00,45
2019-04-03 11:02:00,47
2019-04-03 11:03:00,49
2019-04-03 11:04:00,42
2019-04-03 11:05:00,50
2019-04-03 11:06:00,47
2019-04-03 11:07:00,51
2019-04-03 11:08:00,49
2019-04-03 11:09:00,49
2019-04-03 11:10:00,50
2019-04-03 11:11:00,49
2019-04-03 11:12:00,33
2019-04-03 11:13:00,38
2019-04-03 11:14:00,37
2019-04-03 11:15:00,42
2019-04-03 11:16:00,35
2019-04-03 11:17:00,40
2019-04-03 11:18:00,39
2019-04-03 11:19:00,46
2019-04-03 11:20:00,38
2019-04-03 11:21:00,45
2019-04-03 11:22:00,48
2019-04-03 11:23:00,43
2019-04-03 11:24:00,48
2019-04-03 11:25:00,48
2019-04-03 11:26:00,39
2019-04-03 11:27:00,39
2019-04-03 11:28:00,8
2019-04-27 11:31:00,11
2019-04-27 11:32:00,26
2019-04-27 11:33:00,21
2019-04-27 11:34:00,5
2019-04-27 11:38:00,22
2019-04-27 11:39:00,26
2019-04-27 11:40:00,28
2019-04-27 11:41:00,10
2019-04-27 11:42:00,1
