183,"select ra, dec, psfMag_u - extinction_u + # as psfMagCorr_u, psfMag_g - extinction_g + # as psfMagCorr_g, psfMag_r - extinction_r + # as psfMagCorr_r, psfMag_i - extinction_i + # as psfMagCorr_i, psfMag_z - extinction_z + # as psfMagCorr_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1# (psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1# (psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r, #/SQRT (psfFluxIvar_i) /psfFlux_i as psfPogErr_i, #/SQRT (psfFluxIvar_z) /psfFlux_z as psfPogErr_z from star as s JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON s.objID = GN.objID where s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > #"
2019-01-17 23:40:00,1
2019-04-03 02:10:00,3
2019-04-03 02:16:00,1
2019-04-03 16:03:00,1
2019-04-03 16:43:00,1
2019-04-03 17:13:00,1
2019-05-06 15:43:00,1
2019-05-07 15:46:00,31
2019-05-07 15:47:00,81
2019-05-31 02:49:00,1
2019-05-31 02:51:00,2
2019-05-31 02:55:00,1
2019-05-31 02:57:00,1
2019-05-31 03:05:00,1
2019-05-31 03:06:00,1
2019-05-31 03:07:00,1
2019-05-31 03:14:00,1
2019-05-31 03:16:00,1
2019-05-31 03:25:00,1
2019-05-31 03:33:00,1
2019-05-31 03:39:00,1
2019-05-31 03:43:00,1
2019-05-31 04:05:00,1
2019-05-31 04:06:00,1
2019-05-31 04:07:00,1
2019-05-31 04:09:00,1
2019-05-31 04:15:00,1
2019-05-31 17:42:00,1
2019-05-31 17:46:00,1
2019-05-31 17:48:00,1
2019-05-31 17:53:00,1
2019-05-31 18:03:00,1
2019-05-31 18:04:00,1
2019-05-31 18:09:00,1
2019-05-31 18:13:00,1
2019-05-31 18:15:00,1
2019-05-31 18:19:00,1
2019-05-31 18:20:00,1
2019-05-31 18:22:00,1
2019-05-31 18:24:00,1
2019-05-31 18:27:00,1
2019-05-31 19:35:00,1
2019-05-31 19:52:00,1
2019-05-31 21:07:00,1
2019-05-31 21:14:00,2
2019-05-31 22:42:00,1
2019-06-01 16:28:00,1
2019-06-01 16:29:00,1
2019-06-01 16:31:00,2
2019-06-01 16:33:00,2
2019-06-01 16:49:00,1
2019-06-01 16:50:00,1
2019-06-01 16:51:00,1
2019-06-01 16:52:00,1
2019-06-01 16:53:00,1
2019-06-01 17:03:00,1
2019-06-01 17:04:00,1
2019-06-01 17:05:00,1
2019-07-11 20:47:00,1
2019-07-23 20:52:00,1
2019-10-25 22:08:00,1
2019-10-25 22:21:00,1
2019-10-25 22:28:00,2
2019-10-25 23:49:00,1
2019-10-25 23:54:00,1
2019-10-26 00:14:00,1
