34,"CREATE TABLE [Stroke_outcomes] (eid BIGINT NOT # , [Date_of_stroke_#] DATETIME -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Source_of_stroke_report_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Date_of_ischaemic_stroke_#] DATETIME -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Source_of_ischaemic_stroke_report_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Date_of_intracerebral_haemorrhage_#] DATETIME -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Source_of_intracerebral_haemorrhage_report_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Date_of_subarachnoid_haemorrhage_#] DATETIME -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Source_of_subarachnoid_haemorrhage_report_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , PRIMARY KEY (eid) ) GO"
2019-04-15 13:24:00,1
2019-04-15 13:26:00,1
2019-04-15 13:28:00,2
2019-04-15 13:29:00,1
2019-04-15 13:36:00,2
2019-04-16 08:58:00,1
2019-04-16 09:00:00,1
2019-04-16 10:14:00,1
2019-04-16 10:16:00,1
2019-04-16 10:19:00,1
2019-04-17 11:28:00,1
2019-04-17 11:34:00,1
2019-04-23 09:46:00,2
2019-04-23 10:53:00,2
2019-04-24 09:48:00,1
2019-04-24 09:56:00,1
2019-04-24 09:58:00,1
2019-04-24 13:21:00,2
2019-04-29 11:40:00,2
2019-04-30 11:45:00,2
2019-04-30 15:41:00,2
2019-05-01 09:29:00,1
2019-05-02 09:36:00,1
2019-05-02 09:38:00,2
2019-05-02 10:38:00,1
