21,"SELECT EID, [Vascular_heart_problems_diagnosed_by_doctor_#], [Age_heart_attack_diagnosed_#], [Age_angina_diagnosed_#], [Age_stroke_diagnosed_#], [Age_high_blood_pressure_diagnosed_#], [Blood_clot_DVT_bronchitis_emphysema_asthma_rhinitis_eczema_allergy_diagnosed_by_doctor_#], [Age_deep_vein_thrombosis_DVT_blood_clot_in_leg_diagnosed_#], [Age_pulmonary_embolism_blood_clot_in_lung_diagnosed_#], [Age_emphysema_chronic_bronchitis_diagnosed_#], [Age_asthma_diagnosed_#], [Age_hay_fever_rhinitis_or_eczema_diagnosed_#], [Diabetes_diagnosed_by_doctor_#], [Gestational_diabetes_only_#], [Gestational_diabetes_only_pilot__#], [Age_diabetes_diagnosed_#], [Started_insulin_within_one_year_diagnosis_of_diabetes_#], [Cancer_diagnosed_by_doctor_#], [Fractured_broken_bones_in_last_#_years_#], [Fractured_bone_site_s__#], [Fracture_resulting_from_simple_fall_#], [Other_serious_medical_condition_disability_diagnosed_by_doctor_#] FROM Medical_conditions GO"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:26:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
