204,"SELECT TOP # mangaid, nvisits, objra, objdec, input_teff, input_teff, input_logg, input_fe_h, input_alpha_m FROM MaStar_goodstars WHERE POWER (objra - #, #) + POWER (objdec - #, #) < POWER (#, #) AND nvisits > #"
2019-06-12 05:21:00,1
2019-06-14 09:10:00,1
2019-06-15 17:40:00,1
2019-06-21 07:09:00,1
2019-06-25 16:18:00,1
2019-06-26 19:14:00,1
2019-06-29 17:31:00,1
2019-07-01 11:04:00,1
2019-07-02 19:04:00,1
2019-07-03 02:57:00,1
2019-07-07 02:48:00,1
2019-07-07 22:47:00,1
2019-07-10 02:41:00,1
2019-07-14 18:32:00,1
2019-07-14 20:34:00,1
2019-07-18 12:45:00,1
2019-07-20 01:24:00,1
2019-07-20 03:47:00,1
2019-07-20 04:53:00,1
2019-07-22 02:47:00,1
2019-07-22 06:18:00,1
2019-07-23 15:49:00,1
2019-07-23 19:35:00,1
2019-07-25 17:18:00,1
2019-07-27 19:14:00,1
2019-07-28 21:52:00,1
2019-07-28 22:55:00,1
2019-07-30 00:41:00,1
2019-08-02 06:50:00,1
2019-08-05 00:16:00,1
2019-08-09 08:47:00,1
2019-08-09 18:00:00,1
2019-08-12 21:31:00,1
2019-08-13 17:52:00,1
2019-08-13 19:21:00,1
2019-08-16 15:58:00,1
2019-08-23 14:34:00,1
2019-08-26 09:25:00,1
2019-08-28 19:21:00,1
2019-08-31 19:36:00,1
2019-08-31 20:51:00,1
2019-08-31 21:48:00,1
2019-09-02 13:00:00,1
2019-09-03 20:25:00,1
2019-09-08 09:38:00,1
2019-09-08 12:30:00,1
2019-09-08 18:16:00,1
2019-09-11 19:47:00,1
2019-09-15 06:38:00,1
2019-09-17 18:11:00,1
2019-09-19 00:38:00,1
2019-09-19 03:30:00,1
2019-09-19 18:28:00,1
2019-09-19 19:21:00,1
2019-09-20 07:08:00,1
2019-09-21 16:57:00,1
2019-09-24 00:56:00,1
2019-09-24 19:38:00,1
2019-09-25 07:49:00,1
2019-09-29 19:24:00,1
2019-10-03 17:41:00,1
2019-10-04 14:25:00,1
2019-10-08 19:55:00,1
2019-10-10 08:03:00,1
2019-10-10 14:57:00,1
2019-10-11 05:10:00,1
2019-10-14 05:45:00,1
2019-10-14 07:16:00,1
2019-10-17 20:22:00,1
2019-10-18 20:11:00,1
2019-10-19 01:38:00,1
2019-10-21 02:41:00,1
2019-10-22 08:11:00,1
2019-11-01 10:12:00,1
2019-11-02 08:13:00,1
2019-11-02 11:36:00,1
2019-11-04 16:53:00,1
2019-11-05 06:45:00,1
2019-11-08 20:00:00,1
2019-11-10 11:30:00,1
2019-11-15 05:01:00,1
2019-11-15 13:35:00,1
2019-11-16 07:41:00,1
2019-11-16 07:57:00,1
2019-11-16 09:30:00,1
2019-11-19 00:38:00,1
2019-11-22 06:03:00,1
2019-11-22 16:41:00,1
2019-11-23 18:20:00,1
2019-11-24 21:36:00,1
2019-11-27 10:50:00,1
2019-11-29 03:55:00,1
2019-11-30 03:44:00,1
2019-12-01 11:56:00,1
2019-12-01 21:09:00,1
2019-12-04 11:29:00,1
2019-12-05 21:21:00,1
2019-12-07 00:41:00,2
2019-12-07 13:49:00,1
2019-12-09 07:31:00,1
2019-12-09 22:29:00,1
2019-12-11 11:56:00,1
2019-12-12 02:39:00,1
2019-12-12 15:16:00,1
2019-12-13 12:40:00,1
2019-12-13 14:06:00,1
2019-12-14 13:31:00,1
2019-12-15 00:17:00,1
2019-12-16 23:06:00,1
2019-12-20 09:12:00,1
2019-12-20 17:26:00,1
2019-12-22 07:17:00,2
2019-12-22 15:30:00,1
2019-12-23 22:08:00,1
2019-12-25 06:02:00,1
2019-12-26 03:17:00,1
2019-12-26 15:25:00,1
2019-12-27 07:40:00,1
2019-12-28 09:13:00,1
2019-12-29 00:05:00,1
