18,"SELECT EID, [Ever_had_period_extreme_irritability_#], [Ever_had_period_of_mania_excitability_#], [Longest_period_of_mania_or_irritability_#], [Manifestations_of_mania_or_irritability_#], [Severity_of_problems_due_to_mania_or_irritability_#] FROM Mania GO"
2019-04-15 13:26:00,1
2019-04-15 13:36:00,1
2019-04-16 08:57:00,1
2019-04-16 08:59:00,1
2019-04-16 10:13:00,1
2019-04-16 10:15:00,1
2019-04-16 10:18:00,1
2019-04-17 11:28:00,1
2019-04-23 09:45:00,1
2019-04-23 10:53:00,1
2019-04-24 09:56:00,1
2019-04-24 13:21:00,1
2019-04-29 11:40:00,1
2019-04-30 11:45:00,1
2019-04-30 15:40:00,1
2019-05-01 09:28:00,1
2019-05-02 09:35:00,1
2019-05-02 10:37:00,1
