287,"SELECT TOP # g.l, g.b, s.z as redshift, g.u, g.err_u, g.g, g.err_g, g.r, g.err_r, g.i, g.err_i, g.z, g.err_z, g.extinction_g, g.extinction_r FROM Galaxy AS g JOIN SpecObj as s ON s.specObjID = g.specObjID WHERE g.l between # and # and g.b between # and # and g.petroR9#_i/g.petroR5#_i > # and ( (flags & #) = #) and s.z > #"
2019-01-22 16:27:00,1
2019-01-22 16:30:00,2
2019-01-22 16:32:00,1
2019-01-22 16:34:00,1
2019-01-22 16:36:00,1
2019-01-22 17:08:00,1
2019-01-22 17:09:00,1
2019-01-22 17:10:00,1
2019-01-22 17:28:00,1
2019-01-22 17:30:00,1
2019-01-22 17:31:00,1
2019-01-22 17:35:00,2
2019-01-22 17:37:00,1
2019-01-22 17:40:00,1
2019-01-23 00:12:00,1
2019-01-23 00:17:00,1
2019-01-23 10:11:00,1
2019-01-23 10:12:00,1
2019-01-23 10:44:00,1
2019-01-24 12:00:00,1
2019-01-24 13:16:00,1
2019-01-24 13:18:00,1
2019-01-24 13:21:00,1
2019-01-24 13:22:00,1
2019-01-24 13:42:00,1
2019-01-24 13:44:00,1
2019-01-24 13:49:00,1
2019-01-24 19:50:00,1
2019-01-24 19:53:00,1
2019-01-24 20:00:00,1
2019-01-24 20:51:00,1
2019-01-24 20:53:00,1
2019-01-24 20:56:00,1
2019-01-24 20:59:00,1
2019-01-24 21:02:00,1
2019-01-24 21:03:00,1
2019-01-25 10:04:00,1
2019-01-25 16:42:00,1
2019-01-25 16:45:00,1
2019-01-25 16:46:00,1
2019-01-25 17:00:00,1
2019-01-25 17:06:00,1
2019-01-25 17:28:00,1
2019-01-25 18:19:00,1
2019-01-26 00:05:00,1
2019-01-31 11:55:00,1
2019-01-31 12:04:00,1
2019-01-31 12:29:00,1
2019-01-31 12:44:00,1
2019-01-31 13:00:00,1
2019-01-31 13:02:00,1
2019-01-31 13:06:00,1
2019-01-31 13:08:00,1
2019-01-31 13:11:00,1
2019-01-31 13:20:00,1
2019-01-31 14:28:00,1
2019-01-31 14:33:00,1
2019-01-31 15:49:00,1
2019-02-01 00:13:00,1
2019-02-04 18:04:00,1
2019-02-04 18:06:00,1
2019-02-04 18:08:00,1
2019-02-04 18:09:00,1
2019-02-04 19:37:00,1
2019-02-04 19:40:00,1
2019-02-04 19:54:00,1
2019-02-04 19:56:00,1
2019-02-04 20:00:00,1
2019-02-04 20:04:00,1
2019-02-04 20:07:00,1
2019-02-04 20:13:00,1
2019-02-04 23:20:00,1
2019-02-04 23:24:00,1
2019-02-04 23:26:00,1
2019-02-05 12:31:00,1
2019-02-05 13:08:00,1
2019-02-05 13:28:00,1
2019-02-05 15:45:00,1
2019-02-05 15:50:00,1
2019-02-05 15:53:00,1
2019-02-05 15:56:00,1
2019-02-05 16:23:00,1
2019-02-05 17:02:00,1
2019-02-05 17:07:00,1
2019-02-05 17:09:00,1
2019-02-06 16:22:00,1
2019-02-06 16:24:00,1
2019-02-07 13:11:00,1
2019-02-07 13:17:00,1
2019-02-08 00:21:00,1
2019-02-08 00:25:00,1
2019-02-08 00:30:00,1
2019-02-14 23:21:00,1
2019-02-14 23:29:00,1
2019-02-14 23:39:00,1
2019-02-15 00:02:00,1
2019-02-19 00:14:00,1
2019-02-19 00:15:00,1
2019-02-19 09:51:00,2
2019-02-19 10:05:00,1
2019-02-19 10:12:00,2
2019-02-19 10:13:00,2
2019-02-19 10:23:00,2
2019-02-19 10:29:00,2
2019-02-19 10:30:00,2
2019-02-19 10:32:00,2
2019-02-19 10:33:00,2
2019-02-19 10:35:00,2
2019-02-19 18:58:00,2
2019-02-19 19:12:00,2
2019-02-19 19:35:00,2
2019-02-19 19:45:00,2
2019-02-19 19:51:00,2
2019-02-19 20:03:00,2
2019-02-19 20:06:00,2
2019-02-19 20:07:00,2
2019-02-19 20:09:00,2
2019-02-19 20:18:00,2
2019-02-19 20:20:00,2
2019-02-19 20:23:00,2
2019-02-19 20:32:00,1
2019-02-19 20:33:00,1
2019-02-20 10:42:00,2
2019-02-20 19:17:00,1
2019-02-24 14:09:00,1
2019-02-24 16:07:00,1
2019-02-24 23:13:00,1
2019-02-24 23:31:00,1
2019-02-28 16:28:00,1
2019-02-28 16:52:00,1
2019-02-28 17:46:00,1
2019-02-28 17:52:00,1
2019-02-28 17:54:00,1
2019-02-28 20:42:00,1
2019-02-28 20:50:00,1
2019-02-28 20:52:00,1
2019-02-28 20:53:00,1
2019-02-28 21:08:00,1
2019-03-01 03:24:00,1
2019-03-01 03:29:00,1
2019-03-06 20:22:00,2
2019-03-07 16:33:00,1
2019-03-07 17:23:00,1
2019-03-07 18:12:00,1
2019-03-07 19:18:00,1
2019-03-07 19:25:00,1
2019-03-07 19:35:00,1
2019-03-07 23:07:00,1
2019-03-07 23:24:00,1
2019-03-12 14:41:00,1
2019-04-20 11:21:00,1
2019-04-20 11:33:00,1
2019-04-20 11:37:00,1
2019-04-20 11:39:00,1
2019-04-20 11:42:00,1
2019-04-20 11:44:00,1
2019-04-20 11:55:00,1
2019-04-20 11:57:00,1
2019-04-20 11:59:00,1
2019-04-20 12:01:00,1
2019-04-20 12:03:00,1
2019-04-20 12:04:00,1
2019-04-20 12:06:00,1
2019-04-20 12:08:00,1
2019-04-20 12:14:00,1
2019-04-23 19:55:00,1
2019-04-23 20:12:00,1
2019-04-23 20:24:00,1
