6756,"select ra, dec, l, b, extinction_u, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1# (psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1# (psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r, #/SQRT (psfFluxIvar_i) /psfFlux_i as psfPogErr_i, #/SQRT (psfFluxIvar_z) /psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-03-07 18:13:00,6
2019-03-07 18:14:00,6
2019-03-07 18:15:00,6
2019-03-07 18:16:00,5
2019-03-07 18:17:00,9
2019-03-07 18:18:00,4
2019-03-07 18:19:00,8
2019-03-07 18:20:00,7
2019-03-07 18:21:00,5
2019-03-07 18:22:00,8
2019-03-07 18:23:00,7
2019-03-07 18:24:00,6
2019-03-07 18:25:00,7
2019-03-07 18:26:00,5
2019-03-07 18:27:00,8
2019-03-07 18:28:00,6
2019-03-07 18:29:00,7
2019-03-07 18:30:00,7
2019-03-07 18:31:00,6
2019-03-07 18:32:00,8
2019-03-07 18:33:00,6
2019-03-07 18:34:00,9
2019-03-07 18:35:00,4
2019-03-07 18:36:00,8
2019-03-07 18:37:00,7
2019-03-07 18:38:00,7
2019-03-07 18:39:00,5
2019-03-07 18:40:00,8
2019-03-07 18:41:00,4
2019-03-07 18:42:00,6
2019-03-07 18:43:00,5
2019-03-07 18:44:00,6
2019-03-07 18:45:00,5
2019-03-07 18:46:00,6
2019-03-07 18:47:00,8
2019-03-07 18:48:00,5
2019-03-07 18:49:00,3
2019-03-07 18:51:00,1
2019-03-07 18:53:00,2
2019-03-07 18:54:00,1
2019-03-07 18:58:00,1
2019-03-07 18:59:00,3
2019-03-07 19:00:00,8
2019-03-07 19:01:00,5
2019-03-07 19:02:00,7
2019-03-07 19:03:00,8
2019-03-07 19:04:00,8
2019-03-07 19:05:00,6
2019-03-07 19:06:00,8
2019-03-07 19:07:00,10
2019-03-07 19:08:00,6
2019-03-07 19:09:00,9
2019-03-07 19:10:00,7
2019-03-07 19:11:00,6
2019-03-07 19:12:00,12
2019-03-07 19:13:00,10
2019-03-07 19:14:00,9
2019-03-07 19:15:00,11
2019-03-07 19:16:00,9
2019-03-07 19:17:00,10
2019-03-07 19:18:00,6
2019-03-07 19:19:00,11
2019-03-07 19:20:00,8
2019-03-07 19:21:00,9
2019-03-07 19:22:00,9
2019-03-07 19:23:00,11
2019-03-07 19:24:00,17
2019-03-07 19:25:00,11
2019-03-07 19:26:00,9
2019-03-07 19:27:00,3
2019-03-07 19:28:00,1
2019-03-07 19:37:00,1
2019-03-07 19:39:00,8
2019-03-07 19:40:00,13
2019-03-07 19:41:00,4
2019-03-07 19:42:00,1
2019-03-07 19:47:00,1
2019-03-07 19:50:00,1
2019-03-07 19:51:00,7
2019-03-07 19:52:00,5
2019-03-07 19:53:00,3
2019-03-07 19:54:00,4
2019-03-07 19:55:00,3
2019-03-07 19:56:00,5
2019-03-07 19:57:00,3
2019-03-07 19:58:00,4
2019-03-07 19:59:00,5
2019-03-07 20:00:00,6
2019-03-07 20:01:00,5
2019-03-07 20:02:00,3
2019-03-07 20:03:00,4
2019-03-07 20:04:00,6
2019-03-07 20:05:00,6
2019-03-07 20:06:00,6
2019-03-07 20:07:00,5
2019-03-07 20:08:00,6
2019-03-07 20:09:00,5
2019-03-07 20:10:00,5
2019-03-07 20:11:00,5
2019-03-07 20:12:00,3
2019-03-07 20:13:00,4
2019-03-07 20:14:00,2
2019-03-07 20:15:00,2
2019-03-07 20:16:00,3
2019-03-07 20:17:00,4
2019-03-07 20:18:00,2
2019-03-07 20:19:00,7
2019-03-07 20:20:00,7
2019-03-07 20:21:00,6
2019-03-07 20:22:00,4
2019-03-07 20:23:00,5
2019-03-07 20:24:00,7
2019-03-07 20:25:00,3
2019-03-07 20:34:00,1
2019-03-08 02:52:00,1
2019-03-08 02:53:00,3
2019-03-08 02:54:00,4
2019-03-08 02:55:00,5
2019-03-08 02:56:00,3
2019-03-08 02:57:00,5
2019-03-08 02:58:00,4
2019-03-08 02:59:00,5
2019-03-08 03:00:00,4
2019-03-08 03:01:00,5
2019-03-08 03:02:00,3
2019-03-08 03:11:00,4
2019-03-08 03:12:00,6
2019-03-08 03:13:00,5
2019-03-08 03:14:00,5
2019-03-08 03:15:00,6
2019-03-08 03:16:00,6
2019-03-08 03:17:00,5
2019-03-08 03:18:00,7
2019-03-08 03:19:00,7
2019-03-08 03:20:00,8
2019-03-08 03:21:00,7
2019-03-08 03:22:00,6
2019-03-08 03:23:00,8
2019-03-08 03:24:00,8
2019-03-08 03:25:00,7
2019-03-08 03:26:00,8
2019-03-08 03:27:00,6
2019-03-08 03:28:00,6
2019-03-08 03:29:00,9
2019-03-08 03:30:00,7
2019-03-08 03:31:00,11
2019-03-08 03:32:00,8
2019-03-08 03:33:00,9
2019-03-08 03:34:00,11
2019-03-08 03:35:00,9
2019-03-08 03:36:00,11
2019-03-08 03:37:00,9
2019-03-08 03:38:00,3
2019-03-08 03:39:00,4
2019-03-08 03:40:00,5
2019-03-08 03:41:00,5
2019-03-08 03:42:00,3
2019-03-08 03:43:00,5
2019-03-08 03:44:00,3
2019-03-08 03:45:00,6
2019-03-08 03:46:00,4
2019-03-08 03:47:00,6
2019-03-08 03:48:00,5
2019-03-08 03:49:00,3
2019-03-08 03:50:00,6
2019-03-08 03:51:00,6
2019-03-08 03:52:00,5
2019-03-08 03:53:00,9
2019-03-08 03:54:00,5
2019-03-08 03:55:00,7
2019-03-08 03:56:00,9
2019-03-08 03:57:00,8
2019-03-08 03:58:00,7
2019-03-08 03:59:00,8
2019-03-08 04:00:00,7
2019-03-08 04:01:00,5
2019-03-08 04:02:00,7
2019-03-08 04:03:00,7
2019-03-08 04:04:00,6
2019-03-08 04:05:00,6
2019-03-08 04:06:00,4
2019-03-08 04:07:00,2
2019-03-08 04:51:00,4
2019-03-08 04:52:00,5
2019-03-08 04:53:00,5
2019-03-08 04:54:00,4
2019-03-08 04:55:00,4
2019-03-08 04:56:00,5
2019-03-08 04:57:00,6
2019-03-08 04:58:00,4
2019-03-08 04:59:00,5
2019-03-08 05:00:00,9
2019-03-08 05:01:00,9
2019-03-08 05:02:00,7
2019-03-08 05:03:00,8
2019-03-08 05:04:00,9
2019-03-08 05:05:00,7
2019-03-08 05:06:00,11
2019-03-08 05:07:00,7
2019-03-08 05:08:00,10
2019-03-08 05:09:00,12
2019-03-08 05:10:00,7
2019-03-08 05:11:00,7
2019-03-08 05:12:00,9
2019-03-08 05:13:00,10
2019-03-08 05:14:00,11
2019-03-08 05:15:00,10
2019-03-08 05:16:00,11
2019-03-08 05:17:00,12
2019-03-08 05:18:00,7
2019-03-08 05:19:00,10
2019-03-08 05:20:00,9
2019-03-08 05:21:00,8
2019-03-08 05:22:00,5
2019-03-08 05:23:00,8
2019-03-08 05:24:00,6
2019-03-08 05:25:00,8
2019-03-08 05:26:00,5
2019-03-08 05:27:00,10
2019-03-08 05:28:00,5
2019-03-08 05:29:00,5
2019-03-08 05:30:00,8
2019-03-08 05:31:00,6
2019-03-08 05:32:00,10
2019-03-08 05:33:00,8
2019-03-08 05:34:00,8
2019-03-08 05:35:00,8
2019-03-08 05:36:00,7
2019-03-08 05:37:00,6
2019-03-08 05:38:00,6
2019-03-08 05:39:00,6
2019-03-08 05:40:00,5
2019-03-08 05:41:00,8
2019-03-08 05:42:00,11
2019-03-08 05:43:00,7
2019-03-08 05:44:00,7
2019-03-08 05:45:00,7
2019-03-16 03:38:00,3
2019-03-16 03:39:00,4
2019-03-16 03:40:00,5
2019-03-16 03:41:00,2
2019-03-16 03:42:00,4
2019-03-16 03:43:00,5
2019-03-16 03:44:00,5
2019-03-16 03:45:00,5
2019-03-16 03:46:00,6
2019-03-16 03:47:00,5
2019-03-16 03:48:00,4
2019-03-16 03:49:00,6
2019-03-16 03:50:00,5
2019-03-16 03:51:00,6
2019-03-16 03:52:00,5
2019-03-16 03:53:00,3
2019-03-16 03:54:00,5
2019-03-16 03:55:00,5
2019-03-16 03:56:00,5
2019-03-16 03:57:00,8
2019-03-16 03:58:00,6
2019-03-16 03:59:00,7
2019-03-16 04:00:00,5
2019-03-16 04:01:00,6
2019-03-16 04:02:00,5
2019-03-16 04:03:00,6
2019-03-16 04:04:00,5
2019-03-16 04:05:00,6
2019-03-16 04:06:00,5
2019-03-16 04:07:00,6
2019-03-16 04:08:00,7
2019-03-16 04:09:00,7
2019-03-16 04:10:00,7
2019-03-16 04:11:00,6
2019-03-16 04:12:00,7
2019-03-16 04:13:00,5
2019-03-16 04:14:00,6
2019-03-16 04:49:00,1
2019-03-16 04:50:00,5
2019-03-16 04:51:00,5
2019-03-16 04:52:00,6
2019-03-16 04:53:00,4
2019-03-16 04:54:00,7
2019-03-16 04:55:00,8
2019-03-16 04:56:00,7
2019-03-16 04:57:00,6
2019-03-16 04:58:00,6
2019-03-16 04:59:00,6
2019-03-16 05:00:00,6
2019-03-16 05:01:00,6
2019-03-16 05:02:00,8
2019-03-16 05:03:00,6
2019-03-16 05:04:00,5
2019-03-16 05:39:00,3
2019-03-16 05:40:00,10
2019-03-16 05:41:00,5
2019-03-16 05:42:00,9
2019-03-16 05:43:00,7
2019-03-16 05:44:00,7
2019-03-16 05:45:00,2
2019-03-16 06:20:00,4
2019-03-16 06:21:00,8
2019-03-16 06:22:00,7
2019-03-16 06:23:00,5
2019-03-16 06:24:00,5
2019-03-16 06:25:00,6
2019-03-16 06:26:00,11
2019-03-16 06:27:00,5
2019-03-16 06:28:00,5
2019-03-16 06:29:00,6
2019-03-16 06:30:00,10
2019-03-16 06:31:00,5
2019-03-16 06:32:00,9
2019-03-16 06:33:00,7
2019-03-16 06:34:00,7
2019-03-16 06:35:00,5
2019-03-16 06:36:00,6
2019-03-16 06:37:00,8
2019-03-16 06:38:00,7
2019-03-16 06:39:00,8
2019-03-16 06:40:00,7
2019-03-16 06:41:00,9
2019-03-16 06:42:00,7
2019-03-16 06:43:00,4
2019-03-16 06:44:00,7
2019-03-16 06:45:00,9
2019-03-16 06:46:00,7
2019-03-16 06:47:00,6
2019-03-16 06:48:00,6
2019-03-16 06:49:00,7
2019-03-16 06:50:00,5
2019-03-16 06:51:00,5
2019-03-16 06:52:00,6
2019-03-16 06:53:00,7
2019-03-16 06:54:00,5
2019-03-16 06:55:00,6
2019-03-16 06:56:00,7
2019-03-16 06:57:00,6
2019-03-16 06:58:00,6
2019-03-16 06:59:00,7
2019-03-16 07:00:00,10
2019-03-16 07:01:00,9
2019-03-16 07:02:00,8
2019-03-16 07:03:00,6
2019-03-16 07:04:00,9
2019-03-16 07:05:00,13
2019-03-16 07:06:00,8
2019-03-16 07:07:00,6
2019-03-16 07:08:00,10
2019-03-16 07:09:00,7
2019-03-16 07:10:00,7
2019-03-16 07:11:00,7
2019-03-16 07:12:00,9
2019-03-16 07:13:00,12
2019-03-16 07:14:00,11
2019-03-16 07:15:00,11
2019-03-16 07:16:00,4
2019-03-16 07:51:00,4
2019-03-16 07:52:00,3
2019-03-16 08:27:00,7
2019-03-16 08:28:00,15
2019-03-16 08:29:00,11
2019-03-16 08:30:00,11
2019-03-16 08:31:00,14
2019-03-16 08:32:00,11
2019-03-16 08:33:00,16
2019-03-16 08:34:00,15
2019-03-16 08:35:00,9
2019-03-16 08:36:00,15
2019-03-16 08:37:00,22
2019-03-16 08:38:00,14
2019-03-16 08:39:00,19
2019-03-16 08:40:00,17
2019-03-16 08:41:00,19
2019-03-16 08:42:00,20
2019-03-16 08:43:00,11
2019-03-16 09:18:00,10
2019-03-16 09:19:00,23
2019-03-16 09:20:00,15
2019-03-16 09:21:00,20
2019-03-16 09:22:00,20
2019-03-16 09:23:00,19
2019-03-16 09:24:00,23
2019-03-16 09:25:00,22
2019-03-16 09:26:00,23
2019-03-16 09:27:00,23
2019-03-16 09:28:00,36
2019-03-16 09:29:00,36
2019-03-16 09:30:00,37
2019-03-16 09:31:00,46
2019-03-16 09:32:00,43
2019-03-16 09:33:00,44
2019-03-16 09:34:00,40
2019-03-16 09:35:00,57
2019-03-16 09:36:00,44
2019-03-16 09:37:00,55
2019-03-16 09:38:00,45
2019-03-16 09:39:00,60
2019-03-16 09:40:00,23
2019-03-16 10:15:00,41
2019-03-16 10:16:00,58
2019-03-16 10:17:00,56
2019-03-16 10:18:00,70
2019-03-16 10:19:00,59
2019-03-16 10:54:00,13
2019-03-16 10:55:00,69
2019-03-16 10:56:00,66
2019-03-16 10:57:00,64
2019-03-16 10:58:00,68
2019-03-16 10:59:00,66
2019-03-16 11:00:00,68
2019-03-16 11:01:00,68
2019-03-16 11:02:00,38
2019-03-16 11:37:00,17
2019-03-16 11:38:00,74
2019-03-16 11:39:00,67
2019-03-16 11:40:00,72
2019-03-16 11:41:00,72
2019-03-16 11:42:00,32
2019-03-16 12:17:00,45
2019-03-16 12:18:00,74
2019-03-16 12:19:00,72
2019-03-16 12:20:00,73
2019-03-16 12:21:00,76
2019-03-16 12:22:00,63
2019-03-16 12:23:00,36
2019-03-16 12:58:00,26
2019-03-16 13:33:00,13
2019-03-16 13:34:00,67
2019-03-16 13:35:00,74
2019-03-16 13:36:00,74
2019-03-16 13:37:00,23
2019-03-16 14:12:00,14
2019-03-16 14:31:00,1
2019-03-16 14:32:00,4
2019-03-16 14:33:00,3
2019-03-16 14:34:00,4
2019-03-16 14:35:00,4
2019-03-16 14:36:00,4
2019-03-16 14:37:00,5
2019-03-16 14:38:00,5
2019-03-16 14:39:00,5
2019-03-16 14:40:00,5
2019-03-16 14:41:00,4
2019-03-16 15:16:00,2
2019-03-16 15:17:00,4
2019-03-16 15:18:00,5
2019-03-16 15:19:00,5
2019-03-16 15:20:00,5
2019-03-16 15:21:00,5
2019-03-16 15:22:00,6
2019-03-16 15:23:00,3
2019-03-16 15:24:00,7
2019-03-16 15:25:00,5
2019-03-16 15:26:00,6
2019-03-16 15:27:00,5
2019-03-16 15:28:00,7
2019-03-16 15:29:00,5
2019-03-16 15:30:00,8
2019-03-16 15:31:00,6
2019-03-16 15:32:00,6
2019-03-16 15:33:00,7
2019-03-16 15:34:00,6
2019-03-16 15:35:00,5
2019-03-16 15:36:00,6
2019-03-16 15:37:00,1
2019-03-16 16:12:00,7
2019-03-16 16:13:00,6
2019-03-16 16:14:00,4
2019-03-16 16:49:00,4
2019-03-16 16:50:00,10
2019-03-16 16:51:00,5
2019-03-16 16:52:00,11
2019-03-16 16:53:00,15
2019-03-16 16:54:00,15
2019-03-16 16:55:00,9
2019-03-16 16:56:00,12
2019-03-16 16:57:00,12
2019-03-16 16:58:00,12
2019-03-16 16:59:00,7
2019-03-16 17:00:00,11
2019-03-16 17:01:00,12
2019-03-16 17:02:00,22
2019-03-16 17:03:00,10
2019-03-16 17:04:00,10
2019-03-16 17:05:00,13
2019-03-16 17:06:00,22
2019-03-16 17:07:00,22
2019-03-16 17:08:00,19
2019-03-16 17:09:00,24
2019-03-16 17:10:00,18
2019-03-16 17:11:00,19
2019-03-16 17:12:00,18
2019-03-16 17:13:00,29
2019-03-16 17:14:00,28
2019-03-16 17:15:00,28
2019-03-16 17:16:00,23
2019-03-16 17:17:00,29
2019-03-16 17:18:00,32
2019-03-16 17:19:00,30
2019-03-16 17:20:00,37
2019-03-16 17:21:00,38
2019-03-16 17:22:00,29
2019-03-16 17:23:00,39
2019-03-16 17:24:00,38
2019-03-16 17:25:00,38
2019-03-16 17:26:00,45
2019-03-16 17:27:00,42
2019-04-19 02:09:00,2
2019-08-15 01:39:00,2
2019-08-15 01:40:00,4
2019-08-15 01:41:00,1
2019-08-15 01:42:00,2
2019-08-15 01:43:00,4
2019-08-15 01:44:00,3
2019-08-15 01:45:00,3
2019-08-15 01:50:00,3
2019-08-15 01:51:00,4
