288,"SELECT s.*, dbo.fDistanceArcMinEq (s.RA+ ((s.pmra/cos (radians (s.Dec) )) /#.) * (s.mjd_f-s.mjd) /#, s.Dec+ (s.pmdec/#.) * (s.mjd_f-s.mjd) /#, s.ra2, s.dec2) *#. as Separation from MyDB.gaia_neigh_galex_mjd as s WHERE dbo.fDistanceArcMinEq (s.RA+ ((s.pmra/cos (radians (s.Dec) )) /#.) * (s.mjd_f-s.mjd) /#, s.Dec+ (s.pmdec/#.) * (s.mjd_f-s.mjd) /#, s.ra2, s.dec2) *#.< =# -- cone search #/arcsec INTO gaia_X_galex_test1"
2019-05-18 18:26:00,1
2019-05-18 18:37:00,1
2019-05-19 04:04:00,1
2019-05-19 04:19:00,1
2019-05-19 04:30:00,1
2019-05-19 04:42:00,1
2019-05-19 04:53:00,1
2019-05-19 05:04:00,1
2019-05-19 05:15:00,1
2019-05-19 05:26:00,1
2019-05-19 05:36:00,1
2019-05-19 05:47:00,1
2019-05-19 05:57:00,1
2019-05-19 06:07:00,1
2019-05-19 06:18:00,1
2019-05-19 06:28:00,1
2019-05-19 06:39:00,1
2019-05-19 06:49:00,1
2019-05-19 06:59:00,1
2019-05-19 07:10:00,1
2019-05-19 07:21:00,1
2019-05-19 07:31:00,1
2019-05-19 07:42:00,1
2019-05-19 07:52:00,1
2019-05-19 08:02:00,1
2019-05-19 08:13:00,1
2019-05-19 08:23:00,1
2019-05-19 08:33:00,1
2019-05-19 08:44:00,1
2019-05-19 08:56:00,1
2019-05-19 09:09:00,1
2019-05-19 09:21:00,1
2019-05-19 09:33:00,1
2019-05-19 09:45:00,1
2019-05-19 09:57:00,1
2019-05-19 10:09:00,1
2019-05-19 10:22:00,1
2019-05-19 10:35:00,1
2019-05-19 10:48:00,1
2019-05-19 11:00:00,1
2019-05-19 11:11:00,1
2019-05-19 11:23:00,1
2019-05-19 11:34:00,1
2019-05-19 11:47:00,1
2019-05-19 12:00:00,1
2019-05-19 12:12:00,1
2019-05-19 12:24:00,1
2019-05-19 12:36:00,1
2019-05-19 12:46:00,1
2019-05-19 12:57:00,1
2019-05-19 13:09:00,1
2019-05-19 13:20:00,1
2019-05-19 13:31:00,1
2019-05-19 13:42:00,1
2019-05-19 13:52:00,1
2019-05-19 14:03:00,1
2019-05-19 14:13:00,1
2019-05-19 14:24:00,1
2019-05-19 14:34:00,1
2019-05-19 14:45:00,1
2019-05-19 14:55:00,1
2019-05-19 15:06:00,1
2019-05-19 15:16:00,1
2019-05-19 15:27:00,1
2019-05-19 15:38:00,1
2019-05-19 15:49:00,1
2019-05-19 16:00:00,1
2019-05-19 16:10:00,1
2019-05-19 16:21:00,1
2019-05-19 16:32:00,1
2019-05-19 16:43:00,1
2019-05-19 16:54:00,1
2019-05-19 17:04:00,1
2019-05-19 17:16:00,1
2019-05-19 17:27:00,1
2019-05-19 17:38:00,1
2019-05-19 17:49:00,1
2019-05-19 18:01:00,1
2019-05-19 18:12:00,1
2019-05-19 18:25:00,1
2019-05-19 18:37:00,1
2019-05-19 18:49:00,1
2019-05-19 19:01:00,1
2019-05-19 19:13:00,1
2019-05-19 19:25:00,1
2019-05-19 19:36:00,1
2019-05-19 19:47:00,1
2019-05-19 19:59:00,1
2019-05-20 00:07:00,1
2019-05-20 00:19:00,1
2019-05-20 00:31:00,1
2019-05-20 00:42:00,1
2019-05-20 00:53:00,1
2019-05-20 01:05:00,1
2019-05-20 01:17:00,1
2019-05-20 01:29:00,1
2019-05-20 01:41:00,1
2019-05-20 01:53:00,1
2019-05-20 02:05:00,1
2019-05-20 02:16:00,1
2019-05-20 02:27:00,1
2019-05-20 02:39:00,1
2019-05-20 02:51:00,1
2019-05-20 03:02:00,1
2019-05-20 03:12:00,1
2019-05-20 03:22:00,1
2019-05-20 03:33:00,1
2019-05-20 03:44:00,1
2019-05-20 03:54:00,1
2019-05-20 04:05:00,1
2019-05-20 05:26:00,1
2019-05-20 05:36:00,1
2019-05-20 05:47:00,1
2019-05-20 05:57:00,1
2019-05-20 06:08:00,1
2019-05-20 06:19:00,1
2019-05-20 06:29:00,1
2019-05-20 06:40:00,1
2019-05-20 06:51:00,1
2019-05-20 07:01:00,1
2019-05-20 07:12:00,1
2019-05-20 07:23:00,1
2019-05-20 07:34:00,1
2019-05-20 07:45:00,1
2019-05-20 07:56:00,1
2019-05-20 08:07:00,1
2019-05-20 08:17:00,1
2019-05-20 08:28:00,1
2019-05-20 08:40:00,1
2019-05-20 08:52:00,1
2019-05-20 09:04:00,1
2019-05-20 09:16:00,1
2019-05-20 09:27:00,1
2019-05-20 09:39:00,1
2019-05-20 09:52:00,1
2019-05-20 10:04:00,1
2019-05-20 10:16:00,1
2019-05-20 10:26:00,1
2019-05-20 10:37:00,1
2019-05-20 10:48:00,1
2019-05-20 10:59:00,1
2019-05-20 11:10:00,1
2019-05-20 11:20:00,1
2019-05-20 11:31:00,1
2019-05-20 11:42:00,1
2019-05-20 11:53:00,1
2019-05-20 12:04:00,1
2019-05-20 12:15:00,1
2019-05-20 12:26:00,1
2019-05-20 12:37:00,1
2019-05-20 12:48:00,1
2019-05-20 12:58:00,1
2019-05-20 13:08:00,1
2019-05-20 13:19:00,1
2019-05-20 13:29:00,1
2019-05-20 13:40:00,1
2019-05-20 13:51:00,1
2019-05-20 14:02:00,1
2019-05-20 14:12:00,1
2019-05-20 14:23:00,1
2019-05-20 14:33:00,1
2019-05-20 14:44:00,1
2019-05-20 14:54:00,1
2019-05-20 15:05:00,1
2019-05-20 15:15:00,1
2019-05-20 15:26:00,1
2019-05-20 15:36:00,1
2019-05-20 15:47:00,1
2019-05-20 15:58:00,1
2019-05-20 16:09:00,1
2019-05-20 16:20:00,1
2019-05-20 16:30:00,1
2019-05-20 16:41:00,1
2019-05-20 16:52:00,1
2019-05-20 17:03:00,1
2019-05-20 17:13:00,1
2019-05-20 17:24:00,1
2019-05-20 17:36:00,1
2019-05-20 17:47:00,1
2019-05-20 17:58:00,1
2019-05-20 18:09:00,1
2019-05-20 18:20:00,1
2019-05-22 08:17:00,1
2019-05-22 08:20:00,1
2019-05-22 08:21:00,1
