156,"SELECT count (*) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type not IN () ) then # else # end) as # FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-03-01 18:43:00,1
2019-03-01 18:44:00,1
2019-03-01 18:45:00,4
2019-03-01 18:46:00,4
2019-03-01 18:49:00,2
2019-03-01 19:01:00,1
2019-03-02 17:23:00,1
2019-03-03 13:02:00,1
2019-03-03 13:03:00,1
2019-03-03 13:17:00,1
2019-03-03 13:18:00,1
2019-03-03 13:19:00,2
2019-03-03 13:20:00,1
2019-03-03 13:21:00,1
2019-03-03 13:22:00,1
2019-03-03 13:23:00,1
2019-03-03 13:24:00,2
2019-03-03 13:25:00,3
2019-03-03 13:35:00,1
2019-03-03 13:51:00,1
2019-03-03 14:04:00,1
2019-03-03 14:05:00,1
2019-03-03 15:24:00,1
2019-03-03 15:27:00,1
2019-03-03 15:55:00,1
2019-03-03 16:00:00,1
2019-03-03 16:01:00,1
2019-03-04 12:17:00,1
2019-03-04 13:10:00,1
2019-03-04 13:31:00,1
2019-03-04 17:51:00,1
2019-03-04 17:59:00,1
2019-03-04 18:48:00,1
2019-03-05 01:07:00,2
2019-03-05 10:14:00,1
2019-03-05 13:11:00,1
2019-03-05 17:01:00,1
2019-03-05 17:02:00,1
2019-03-05 17:05:00,1
2019-03-05 17:08:00,1
2019-03-05 17:18:00,2
2019-03-05 17:19:00,3
2019-03-05 17:20:00,1
2019-03-06 09:59:00,1
2019-03-06 11:16:00,1
2019-03-06 11:17:00,1
2019-03-06 14:07:00,1
2019-03-06 14:14:00,1
2019-03-06 16:46:00,1
2019-03-06 17:07:00,1
2019-03-06 17:10:00,1
2019-03-06 17:13:00,1
2019-03-06 17:14:00,1
2019-03-06 17:25:00,1
2019-03-07 10:57:00,1
2019-03-07 11:19:00,1
2019-03-07 11:26:00,2
2019-03-07 11:27:00,3
2019-03-07 11:28:00,2
2019-03-07 11:35:00,6
2019-03-07 11:39:00,6
2019-03-07 12:01:00,6
2019-03-07 12:02:00,6
2019-03-07 12:04:00,6
2019-03-07 12:13:00,2
2019-03-07 12:14:00,10
2019-03-07 12:15:00,6
2019-03-07 12:23:00,6
2019-03-07 12:31:00,6
2019-03-07 12:32:00,12
2019-03-07 13:12:00,1
2019-04-03 12:48:00,1
2019-04-03 13:06:00,1
2019-04-04 13:18:00,2
2019-05-09 17:12:00,1
