21,"SELECT EID, [Reason_for_skipping_hip_measurement_#], [Reason_for_skipping_sitting_height_#], [Reason_for_skipping_standing_height_#], [Reason_for_skipping_waist_#], [Reason_for_skipping_weight_#], [Height_#], [Weight_pre_imaging__#], [Waist_circumference_#], [Weight_#], [Body_mass_index_BMI__#], [Hip_circumference_#], [Standing_height_#], [Seated_height_#], [Sitting_height_#], [Seating_box_height_#], [Weight_manual_entry_#], [Weight_method_#] FROM Body_size_measures GO"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:52:00,1
2019-04-24 09:49:00,1
2019-04-24 09:55:00,1
2019-04-24 13:20:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:26:00,1
2019-05-02 09:33:00,1
2019-05-02 10:35:00,1
