10,"SELECT A.RAJ2#, A.DEJ2#, C.z, C.zerr, C.class, C.subClass, C.specObjID, D.specObjID as specObjIDClean, A.INDX, C.ObjID, B.distance FROM MyDB.WISE_AGN_R9#_ptsrc_VIZIER AS A OUTER APPLY dbo.fGetNearestObjEq (A.RAJ2#, A.DEJ2#, #/#.) AS B LEFT OUTER JOIN SpecPhotoAll AS C ON B.objID = C.objID LEFT JOIN SpecObj as D ON C.specObjID = D.specObjID WHERE A.INDX BETWEEN # AND # INTO MyDB.WISE_AGN_R9#_ptsrc_VIZIER8#_SDSSspecDR1#_#as"
2019-09-23 13:14:00,1
2019-09-23 13:28:00,1
2019-09-23 13:44:00,1
2019-09-23 13:59:00,1
2019-09-23 14:15:00,1
2019-09-23 14:31:00,1
2019-09-23 14:47:00,1
2019-09-23 15:03:00,1
2019-09-23 15:19:00,1
2019-09-23 15:34:00,1
