34,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.u, p.g, p.r, p.i, p.z, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_i, p.modelMagErr_z, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.type FROM ..Star AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE p.r < #"
2019-02-13 16:53:00,1
2019-02-13 16:55:00,1
2019-02-13 17:02:00,1
2019-02-13 17:08:00,1
2019-02-13 17:10:00,2
2019-02-13 17:14:00,2
2019-02-13 17:16:00,1
2019-02-13 17:17:00,1
2019-02-13 17:20:00,1
2019-02-13 17:21:00,1
2019-02-13 17:28:00,1
2019-02-14 16:42:00,1
2019-02-14 16:43:00,1
2019-02-18 01:48:00,1
2019-02-18 01:49:00,1
2019-02-18 01:52:00,1
2019-02-18 01:54:00,1
2019-02-18 01:56:00,1
2019-02-18 01:57:00,1
2019-02-18 01:58:00,1
2019-02-18 02:01:00,1
2019-02-18 02:04:00,1
2019-02-18 10:46:00,1
2019-02-18 19:46:00,1
2019-09-03 06:08:00,1
2019-09-03 06:30:00,1
2019-09-03 06:43:00,1
2019-09-03 06:51:00,1
2019-09-03 06:58:00,1
2019-09-03 06:59:00,1
2019-10-11 09:42:00,1
2019-10-11 09:43:00,1
