1156,select fieldid from field where skyslope_r between -.# and -.# and medianpsfcolor_r between # and #
2019-01-25 11:44:00,4
2019-01-25 11:45:00,3
2019-01-25 11:46:00,2
2019-01-25 11:47:00,7
2019-01-25 11:48:00,1
2019-01-25 11:49:00,4
2019-01-25 11:50:00,3
2019-01-25 11:51:00,4
2019-01-25 11:52:00,2
2019-01-25 11:53:00,1
2019-01-25 11:54:00,1
2019-01-25 11:55:00,6
2019-01-25 11:56:00,7
2019-01-25 11:57:00,8
2019-01-25 11:58:00,3
2019-01-25 11:59:00,1
2019-01-25 12:00:00,1
2019-01-25 12:01:00,1
2019-01-25 12:02:00,4
2019-01-25 12:03:00,2
2019-01-25 12:04:00,1
2019-01-25 12:05:00,2
2019-01-25 12:06:00,1
2019-01-25 12:10:00,1
2019-01-25 12:11:00,1
2019-01-25 12:12:00,1
2019-01-25 12:23:00,2
2019-01-25 12:24:00,1
2019-01-25 12:25:00,1
2019-01-25 12:26:00,1
2019-01-25 12:27:00,4
2019-01-25 12:28:00,1
2019-01-25 12:29:00,2
2019-01-25 12:30:00,6
2019-01-25 12:31:00,1
2019-01-25 12:32:00,3
2019-01-25 12:33:00,2
2019-01-25 12:34:00,2
2019-01-25 12:35:00,1
2019-01-25 12:36:00,2
2019-01-25 12:38:00,2
2019-01-25 12:39:00,1
2019-01-25 14:37:00,2
2019-01-25 14:41:00,7
2019-01-25 14:42:00,4
2019-01-25 14:44:00,1
2019-01-25 14:53:00,6
2019-01-25 14:54:00,9
2019-01-25 15:03:00,4
2019-01-25 15:04:00,3
2019-01-25 15:12:00,2
2019-01-25 15:16:00,1
2019-01-25 15:21:00,1
2019-01-25 15:22:00,5
2019-01-25 15:23:00,1
2019-01-25 15:25:00,1
2019-01-25 15:26:00,1
2019-01-25 15:44:00,2
2019-01-25 16:02:00,3
2019-01-25 16:03:00,4
2019-01-25 16:12:00,1
2019-01-25 16:18:00,2
2019-01-25 16:19:00,5
2019-01-25 16:34:00,14
2019-01-25 16:35:00,2
2019-01-25 16:41:00,4
2019-01-25 16:42:00,6
2019-01-25 16:52:00,3
2019-01-25 17:09:00,1
2019-01-25 17:11:00,3
2019-01-27 21:08:00,4
2019-01-28 15:08:00,5
2019-01-28 15:37:00,2
2019-01-28 15:47:00,1
2019-01-28 15:48:00,2
2019-01-28 15:54:00,4
2019-01-28 15:56:00,2
2019-01-28 15:57:00,2
2019-01-28 16:01:00,3
2019-01-28 16:03:00,7
2019-01-28 16:10:00,2
2019-01-28 16:12:00,3
2019-01-28 16:13:00,1
2019-01-28 16:25:00,3
2019-01-28 16:26:00,1
2019-01-28 16:46:00,1
2019-01-28 16:47:00,3
2019-01-28 16:48:00,3
2019-01-28 16:49:00,5
2019-01-28 16:50:00,1
2019-01-28 16:51:00,5
2019-01-28 16:52:00,2
2019-01-28 16:53:00,2
2019-01-28 16:54:00,1
2019-01-28 16:55:00,2
2019-01-28 16:56:00,5
2019-01-28 16:57:00,13
2019-01-28 16:59:00,3
2019-01-28 17:01:00,2
2019-01-28 17:04:00,8
2019-01-28 17:05:00,2
2019-01-28 17:06:00,4
2019-01-28 17:07:00,1
2019-01-28 17:08:00,2
2019-01-28 17:09:00,4
2019-01-28 17:12:00,1
2019-01-28 17:15:00,1
2019-01-28 17:16:00,9
2019-01-28 17:17:00,2
2019-01-28 17:19:00,1
2019-01-28 17:20:00,1
2019-01-28 17:21:00,1
2019-01-28 17:26:00,5
2019-01-28 17:27:00,12
2019-01-28 17:50:00,1
2019-01-28 17:52:00,5
2019-01-28 17:53:00,2
2019-01-28 18:03:00,6
2019-01-28 18:27:00,2
2019-01-28 18:28:00,1
2019-01-28 19:19:00,4
2019-01-28 19:21:00,3
2019-01-28 20:02:00,1
2019-01-28 20:09:00,2
2019-01-28 20:12:00,1
2019-01-28 20:13:00,5
2019-01-28 20:20:00,1
2019-01-28 20:21:00,5
2019-01-28 20:22:00,1
2019-01-28 20:23:00,2
2019-01-28 20:32:00,1
2019-01-28 20:33:00,1
2019-01-28 20:34:00,5
2019-01-28 20:56:00,5
2019-01-28 21:00:00,1
2019-01-28 21:40:00,5
2019-01-28 21:46:00,1
2019-01-28 22:07:00,2
2019-01-28 22:36:00,7
2019-01-28 22:40:00,1
2019-01-28 22:45:00,1
2019-01-28 23:18:00,1
2019-01-28 23:19:00,1
2019-01-28 23:30:00,1
2019-01-28 23:36:00,1
2019-01-28 23:37:00,1
2019-01-28 23:39:00,3
2019-01-28 23:42:00,1
2019-01-28 23:43:00,1
2019-01-28 23:46:00,2
2019-01-28 23:47:00,1
2019-01-28 23:48:00,1
2019-01-28 23:49:00,2
2019-01-28 23:51:00,1
2019-01-28 23:53:00,1
2019-01-28 23:54:00,1
2019-02-26 10:52:00,1
2019-02-26 10:57:00,6
2019-02-26 10:59:00,1
2019-02-26 11:06:00,3
2019-02-26 11:07:00,7
2019-02-26 11:08:00,11
2019-02-26 11:10:00,1
2019-02-26 11:11:00,3
2019-02-26 11:24:00,1
2019-02-26 11:25:00,3
2019-02-26 11:35:00,1
2019-02-26 11:38:00,2
2019-02-26 11:53:00,2
2019-02-26 11:54:00,6
2019-02-26 11:55:00,3
2019-02-26 11:56:00,1
2019-02-26 11:57:00,2
2019-02-26 11:58:00,5
2019-02-26 11:59:00,2
2019-02-26 12:00:00,1
2019-02-26 12:01:00,5
2019-02-26 12:04:00,3
2019-02-26 12:05:00,3
2019-02-26 12:06:00,5
2019-02-26 12:07:00,1
2019-02-26 12:24:00,1
2019-02-26 13:01:00,4
2019-02-26 13:02:00,3
2019-02-26 13:04:00,2
2019-02-26 13:05:00,1
2019-02-26 13:08:00,2
2019-02-26 13:09:00,5
2019-02-26 13:15:00,11
2019-02-26 13:23:00,9
2019-02-26 13:24:00,2
