392,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.modelMag_g as g, sp.modelMagerr_g as err_g, sp.modelMag_i as i, sp.modelMagerr_i as err_i, gs.h_alpha_eqw, gs.oii_#_eqw, p.aperFlux7_g, p.aperFlux7Ivar_g as var_g, p.aperFlux7_i, p.aperFlux7Ivar_i as var_i FROM GalSpecLine AS gs JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.modelMag_g-sp.modelMag_i between # and # and sp.z between # and # and sp.modelMag_i-#*log1# (#E+#*sp.z) < #"
2019-03-14 22:51:00,1
2019-03-14 22:52:00,2
2019-03-14 22:53:00,2
2019-03-14 22:54:00,2
2019-03-14 22:55:00,3
2019-03-14 22:56:00,1
2019-03-14 22:57:00,2
2019-03-14 22:58:00,3
2019-03-14 22:59:00,2
2019-03-14 23:00:00,1
2019-03-14 23:01:00,2
2019-03-14 23:02:00,1
2019-03-14 23:03:00,1
2019-03-14 23:04:00,1
2019-03-14 23:05:00,2
2019-03-14 23:06:00,2
2019-03-14 23:07:00,2
2019-03-14 23:08:00,1
2019-03-14 23:09:00,2
2019-03-14 23:10:00,2
2019-03-14 23:11:00,1
2019-03-14 23:12:00,2
2019-03-14 23:14:00,1
2019-03-14 23:15:00,1
2019-03-14 23:16:00,1
2019-03-14 23:18:00,1
2019-03-14 23:19:00,2
2019-03-14 23:20:00,2
2019-03-14 23:21:00,2
2019-03-14 23:22:00,2
2019-03-21 11:46:00,1
2019-03-21 11:47:00,1
2019-03-21 12:56:00,1
2019-03-21 12:57:00,1
2019-03-21 13:00:00,1
2019-03-21 13:01:00,1
2019-03-21 13:02:00,1
2019-03-21 13:03:00,1
2019-03-21 13:04:00,1
2019-03-21 13:05:00,1
2019-03-21 13:11:00,1
2019-03-21 13:12:00,1
2019-03-21 13:13:00,1
2019-03-21 13:15:00,3
2019-03-21 13:16:00,2
2019-03-21 13:17:00,2
2019-03-21 13:21:00,1
2019-03-21 13:23:00,1
2019-03-21 13:24:00,2
2019-03-21 13:25:00,3
2019-03-21 13:26:00,2
2019-03-21 13:27:00,3
2019-03-21 13:28:00,1
2019-03-21 13:29:00,2
2019-03-21 13:30:00,4
2019-03-21 13:31:00,2
2019-03-21 13:32:00,2
2019-03-21 13:33:00,1
2019-03-21 13:34:00,1
2019-03-21 13:35:00,1
2019-03-21 13:36:00,2
2019-03-21 13:37:00,1
2019-03-21 13:38:00,1
2019-03-21 13:39:00,1
2019-03-21 13:40:00,1
2019-03-21 13:41:00,1
2019-03-21 13:43:00,2
2019-03-21 13:44:00,1
2019-03-21 13:45:00,3
2019-03-21 13:46:00,2
2019-03-21 13:47:00,1
2019-03-21 16:11:00,1
2019-03-21 16:12:00,1
2019-03-21 16:15:00,1
2019-03-21 16:18:00,1
2019-03-21 16:20:00,1
2019-03-21 16:23:00,1
2019-03-21 16:24:00,1
2019-03-21 16:26:00,1
2019-03-21 16:28:00,1
2019-03-21 16:30:00,1
2019-03-21 16:34:00,1
2019-03-21 16:35:00,1
2019-03-21 16:38:00,1
2019-03-21 16:39:00,1
2019-03-21 16:41:00,1
2019-03-21 16:42:00,1
2019-03-21 16:44:00,1
2019-03-21 16:46:00,1
2019-03-21 16:47:00,1
2019-03-21 16:51:00,1
2019-03-21 16:53:00,1
2019-03-21 16:56:00,1
2019-03-21 16:57:00,1
2019-03-21 17:08:00,1
2019-03-21 17:09:00,1
2019-03-21 17:11:00,1
2019-03-21 17:13:00,1
2019-03-21 17:15:00,1
2019-03-21 17:16:00,1
2019-03-21 17:18:00,1
2019-03-21 17:20:00,1
2019-03-21 17:24:00,1
2019-03-21 17:25:00,1
2019-03-21 17:27:00,1
2019-03-21 17:28:00,1
2019-03-21 17:29:00,1
2019-03-21 17:30:00,1
2019-03-21 17:31:00,1
2019-03-21 17:33:00,1
2019-03-21 17:34:00,1
2019-03-21 17:36:00,1
2019-03-21 17:38:00,1
2019-03-21 17:39:00,1
2019-03-21 17:40:00,1
2019-03-21 17:41:00,1
2019-03-21 17:42:00,1
2019-03-21 17:46:00,1
2019-03-21 17:47:00,1
2019-03-21 17:49:00,1
2019-03-21 17:50:00,1
2019-03-21 23:20:00,2
2019-03-21 23:23:00,1
2019-03-21 23:24:00,1
2019-03-21 23:25:00,1
2019-03-21 23:26:00,1
2019-03-21 23:27:00,2
2019-03-21 23:28:00,2
2019-03-21 23:34:00,1
2019-03-21 23:36:00,1
2019-03-21 23:37:00,1
2019-03-21 23:38:00,2
2019-03-21 23:39:00,1
2019-03-21 23:40:00,3
2019-03-21 23:47:00,1
2019-03-21 23:49:00,1
2019-03-21 23:50:00,1
2019-03-21 23:51:00,1
2019-03-21 23:52:00,1
2019-03-21 23:53:00,1
2019-03-21 23:54:00,2
2019-03-21 23:55:00,1
2019-03-21 23:57:00,1
2019-03-22 00:03:00,1
2019-03-22 00:06:00,1
2019-03-22 00:08:00,1
2019-03-22 00:09:00,1
2019-03-22 00:11:00,1
2019-03-22 00:12:00,2
2019-03-22 00:13:00,1
2019-03-22 00:14:00,2
2019-03-22 00:19:00,1
2019-03-22 00:22:00,1
2019-03-22 00:23:00,1
2019-03-22 00:25:00,1
2019-03-22 00:27:00,1
2019-03-22 00:28:00,1
2019-03-22 00:29:00,1
2019-03-22 00:30:00,1
2019-03-22 00:31:00,1
2019-03-22 00:41:00,1
2019-03-22 00:47:00,1
2019-03-22 00:48:00,1
2019-03-22 00:50:00,1
2019-03-22 00:52:00,1
2019-03-22 00:53:00,1
2019-03-22 00:54:00,2
2019-03-22 00:55:00,1
2019-04-20 11:26:00,1
2019-04-20 11:28:00,2
2019-04-20 11:33:00,1
2019-04-20 11:37:00,1
2019-04-20 11:39:00,1
2019-04-20 11:42:00,1
2019-04-20 11:44:00,1
2019-04-20 11:55:00,1
2019-04-20 11:57:00,1
2019-04-20 11:59:00,1
2019-04-20 12:01:00,1
2019-04-20 12:03:00,1
2019-04-20 12:05:00,1
2019-04-20 12:08:00,1
2019-04-20 12:14:00,1
2019-04-20 12:17:00,1
2019-04-20 12:21:00,1
2019-04-23 19:55:00,1
2019-04-23 20:00:00,1
2019-04-23 20:05:00,1
2019-04-23 20:12:00,1
2019-04-23 20:16:00,1
2019-04-23 20:24:00,1
2019-04-23 20:28:00,1
2019-04-24 07:42:00,1
