82,"SELECT TOP # s.SpecobjID, s.z, s.plate, s.mjd, s.fiberID FROM SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID"
2019-02-13 01:17:00,1
2019-02-13 01:18:00,2
2019-02-18 00:55:00,1
2019-02-18 01:13:00,6
2019-02-25 07:21:00,1
2019-02-25 07:25:00,1
2019-02-26 01:12:00,1
2019-02-26 01:16:00,4
2019-02-28 07:52:00,1
2019-02-28 07:55:00,3
2019-02-28 08:03:00,3
2019-03-01 13:29:00,1
2019-03-01 13:30:00,1
2019-03-05 04:16:00,5
2019-03-05 04:31:00,4
2019-03-05 04:40:00,4
2019-03-05 05:22:00,4
2019-03-05 05:37:00,1
2019-04-30 06:51:00,1
2019-05-30 07:55:00,1
2019-06-24 04:29:00,1
2019-06-25 01:40:00,1
2019-07-01 03:28:00,1
2019-07-11 06:41:00,1
2019-07-11 06:46:00,2
2019-07-11 06:47:00,1
2019-09-20 07:25:00,1
2019-09-20 07:26:00,4
2019-09-25 01:39:00,1
2019-10-14 16:22:00,1
2019-10-20 06:09:00,19
2019-10-20 06:11:00,1
2019-11-10 05:42:00,1
2019-11-10 05:43:00,1
