23,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = #"
2019-04-05 17:25:00,1
2019-04-05 17:26:00,1
2019-04-05 17:31:00,1
2019-04-05 17:32:00,1
2019-04-05 17:33:00,1
2019-04-05 17:34:00,1
2019-04-05 17:35:00,3
2019-04-05 17:36:00,1
2019-04-05 17:49:00,2
2019-12-15 17:48:00,1
2019-12-15 17:55:00,1
2019-12-15 17:59:00,1
2019-12-15 18:03:00,1
2019-12-15 18:04:00,1
2019-12-15 18:35:00,1
2019-12-16 05:59:00,1
2019-12-16 06:00:00,1
2019-12-17 01:07:00,1
2019-12-17 02:34:00,1
2019-12-17 06:43:00,1
