20,"select sl.stable_id as case_list_id, max (sl.name) as case_list_name , max (sl.description) as case_list_description , sl.cancer_study_id , STRING_AGG (s.stable_id , #) as case_ids from cancer_study cs inner join sample_list sl on sl.CANCER_STUDY_ID = cs.CANCER_STUDY_ID join sample_list_list sll on sl.list_id = sll.list_id join sample s on s.internal_id = sll.sample_id where cs.cancer_study_identifier = # group by sl.stable_id, sl.cancer_study_id order by #, #"
2019-04-20 10:47:00,1
2019-04-20 10:48:00,1
2019-04-20 10:49:00,1
2019-04-20 12:06:00,1
2019-04-20 12:08:00,1
2019-04-20 12:16:00,1
2019-04-21 09:47:00,1
2019-04-21 13:27:00,2
2019-04-29 15:29:00,1
2019-04-30 16:06:00,1
2019-05-03 16:59:00,1
2019-05-06 12:03:00,1
2019-05-06 12:08:00,1
2019-05-06 12:09:00,1
2019-05-06 12:10:00,1
2019-05-06 14:18:00,1
2019-05-06 14:36:00,1
2019-05-06 14:37:00,1
2019-05-07 17:51:00,1
