20,"SELECT EID, [ECG_automated_diagnoses_#], [Number_of_automated_diagnostic_comments_recorded_during_#_lead_ECG_#], [Ventricular_rate_#], [P_duration_#], [QRS_duration_#], [Identifier_for_#_lead_ECG_device_#], [Reason_ECG_not_performed_#] FROM ECG_at_rest_#_lead GO"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:52:00,1
2019-04-24 09:55:00,1
2019-04-24 13:20:00,1
2019-04-29 11:38:00,1
2019-04-30 11:44:00,1
2019-04-30 15:38:00,1
2019-05-01 09:26:00,1
2019-05-02 09:33:00,1
2019-05-02 10:35:00,1
