18,"CREATE TABLE [Addictions] (eid BIGINT NOT # , [Behavioural_and_miscellaneous_addictions_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_addicted_to_a_behaviour_or_miscellanous_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_addicted_to_alcohol_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_addicted_to_any_substance_or_behaviour_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_addicted_to_illicit_or_recreational_drugs_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_addicted_to_prescription_or_over_the_counter_medication_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ongoing_addiction_or_dependence_to_over_the_counter_medication_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Substance_of_prescription_or_over_the_counter_medication_addiction_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_physically_dependent_on_alcohol_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ongoing_addiction_to_alcohol_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ongoing_behavioural_or_miscellanous_addiction_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , PRIMARY KEY (eid) ) GO"
2019-04-15 13:26:00,1
2019-04-15 13:36:00,1
2019-04-16 08:57:00,1
2019-04-16 09:00:00,1
2019-04-16 10:13:00,1
2019-04-16 10:15:00,1
2019-04-16 10:18:00,1
2019-04-17 11:28:00,1
2019-04-23 09:45:00,1
2019-04-23 10:53:00,1
2019-04-24 09:56:00,1
2019-04-24 13:21:00,1
2019-04-29 11:40:00,1
2019-04-30 11:45:00,1
2019-04-30 15:40:00,1
2019-05-01 09:28:00,1
2019-05-02 09:35:00,1
2019-05-02 10:37:00,1
