24,"CREATE TABLE [Smoking] (eid BIGINT NOT # , [Ever_smoked_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Pack_years_of_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Light_smokers_at_least_#_smokes_in_lifetime_pilot__#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Smoking_status_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Current_tobacco_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Past_tobacco_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Light_smokers_at_least_#_smokes_in_lifetime_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Age_started_smoking_in_current_smokers_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Type_of_tobacco_currently_smoked_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Previously_smoked_cigarettes_on_most_all_days_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Number_of_cigarettes_currently_smoked_daily_current_cigarette_smokers__#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Age_stopped_smoking_cigarettes_current_cigar_pipe_or_previous_cigarette_smoker__#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Number_of_cigarettes_previously_smoked_daily_current_cigar_pipe_smokers__#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Time_from_waking_to_first_cigarette_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Difficulty_not_smoking_for_#_day_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_tried_to_stop_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Wants_to_stop_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Smoking_compared_to_#_years_previous_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Why_reduced_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Age_started_smoking_in_former_smokers_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Type_of_tobacco_previously_smoked_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Number_of_cigarettes_previously_smoked_daily_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Age_stopped_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_stopped_smoking_for_#_months_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Ever_stopped_smoking_for_#_months_pilot__#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Why_stopped_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Why_stopped_smoking_pilot__#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Number_of_unsuccessful_stop_smoking_attempts_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Likelihood_of_resuming_smoking_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field"
2019-04-15 13:24:00,1
2019-04-15 13:34:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:34:00,1
2019-04-16 10:35:00,1
2019-04-17 11:26:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:25:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
2019-05-09 10:26:00,1
