74,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-01-12 01:54:00,1
2019-01-12 02:00:00,1
2019-01-12 02:02:00,1
2019-01-12 02:03:00,5
2019-01-12 02:07:00,1
2019-01-12 02:08:00,2
2019-01-28 22:16:00,1
2019-01-31 17:35:00,1
2019-03-25 18:07:00,1
2019-03-25 18:14:00,1
2019-05-19 08:29:00,1
2019-05-19 08:31:00,1
2019-05-19 09:40:00,1
2019-05-19 09:44:00,1
2019-05-19 09:45:00,1
2019-05-19 11:52:00,1
2019-05-20 09:16:00,1
2019-05-20 09:32:00,1
2019-05-22 13:27:00,1
2019-05-30 07:08:00,1
2019-05-30 07:10:00,1
2019-05-30 07:11:00,1
2019-05-30 07:12:00,1
2019-05-30 07:13:00,1
2019-05-30 07:14:00,1
2019-05-30 07:15:00,1
2019-05-30 07:19:00,1
2019-05-30 07:20:00,1
2019-05-30 07:22:00,1
2019-05-30 07:24:00,1
2019-06-26 00:24:00,1
2019-06-26 00:53:00,1
2019-07-16 18:53:00,1
2019-07-17 18:50:00,1
2019-07-17 18:52:00,1
2019-07-19 15:14:00,1
2019-07-19 15:27:00,1
2019-07-19 15:31:00,1
2019-07-19 15:32:00,1
2019-07-19 15:35:00,1
2019-07-19 15:36:00,1
2019-07-19 15:40:00,1
2019-07-19 15:41:00,1
2019-07-19 15:53:00,1
2019-07-19 15:55:00,1
2019-07-19 15:57:00,1
2019-07-19 15:58:00,1
2019-07-19 16:03:00,1
2019-07-19 16:05:00,1
2019-07-19 16:07:00,1
2019-07-19 16:08:00,1
2019-07-19 16:11:00,1
2019-07-19 16:12:00,1
2019-07-19 16:14:00,1
2019-07-19 16:38:00,1
2019-07-19 16:40:00,1
2019-07-19 16:41:00,1
2019-07-19 16:43:00,1
2019-07-19 16:45:00,1
2019-07-19 16:46:00,1
2019-07-19 16:50:00,1
2019-07-19 17:02:00,1
2019-07-19 17:03:00,1
2019-07-19 17:17:00,1
2019-11-03 07:41:00,1
2019-11-06 12:11:00,1
2019-11-07 05:45:00,1
2019-11-12 03:53:00,1
2019-11-12 03:54:00,1
