11,"SELECT A.RAJ2#, A.DEJ2#, C.ra, C.dec, C.err_maj, C.err_min, C.err_ang, C.j_m, C.j_cmsig, C.j_msigcom, C.j_snr, C.h_m, C.h_cmsig, C.h_msigcom, C.h_snr, C.k_m, C.k_cmsig, C.k_msigcom, C.k_snr, A.INDX, B.distance FROM MyDB.WISE_AGN_R9#_ptsrc_VIZIER AS A OUTER APPLY dbo.fGetNearestObjEq (A.RAJ2#, A.DEJ2#, #/#.) AS B LEFT OUTER JOIN PhotoObjAll AS C ON B.objID = C.objID WHERE A.INDX BETWEEN # AND # INTO MyDB.WISE_AGN_R9#_ptsrc_VIZIER5#_SDSSTwomass_#as"
2019-09-06 18:17:00,1
2019-09-06 18:19:00,1
2019-09-06 18:22:00,1
2019-09-06 18:25:00,1
2019-09-06 18:28:00,1
2019-09-06 18:31:00,1
2019-09-06 18:34:00,1
2019-09-06 18:37:00,1
2019-09-06 18:39:00,1
2019-09-06 18:42:00,1
2019-09-08 17:05:00,1
