42845,"SELECT sp.objid, sp.ra, sp.dec, sp.class, sp.z as redshift, IS# (m.k, #) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z > # AND sp.z < # AND sp.class = GALAXY#"
2019-11-11 23:04:00,59
2019-11-11 23:05:00,33
2019-11-11 23:06:00,33
2019-11-11 23:07:00,33
2019-11-11 23:08:00,33
2019-11-11 23:09:00,33
2019-11-11 23:10:00,31
2019-11-11 23:11:00,32
2019-11-11 23:12:00,42
2019-11-11 23:13:00,4
2019-11-14 00:43:00,1
2019-11-14 00:44:00,3
2019-11-14 00:45:00,31
2019-11-14 00:46:00,33
2019-11-14 00:47:00,32
2019-11-14 00:48:00,31
2019-11-14 00:49:00,26
2019-11-14 00:50:00,27
2019-11-14 00:51:00,26
2019-11-14 00:52:00,30
2019-11-14 00:53:00,31
2019-11-14 00:54:00,32
2019-11-14 00:55:00,31
2019-11-14 00:56:00,31
2019-11-14 00:57:00,33
2019-11-14 00:58:00,34
2019-11-14 00:59:00,32
2019-11-14 01:00:00,33
2019-11-14 01:01:00,32
2019-11-14 01:02:00,27
2019-11-14 01:03:00,26
2019-11-14 01:04:00,26
2019-11-14 01:05:00,26
2019-11-14 01:06:00,23
2019-11-17 03:14:00,1
2019-11-17 03:15:00,15
2019-11-17 03:16:00,55
2019-11-17 03:17:00,44
2019-11-17 03:18:00,43
2019-11-17 03:19:00,53
2019-11-17 03:20:00,59
2019-11-17 03:21:00,106
2019-11-17 03:22:00,123
2019-11-17 03:23:00,7
2019-11-17 04:04:00,9
2019-11-17 04:05:00,30
2019-11-17 04:06:00,35
2019-11-17 04:07:00,35
2019-11-17 04:08:00,36
2019-11-17 04:09:00,34
2019-11-17 04:10:00,34
2019-11-17 04:11:00,27
2019-11-17 04:12:00,26
2019-11-17 04:13:00,27
2019-11-17 04:14:00,25
2019-11-17 04:15:00,34
2019-11-17 04:16:00,32
2019-11-17 04:17:00,32
2019-11-17 04:18:00,33
2019-11-17 04:19:00,31
2019-11-17 04:20:00,30
2019-11-17 04:21:00,30
2019-11-17 04:22:00,30
2019-11-17 04:23:00,32
2019-11-17 04:24:00,31
2019-11-17 04:25:00,24
2019-11-17 22:03:00,27
2019-11-17 22:04:00,31
2019-11-17 22:05:00,35
2019-11-17 22:06:00,35
2019-11-17 22:07:00,34
2019-11-17 22:08:00,34
2019-11-17 22:09:00,35
2019-11-17 22:10:00,33
2019-11-17 22:11:00,35
2019-11-17 22:12:00,34
2019-11-17 22:13:00,35
2019-11-17 22:14:00,34
2019-11-17 22:15:00,34
2019-11-17 22:16:00,33
2019-11-17 22:17:00,33
2019-11-17 22:18:00,31
2019-11-17 22:19:00,33
2019-11-17 22:20:00,32
2019-11-17 22:21:00,33
2019-11-17 22:22:00,26
2019-11-17 22:29:00,17
2019-11-17 22:30:00,23
2019-11-17 22:31:00,27
2019-11-17 22:32:00,26
2019-11-17 22:33:00,29
2019-11-17 22:34:00,33
2019-11-17 22:35:00,32
2019-11-17 22:36:00,31
2019-11-17 22:37:00,32
2019-11-17 22:38:00,33
2019-11-17 22:39:00,34
2019-11-17 22:40:00,34
2019-11-17 22:41:00,33
2019-11-17 22:42:00,34
2019-11-17 22:43:00,32
2019-11-17 22:44:00,33
2019-11-17 22:45:00,31
2019-11-17 22:46:00,26
2019-11-17 22:47:00,26
2019-11-17 22:48:00,26
2019-11-17 22:49:00,28
2019-11-17 22:50:00,30
2019-11-17 22:51:00,5
2019-11-19 18:07:00,11
2019-11-19 18:08:00,28
2019-11-19 18:09:00,34
2019-11-19 18:10:00,29
2019-11-19 18:11:00,28
2019-11-19 18:12:00,34
2019-11-19 18:13:00,32
2019-11-19 18:14:00,30
2019-11-19 18:15:00,26
2019-11-19 18:16:00,27
2019-11-19 18:17:00,26
2019-11-19 18:18:00,28
2019-11-19 18:19:00,30
2019-11-19 18:20:00,26
2019-11-19 18:21:00,16
2019-11-19 18:22:00,25
2019-11-19 18:23:00,25
2019-11-19 18:24:00,14
2019-11-19 18:25:00,25
2019-11-19 18:26:00,22
2019-11-19 18:27:00,17
2019-11-19 18:28:00,29
2019-11-19 18:29:00,33
2019-11-19 18:30:00,32
2019-11-19 18:31:00,29
2019-11-20 04:50:00,1
2019-11-20 04:51:00,15
2019-11-20 04:52:00,31
2019-11-20 04:53:00,34
2019-11-20 04:54:00,33
2019-11-20 04:55:00,34
2019-11-20 04:56:00,33
2019-11-20 04:57:00,31
2019-11-20 04:58:00,33
2019-11-20 04:59:00,32
2019-11-20 05:00:00,33
2019-11-20 05:01:00,32
2019-11-20 05:02:00,28
2019-11-20 05:03:00,26
2019-11-20 05:04:00,27
2019-11-20 05:05:00,26
2019-11-20 05:06:00,30
2019-11-20 05:07:00,29
2019-11-20 05:08:00,31
2019-11-20 05:09:00,31
2019-11-20 05:10:00,32
2019-11-20 05:11:00,32
2019-11-20 05:12:00,23
2019-11-25 16:37:00,1
2019-11-25 16:39:00,29
2019-11-25 16:40:00,32
2019-11-25 16:41:00,32
2019-11-25 16:42:00,29
2019-11-25 16:43:00,26
2019-11-25 16:44:00,27
2019-11-25 16:45:00,27
2019-11-25 16:46:00,31
2019-11-25 16:47:00,31
2019-11-25 16:48:00,31
2019-11-25 16:49:00,31
2019-11-25 16:50:00,33
2019-11-25 16:51:00,33
2019-11-25 16:52:00,33
2019-11-25 16:53:00,31
2019-11-25 16:54:00,31
2019-11-25 16:55:00,29
2019-11-25 16:56:00,31
2019-11-25 16:57:00,30
2019-11-25 16:58:00,32
2019-11-25 16:59:00,32
2019-11-25 17:00:00,15
2019-11-26 14:32:00,1
2019-11-26 14:33:00,15
2019-11-26 14:34:00,29
2019-11-26 14:35:00,32
2019-11-26 14:36:00,31
2019-11-26 14:37:00,32
2019-11-26 14:38:00,32
2019-11-26 14:39:00,31
2019-11-26 14:40:00,32
2019-11-26 14:41:00,29
2019-11-26 14:42:00,31
2019-11-26 14:43:00,31
2019-11-26 14:44:00,32
2019-11-26 14:45:00,30
2019-11-26 14:46:00,30
2019-11-26 14:47:00,30
2019-11-26 14:48:00,28
2019-11-26 15:40:00,18
2019-11-26 15:41:00,54
2019-11-26 15:42:00,42
2019-11-26 15:43:00,44
2019-11-26 15:44:00,53
2019-11-26 15:45:00,64
2019-11-26 15:46:00,121
2019-11-26 15:47:00,117
2019-11-26 15:48:00,32
2019-11-26 15:49:00,30
2019-11-26 15:50:00,30
2019-11-26 15:51:00,31
2019-11-26 15:52:00,28
2019-11-26 15:53:00,30
2019-11-26 15:54:00,28
2019-11-26 15:55:00,25
2019-11-26 15:56:00,26
2019-11-26 15:57:00,28
2019-11-26 15:58:00,10
2019-11-28 16:10:00,1
2019-11-28 16:11:00,13
2019-11-28 16:12:00,50
2019-11-28 16:13:00,45
2019-11-28 16:14:00,43
2019-11-28 16:15:00,52
2019-11-28 16:16:00,54
2019-11-28 16:17:00,127
2019-11-28 16:18:00,120
2019-11-28 16:19:00,37
2019-11-28 16:20:00,29
2019-11-28 16:21:00,31
2019-11-28 16:22:00,30
2019-11-28 16:23:00,31
2019-11-28 16:24:00,30
2019-11-28 16:25:00,31
2019-11-28 16:26:00,30
2019-11-28 16:27:00,26
2019-11-28 16:28:00,28
2019-11-28 16:29:00,3
2019-11-28 19:36:00,1
2019-11-28 19:37:00,40
2019-11-28 19:38:00,51
2019-11-28 19:39:00,42
2019-11-28 19:40:00,47
2019-11-28 19:41:00,58
2019-11-28 19:42:00,100
2019-11-28 19:43:00,93
2019-11-28 19:44:00,67
2019-11-28 19:45:00,34
2019-11-28 19:46:00,24
2019-11-28 19:47:00,29
2019-11-28 19:48:00,31
2019-11-28 19:49:00,30
2019-11-28 19:50:00,30
2019-11-28 19:51:00,29
2019-11-28 19:52:00,30
2019-11-28 19:53:00,30
2019-11-28 19:54:00,34
2019-11-28 19:55:00,11
2019-11-28 21:37:00,1
2019-11-28 21:46:00,34
2019-11-28 21:47:00,53
2019-11-28 21:48:00,44
2019-11-28 21:49:00,43
2019-11-28 21:50:00,62
2019-11-28 21:51:00,93
2019-11-28 21:52:00,118
2019-11-28 21:53:00,81
2019-11-28 21:54:00,30
2019-11-28 21:55:00,30
2019-11-28 21:56:00,31
2019-11-28 21:57:00,30
2019-11-28 21:58:00,30
2019-11-28 21:59:00,30
2019-11-28 22:00:00,31
2019-11-28 22:01:00,30
2019-11-28 22:02:00,38
2019-11-28 22:03:00,4
2019-11-30 03:29:00,1
2019-11-30 03:30:00,18
2019-11-30 03:31:00,54
2019-11-30 03:32:00,42
2019-11-30 03:33:00,44
2019-11-30 03:34:00,56
2019-11-30 03:35:00,62
2019-11-30 03:36:00,112
2019-11-30 03:37:00,109
2019-11-30 03:38:00,41
2019-11-30 03:39:00,30
2019-11-30 03:40:00,29
2019-11-30 03:41:00,28
2019-11-30 03:42:00,29
2019-11-30 03:43:00,30
2019-11-30 03:44:00,29
2019-11-30 03:45:00,29
2019-11-30 03:46:00,32
2019-11-30 03:47:00,36
2019-11-30 06:57:00,8
2019-11-30 06:58:00,3
2019-11-30 06:59:00,56
2019-11-30 07:00:00,56
2019-11-30 07:01:00,35
2019-11-30 07:02:00,34
2019-11-30 07:03:00,36
2019-11-30 07:04:00,33
2019-11-30 07:05:00,35
2019-11-30 07:06:00,31
2019-11-30 07:07:00,79
2019-11-30 07:08:00,83
2019-11-30 07:09:00,84
2019-11-30 07:10:00,50
2019-11-30 19:06:00,31
2019-11-30 19:07:00,58
2019-11-30 19:08:00,49
2019-11-30 19:09:00,34
2019-11-30 19:10:00,36
2019-11-30 19:11:00,35
2019-11-30 19:12:00,34
2019-11-30 19:13:00,34
2019-11-30 19:14:00,63
2019-11-30 19:15:00,85
2019-11-30 19:16:00,85
2019-11-30 19:17:00,84
2019-11-30 19:18:00,76
2019-11-30 19:19:00,72
2019-11-30 19:20:00,74
2019-11-30 19:21:00,89
2019-11-30 19:22:00,89
2019-11-30 19:23:00,72
2019-11-30 19:24:00,87
2019-11-30 19:25:00,96
2019-11-30 19:26:00,94
2019-11-30 19:27:00,85
2019-11-30 19:28:00,47
2019-11-30 19:29:00,37
2019-11-30 19:30:00,35
2019-11-30 19:31:00,68
2019-11-30 19:32:00,91
2019-11-30 19:33:00,92
2019-11-30 19:34:00,95
2019-11-30 19:35:00,87
2019-11-30 19:36:00,80
2019-11-30 19:37:00,72
2019-11-30 19:38:00,70
2019-11-30 19:39:00,52
2019-11-30 19:40:00,17
2019-11-30 19:41:00,16
2019-11-30 19:42:00,33
2019-11-30 19:43:00,62
2019-11-30 19:44:00,72
2019-11-30 19:45:00,69
2019-11-30 19:46:00,75
2019-11-30 19:47:00,69
2019-11-30 19:48:00,59
2019-11-30 19:49:00,58
2019-11-30 19:50:00,59
2019-11-30 19:51:00,59
2019-11-30 19:52:00,35
2019-11-30 19:53:00,36
2019-11-30 19:54:00,35
2019-11-30 19:55:00,65
2019-11-30 19:56:00,75
2019-11-30 19:57:00,95
2019-11-30 19:58:00,97
2019-11-30 19:59:00,72
2019-11-30 20:00:00,36
2019-11-30 20:01:00,32
2019-11-30 20:02:00,57
2019-11-30 20:03:00,81
2019-11-30 20:04:00,86
2019-11-30 20:05:00,93
2019-11-30 20:06:00,97
2019-11-30 20:07:00,94
2019-11-30 20:08:00,97
2019-11-30 20:09:00,95
2019-11-30 20:10:00,95
2019-11-30 20:11:00,96
2019-11-30 20:12:00,98
2019-11-30 20:13:00,99
2019-11-30 20:14:00,101
2019-11-30 20:15:00,99
2019-11-30 20:16:00,101
2019-11-30 20:17:00,109
2019-11-30 20:18:00,111
2019-11-30 20:19:00,50
2019-11-30 20:20:00,23
2019-11-30 20:21:00,22
2019-11-30 20:22:00,25
2019-11-30 20:23:00,34
2019-11-30 20:24:00,33
2019-11-30 20:25:00,36
2019-11-30 20:26:00,33
2019-11-30 20:27:00,36
2019-11-30 20:28:00,42
2019-11-30 20:29:00,85
2019-11-30 20:30:00,83
2019-11-30 20:31:00,83
2019-11-30 20:32:00,80
2019-11-30 20:33:00,74
2019-11-30 20:34:00,74
2019-11-30 20:35:00,79
2019-11-30 20:36:00,89
2019-11-30 20:37:00,93
2019-11-30 20:38:00,94
2019-11-30 20:39:00,79
2019-11-30 20:40:00,56
2019-11-30 20:41:00,47
2019-11-30 20:42:00,36
2019-11-30 20:43:00,93
2019-11-30 20:44:00,96
2019-11-30 20:45:00,94
2019-11-30 20:46:00,97
2019-11-30 20:47:00,102
2019-11-30 20:48:00,112
2019-11-30 20:49:00,67
2019-11-30 20:50:00,19
2019-11-30 20:51:00,18
2019-11-30 20:52:00,44
2019-11-30 20:53:00,68
2019-11-30 20:54:00,70
2019-11-30 20:55:00,67
2019-11-30 20:56:00,75
2019-11-30 20:57:00,70
2019-11-30 20:58:00,74
2019-11-30 20:59:00,35
2019-11-30 21:00:00,26
2019-11-30 21:01:00,23
2019-11-30 21:02:00,49
2019-11-30 21:03:00,57
2019-11-30 21:04:00,59
2019-11-30 21:05:00,55
2019-11-30 21:06:00,59
2019-11-30 21:07:00,41
2019-11-30 21:08:00,35
2019-11-30 21:09:00,34
2019-11-30 21:10:00,46
2019-11-30 21:11:00,49
2019-11-30 21:12:00,65
2019-11-30 21:13:00,70
2019-11-30 21:14:00,71
2019-11-30 21:15:00,52
2019-11-30 21:16:00,18
2019-11-30 21:17:00,20
2019-11-30 21:18:00,6
2019-12-01 00:31:00,1
2019-12-01 00:32:00,48
2019-12-01 00:33:00,57
2019-12-01 00:34:00,37
2019-12-01 00:35:00,16
2019-12-01 00:36:00,14
2019-12-01 00:37:00,28
2019-12-01 00:38:00,34
2019-12-01 00:39:00,34
2019-12-01 00:40:00,33
2019-12-01 00:41:00,47
2019-12-01 00:42:00,82
2019-12-01 00:43:00,81
2019-12-01 00:44:00,84
2019-12-01 00:45:00,76
2019-12-01 00:46:00,36
2019-12-01 00:47:00,37
2019-12-01 00:48:00,37
2019-12-01 00:49:00,71
2019-12-01 00:50:00,90
2019-12-01 00:51:00,90
2019-12-01 00:52:00,73
2019-12-01 00:53:00,88
2019-12-01 00:54:00,97
2019-12-01 00:55:00,87
2019-12-01 00:56:00,84
2019-12-01 00:57:00,84
2019-12-01 00:58:00,82
2019-12-01 00:59:00,70
2019-12-01 01:00:00,39
2019-12-01 01:01:00,41
2019-12-01 01:02:00,64
2019-12-01 01:03:00,93
2019-12-01 01:04:00,79
2019-12-01 01:05:00,79
2019-12-01 01:06:00,72
2019-12-01 01:07:00,78
2019-12-01 01:08:00,69
2019-12-01 01:09:00,72
2019-12-01 01:10:00,77
2019-12-01 01:11:00,75
2019-12-01 01:12:00,74
2019-12-01 01:13:00,75
2019-12-01 01:14:00,16
2019-12-01 02:21:00,8
2019-12-01 02:22:00,37
2019-12-01 02:23:00,55
2019-12-01 02:24:00,39
2019-12-01 02:25:00,34
2019-12-01 02:26:00,34
2019-12-01 02:27:00,33
2019-12-01 02:28:00,31
2019-12-01 02:29:00,34
2019-12-01 02:30:00,56
2019-12-01 02:31:00,83
2019-12-01 02:32:00,82
2019-12-01 02:33:00,82
2019-12-01 02:34:00,71
2019-12-01 02:35:00,73
2019-12-01 02:36:00,74
2019-12-01 02:37:00,69
2019-12-01 02:38:00,81
2019-12-01 02:39:00,42
2019-12-01 02:40:00,34
2019-12-01 02:41:00,40
2019-12-01 02:42:00,72
2019-12-01 02:43:00,88
2019-12-01 02:44:00,84
2019-12-01 02:45:00,87
2019-12-01 02:46:00,84
2019-12-01 02:47:00,83
2019-12-01 02:48:00,81
2019-12-01 02:49:00,48
2019-12-01 02:53:00,68
2019-12-01 02:54:00,91
2019-12-01 02:55:00,86
2019-12-01 02:56:00,91
2019-12-01 02:57:00,65
2019-12-01 02:58:00,72
2019-12-01 02:59:00,16
2019-12-01 03:00:00,16
2019-12-01 03:01:00,20
2019-12-01 03:02:00,70
2019-12-01 03:03:00,64
2019-12-01 03:04:00,56
2019-12-01 03:05:00,19
2019-12-01 03:06:00,22
2019-12-01 03:07:00,16
2019-12-01 03:08:00,23
2019-12-01 03:09:00,15
2019-12-01 03:10:00,10
2019-12-01 03:11:00,13
2019-12-01 03:12:00,12
2019-12-01 03:13:00,13
2019-12-01 03:14:00,12
2019-12-01 03:15:00,13
2019-12-01 03:16:00,13
2019-12-01 03:17:00,41
2019-12-01 03:18:00,61
2019-12-01 03:19:00,24
2019-12-01 03:20:00,21
2019-12-01 03:21:00,24
2019-12-01 03:22:00,54
2019-12-01 03:23:00,54
2019-12-01 03:24:00,49
2019-12-01 03:25:00,35
2019-12-01 03:26:00,35
2019-12-01 03:27:00,32
2019-12-01 03:28:00,66
2019-12-01 03:29:00,67
2019-12-01 03:30:00,96
2019-12-01 03:31:00,80
2019-12-01 03:32:00,90
2019-12-01 03:33:00,84
2019-12-01 03:34:00,72
2019-12-01 03:35:00,36
2019-12-01 03:36:00,35
2019-12-01 03:37:00,49
2019-12-01 03:38:00,86
2019-12-01 03:39:00,27
2019-12-01 03:40:00,10
2019-12-01 03:41:00,11
2019-12-01 03:42:00,53
2019-12-01 03:43:00,96
2019-12-01 03:44:00,97
2019-12-01 03:45:00,96
2019-12-01 03:46:00,88
2019-12-01 03:47:00,95
2019-12-01 03:48:00,94
2019-12-01 03:49:00,91
2019-12-01 03:50:00,96
2019-12-01 03:51:00,95
2019-12-01 03:52:00,90
2019-12-01 03:53:00,88
2019-12-01 03:54:00,101
2019-12-01 03:55:00,50
2019-12-01 03:56:00,43
2019-12-01 03:57:00,23
2019-12-01 03:58:00,55
2019-12-01 03:59:00,44
2019-12-01 04:00:00,33
2019-12-01 04:01:00,36
2019-12-01 04:02:00,32
2019-12-01 04:03:00,32
2019-12-01 04:04:00,35
2019-12-01 04:05:00,42
2019-12-01 04:06:00,84
2019-12-01 04:07:00,77
2019-12-01 04:08:00,76
2019-12-01 04:09:00,75
2019-12-01 04:10:00,74
2019-12-01 04:11:00,66
2019-12-01 04:12:00,75
2019-12-01 04:13:00,96
2019-12-01 04:14:00,61
2019-12-01 04:15:00,38
2019-12-01 04:16:00,40
2019-12-01 04:17:00,73
2019-12-01 04:18:00,58
2019-12-01 04:26:00,53
2019-12-01 04:27:00,81
2019-12-01 04:28:00,99
2019-12-01 04:29:00,98
2019-12-01 04:30:00,92
2019-12-01 04:31:00,95
2019-12-01 04:32:00,88
2019-12-01 04:33:00,104
2019-12-01 04:34:00,49
2019-12-01 04:35:00,52
2019-12-01 04:36:00,23
2019-12-01 04:37:00,57
2019-12-01 04:38:00,64
2019-12-01 04:39:00,62
2019-12-01 04:40:00,56
2019-12-01 04:41:00,71
2019-12-01 04:42:00,76
2019-12-01 04:43:00,77
2019-12-01 04:44:00,78
2019-12-01 04:45:00,69
2019-12-01 04:46:00,59
2019-12-01 04:47:00,59
2019-12-01 04:48:00,60
2019-12-01 04:49:00,61
2019-12-01 04:50:00,44
2019-12-01 04:51:00,35
2019-12-01 04:52:00,35
2019-12-01 04:53:00,7
2019-12-01 04:54:00,4
2019-12-01 04:55:00,34
2019-12-01 04:56:00,19
2019-12-01 04:57:00,64
2019-12-01 04:58:00,67
2019-12-01 04:59:00,67
2019-12-01 05:00:00,62
2019-12-01 05:01:00,66
2019-12-01 05:02:00,4
2019-12-01 05:09:00,1
2019-12-01 08:12:00,1
2019-12-01 08:13:00,87
2019-12-01 08:14:00,91
2019-12-01 08:15:00,77
2019-12-01 08:16:00,67
2019-12-01 08:17:00,18
2019-12-01 08:18:00,71
2019-12-01 08:19:00,57
2019-12-01 08:20:00,61
2019-12-01 08:21:00,61
2019-12-01 08:22:00,58
2019-12-01 08:23:00,57
2019-12-01 08:24:00,69
2019-12-01 08:25:00,77
2019-12-01 08:26:00,84
2019-12-01 08:27:00,14
2019-12-01 20:00:00,1
2019-12-01 20:01:00,46
2019-12-01 20:02:00,46
2019-12-01 20:03:00,44
2019-12-01 20:04:00,32
2019-12-01 20:05:00,33
2019-12-01 20:06:00,33
2019-12-01 20:07:00,34
2019-12-01 20:08:00,35
2019-12-01 20:09:00,53
2019-12-01 20:10:00,84
2019-12-01 20:11:00,84
2019-12-01 20:12:00,83
2019-12-01 20:13:00,15
2019-12-02 17:28:00,1
2019-12-02 17:36:00,4
2019-12-02 17:37:00,9
2019-12-02 17:38:00,9
2019-12-02 17:39:00,8
2019-12-02 17:40:00,9
2019-12-02 17:41:00,7
2019-12-02 17:42:00,9
2019-12-02 17:43:00,6
2019-12-02 17:44:00,7
2019-12-02 17:45:00,8
2019-12-02 17:46:00,9
2019-12-02 17:47:00,11
2019-12-02 17:48:00,14
2019-12-02 17:49:00,19
2019-12-02 17:50:00,24
2019-12-02 17:51:00,31
2019-12-02 17:52:00,30
2019-12-02 17:53:00,31
2019-12-02 17:54:00,24
2019-12-02 23:06:00,8
2019-12-02 23:07:00,32
2019-12-02 23:08:00,33
2019-12-02 23:09:00,44
2019-12-02 23:10:00,44
2019-12-02 23:11:00,43
2019-12-02 23:12:00,47
2019-12-02 23:13:00,44
2019-12-02 23:14:00,40
2019-12-02 23:15:00,41
2019-12-02 23:16:00,39
2019-12-02 23:17:00,47
2019-12-02 23:18:00,49
2019-12-02 23:19:00,41
2019-12-02 23:20:00,52
2019-12-02 23:21:00,55
2019-12-02 23:22:00,36
2019-12-02 23:23:00,34
2019-12-02 23:24:00,34
2019-12-02 23:25:00,34
2019-12-02 23:26:00,33
2019-12-02 23:27:00,41
2019-12-02 23:28:00,41
2019-12-02 23:29:00,47
2019-12-02 23:30:00,57
2019-12-02 23:31:00,51
2019-12-02 23:32:00,55
2019-12-02 23:33:00,62
2019-12-02 23:34:00,51
2019-12-02 23:35:00,50
2019-12-02 23:36:00,50
2019-12-02 23:37:00,49
2019-12-02 23:38:00,39
2019-12-02 23:39:00,43
2019-12-02 23:40:00,46
2019-12-02 23:41:00,45
2019-12-02 23:42:00,37
2019-12-02 23:43:00,33
2019-12-02 23:44:00,33
2019-12-02 23:45:00,34
2019-12-02 23:46:00,33
2019-12-02 23:47:00,42
2019-12-02 23:48:00,39
2019-12-02 23:49:00,37
2019-12-02 23:50:00,30
2019-12-02 23:51:00,30
2019-12-02 23:52:00,7
2019-12-03 16:24:00,1
2019-12-03 16:25:00,15
2019-12-03 16:26:00,19
2019-12-03 16:27:00,27
2019-12-03 16:28:00,30
2019-12-03 16:29:00,29
2019-12-03 16:30:00,30
2019-12-03 16:31:00,30
2019-12-03 16:32:00,32
2019-12-03 16:33:00,74
2019-12-03 16:34:00,60
2019-12-03 16:35:00,36
2019-12-03 16:36:00,40
2019-12-03 16:37:00,39
2019-12-03 16:38:00,41
2019-12-03 16:39:00,26
2019-12-03 16:40:00,28
2019-12-03 16:41:00,71
2019-12-03 16:42:00,74
2019-12-03 16:43:00,17
2019-12-03 18:52:00,14
2019-12-03 18:53:00,24
2019-12-03 18:54:00,27
2019-12-03 18:55:00,24
2019-12-03 18:56:00,25
2019-12-03 18:57:00,27
2019-12-03 18:58:00,28
2019-12-03 18:59:00,26
2019-12-03 19:00:00,27
2019-12-03 19:01:00,29
2019-12-03 19:02:00,26
2019-12-03 19:03:00,26
2019-12-03 19:04:00,27
2019-12-03 19:05:00,25
2019-12-03 19:06:00,23
2019-12-03 19:07:00,24
2019-12-03 19:08:00,24
2019-12-03 19:09:00,24
2019-12-03 19:10:00,23
2019-12-03 19:11:00,23
2019-12-03 19:12:00,19
2019-12-03 19:13:00,20
2019-12-03 19:14:00,24
2019-12-03 19:15:00,27
2019-12-03 19:16:00,31
2019-12-03 19:17:00,30
2019-12-03 19:18:00,30
2019-12-03 19:19:00,30
2019-12-03 19:20:00,31
