20,"SELECT EID, [Reason_ECG_not_completed_#], [Reason_at_rest_ECG_performed_without_bicycle_#], [Reason_for_skipping_ECG_#], [Doctor_restricts_physical_activity_due_to_heart_condition_#], [Chest_pain_felt_during_physical_activity_#], [Chest_pain_felt_outside_physical_activity_#], [Able_to_walk_or_cycle_unaided_for_#_minutes_#], [ECG_bike_method_for_fitness_test_#], [Program_category_#], [Number_of_trend_entries_#], [ECG_phase_name_#], [ECG_trend_phase_name_#], [ECG_phase_du"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:52:00,1
2019-04-24 09:55:00,1
2019-04-24 13:20:00,1
2019-04-29 11:39:00,1
2019-04-30 11:44:00,1
2019-04-30 15:38:00,1
2019-05-01 09:26:00,1
2019-05-02 09:33:00,1
2019-05-02 10:35:00,1
