16,"select TOP # albums.AlbumName as AlbumName, albums.ArtistName as ArtistName, count (albums.AlbumName) as NumSongs, sum (albums.TrackPrice) as AlbumPrice FROM (SELECT a.Title as AlbumName, ar.Name as ArtistName, t.UnitPrice as TrackPrice FROM chinook.Track AS t INNER JOIN chinook.Album as a ON t.AlbumId = a.AlbumId INNER JOIN chinook.Artist as ar ON a.ArtistId = ar.ArtistId) albums GROUP BY AlbumName, ArtistName ORDER BY AlbumPrice DESC"
2019-04-21 17:23:00,1
2019-04-21 17:25:00,1
2019-04-21 17:28:00,2
2019-04-22 15:46:00,2
2019-04-22 15:47:00,1
2019-04-22 15:50:00,2
2019-04-22 15:52:00,3
2019-04-24 17:40:00,1
2019-04-24 17:41:00,1
2019-04-24 18:16:00,1
2019-04-24 18:18:00,1
