28,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR1#..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-02-25 12:28:00,1
2019-03-13 20:14:00,1
2019-03-20 14:29:00,1
2019-03-23 01:39:00,2
2019-03-23 01:40:00,1
2019-04-03 10:31:00,1
2019-04-03 13:23:00,1
2019-04-03 13:29:00,1
2019-05-22 09:00:00,1
2019-07-02 12:32:00,3
2019-07-05 02:18:00,1
2019-08-13 18:44:00,1
2019-08-13 18:50:00,1
2019-10-05 15:59:00,1
2019-10-13 14:56:00,1
2019-10-27 13:44:00,1
2019-10-28 08:15:00,1
2019-11-12 02:24:00,1
2019-11-12 03:15:00,1
2019-11-12 03:16:00,2
2019-11-21 00:39:00,1
2019-12-04 16:19:00,1
2019-12-10 00:58:00,1
2019-12-12 06:39:00,1
