103,"select top # a.bestObjID, a.specObjID, a.img, a.fiberID, a.mjd, a.plate, a.survey, a.programname, a.instrument, a.sourceType, a.z, a.zErr, dbo.fSpecZWarningN (a.zWarning) as WARNING, a.sciencePrimary, dbo.fPrimTargetN (a.legacy_target1) as targetOne, a.legacy_target2 as targetTwo, a.class as CLASS, a.velDisp, a.velDispErr from SpecObjAll a where bestObjID = # order by a.sciencePrimary DESC"
2019-04-26 15:23:00,1
2019-04-26 15:25:00,1
2019-04-26 15:28:00,1
2019-04-26 15:31:00,1
2019-04-26 15:54:00,1
2019-04-26 15:59:00,1
2019-04-26 16:00:00,1
2019-04-26 16:18:00,2
2019-04-26 16:23:00,2
2019-04-26 16:24:00,5
2019-04-26 16:28:00,2
2019-04-26 16:32:00,2
2019-04-26 16:38:00,1
2019-04-26 16:42:00,2
2019-04-26 16:43:00,3
2019-04-26 16:47:00,3
2019-04-29 14:39:00,1
2019-05-02 14:09:00,1
2019-05-02 14:25:00,1
2019-05-02 14:49:00,1
2019-05-02 14:50:00,4
2019-05-02 14:51:00,4
2019-05-02 14:52:00,1
2019-05-02 15:14:00,1
2019-05-02 15:23:00,1
2019-05-02 15:24:00,1
2019-05-02 15:27:00,1
2019-05-02 17:24:00,1
2019-05-02 17:27:00,2
2019-05-02 17:31:00,3
2019-05-02 17:32:00,4
2019-05-02 17:36:00,7
2019-05-02 17:37:00,6
2019-05-02 17:40:00,3
2019-05-02 17:41:00,6
2019-05-02 17:46:00,2
2019-05-02 17:50:00,4
2019-05-02 17:52:00,5
2019-05-02 17:54:00,4
2019-05-03 15:02:00,1
2019-05-03 15:04:00,1
2019-07-26 11:49:00,1
2019-07-26 11:50:00,5
2019-07-26 11:51:00,2
