187,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and (p.z BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-12-05 20:38:00,1
2019-12-05 20:47:00,1
2019-12-05 20:48:00,1
2019-12-05 20:49:00,1
2019-12-05 20:50:00,1
2019-12-05 20:52:00,1
2019-12-05 20:56:00,1
2019-12-05 21:05:00,1
2019-12-05 21:09:00,1
2019-12-05 21:11:00,1
2019-12-05 22:06:00,1
2019-12-05 22:07:00,1
2019-12-05 22:08:00,1
2019-12-05 22:09:00,1
2019-12-05 22:11:00,1
2019-12-05 22:25:00,1
2019-12-05 22:28:00,1
2019-12-05 22:36:00,1
2019-12-05 22:59:00,1
2019-12-05 23:06:00,3
2019-12-05 23:12:00,1
2019-12-05 23:17:00,1
2019-12-05 23:29:00,1
2019-12-05 23:33:00,1
2019-12-05 23:36:00,1
2019-12-05 23:38:00,1
2019-12-05 23:41:00,1
2019-12-05 23:44:00,1
2019-12-05 23:56:00,1
2019-12-06 00:17:00,1
2019-12-07 13:12:00,1
2019-12-07 13:47:00,1
2019-12-07 13:55:00,1
2019-12-07 14:02:00,1
2019-12-07 14:07:00,2
2019-12-07 14:13:00,1
2019-12-07 14:28:00,1
2019-12-07 14:33:00,1
2019-12-07 14:39:00,1
2019-12-07 14:40:00,1
