67,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND #"
2019-02-28 12:49:00,1
2019-09-09 05:48:00,1
2019-09-09 05:49:00,1
2019-09-09 05:50:00,1
2019-09-10 10:27:00,1
2019-09-10 11:00:00,2
2019-09-10 11:01:00,1
2019-09-10 11:08:00,1
2019-09-10 11:09:00,1
2019-09-10 11:28:00,1
2019-09-11 01:20:00,1
2019-09-12 13:36:00,1
2019-09-13 05:24:00,1
2019-09-13 06:36:00,1
2019-09-13 06:38:00,1
2019-09-13 06:42:00,1
2019-09-13 06:44:00,1
2019-09-13 06:46:00,1
2019-09-13 06:48:00,1
2019-09-13 06:49:00,1
2019-09-13 06:51:00,1
2019-09-14 17:55:00,1
2019-09-16 02:19:00,1
2019-09-16 03:35:00,1
2019-09-16 04:20:00,1
2019-09-16 04:21:00,1
2019-09-16 04:23:00,2
2019-09-16 04:24:00,1
2019-09-16 04:26:00,2
2019-09-16 04:27:00,1
2019-09-16 15:05:00,1
2019-09-16 15:07:00,2
2019-09-16 15:08:00,1
2019-09-17 13:57:00,1
2019-09-18 04:16:00,1
2019-09-18 04:17:00,1
2019-09-18 04:18:00,1
2019-09-18 04:19:00,1
2019-09-18 04:21:00,1
2019-09-19 13:27:00,1
2019-09-19 15:54:00,1
2019-09-20 01:29:00,1
2019-09-20 01:30:00,1
2019-09-20 01:31:00,1
2019-09-20 01:33:00,1
2019-09-20 01:34:00,1
2019-09-20 01:45:00,1
2019-09-20 01:46:00,2
2019-09-20 01:47:00,1
2019-09-20 01:49:00,2
2019-09-20 01:57:00,1
2019-09-20 01:58:00,1
2019-09-20 02:07:00,1
2019-09-20 02:09:00,1
2019-09-20 02:22:00,1
2019-09-20 02:43:00,1
2019-09-20 03:03:00,1
2019-09-20 05:49:00,3
2019-11-02 09:15:00,1
