55,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.plate, s.mjd, s.fiberID, s.z, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-20 18:22:00,1
2019-03-20 18:34:00,1
2019-03-20 18:42:00,1
2019-03-20 18:49:00,1
2019-03-20 18:54:00,1
2019-03-20 19:04:00,1
2019-03-20 19:30:00,1
2019-03-20 19:43:00,1
2019-03-20 19:50:00,1
2019-03-21 14:02:00,1
2019-03-21 14:05:00,1
2019-03-21 14:07:00,1
2019-03-21 14:13:00,1
2019-03-21 14:23:00,1
2019-03-21 14:32:00,1
2019-03-21 14:45:00,1
2019-03-21 15:25:00,1
2019-03-21 15:47:00,1
2019-03-21 18:35:00,1
2019-03-21 18:40:00,1
2019-03-26 13:41:00,1
2019-05-10 19:54:00,2
2019-05-10 19:55:00,7
2019-05-10 19:56:00,9
2019-05-14 14:59:00,1
2019-05-31 08:10:00,1
2019-06-05 06:35:00,1
2019-07-08 09:37:00,1
2019-07-08 09:41:00,1
2019-07-12 14:08:00,1
2019-07-16 09:24:00,1
2019-07-16 13:05:00,1
2019-07-16 14:45:00,1
2019-09-13 14:11:00,1
2019-10-07 14:19:00,1
2019-10-24 19:18:00,2
2019-11-10 04:23:00,1
2019-11-16 16:40:00,1
2019-12-13 15:56:00,1
