8276,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, f.z as photoz, f.zErr as photoZerr, GN.distance, s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN on p.objid = GN.objid join Photoz as f ON f.objid = GN.objid LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-06 12:14:00,57
2019-11-06 12:15:00,71
2019-11-06 12:16:00,69
2019-11-06 12:17:00,73
2019-11-06 12:18:00,68
2019-11-06 12:19:00,29
2019-11-06 12:27:00,13
2019-11-06 12:30:00,116
2019-11-06 12:31:00,149
2019-11-06 12:32:00,139
2019-11-06 12:33:00,231
2019-11-06 12:34:00,124
2019-11-06 12:35:00,39
2019-11-06 12:36:00,60
2019-11-06 12:37:00,136
2019-11-06 12:38:00,158
2019-11-06 12:39:00,44
2019-11-06 12:40:00,1
2019-11-06 12:41:00,44
2019-11-06 12:45:00,9
2019-11-06 12:46:00,24
2019-11-06 12:51:00,2
2019-11-06 13:02:00,1
2019-11-06 13:03:00,23
2019-11-06 13:04:00,7
2019-11-06 13:07:00,18
2019-11-06 13:11:00,13
2019-11-06 13:12:00,20
2019-11-06 13:16:00,33
2019-11-06 13:24:00,9
2019-11-06 13:27:00,2
2019-11-06 13:28:00,31
2019-11-06 15:31:00,10
2019-11-06 15:32:00,28
2019-11-06 15:35:00,9
2019-11-06 15:38:00,4
2019-11-06 15:39:00,34
2019-11-11 13:32:00,17
2019-11-11 13:34:00,17
2019-11-11 13:36:00,17
2019-11-11 13:38:00,4
2019-11-11 13:39:00,13
2019-11-11 16:17:00,17
2019-11-11 16:19:00,17
2019-11-11 16:21:00,17
2019-11-11 16:23:00,17
2019-11-11 16:24:00,17
2019-11-11 16:25:00,17
2019-11-11 16:28:00,17
2019-11-11 16:30:00,17
2019-11-11 16:31:00,15
2019-11-11 16:32:00,2
2019-11-11 16:37:00,23
2019-11-11 16:38:00,11
2019-11-11 16:43:00,17
2019-11-11 16:48:00,14
2019-11-11 16:49:00,17
2019-11-11 16:50:00,3
2019-11-11 16:52:00,17
2019-11-11 16:53:00,10
2019-11-11 16:54:00,7
2019-11-11 16:55:00,17
2019-11-11 16:58:00,17
2019-11-11 17:08:00,17
2019-11-11 17:20:00,17
2019-11-11 17:21:00,17
2019-11-11 17:27:00,1
2019-11-11 17:28:00,16
2019-11-11 17:31:00,11
2019-11-11 17:32:00,6
2019-11-11 17:33:00,8
2019-11-11 17:34:00,9
2019-11-11 17:52:00,17
2019-11-11 17:53:00,17
2019-11-12 12:51:00,1
2019-11-12 12:52:00,1
2019-11-12 12:56:00,1
2019-11-12 13:06:00,1
2019-11-12 13:10:00,1
2019-11-12 13:11:00,1
2019-11-12 13:13:00,4
2019-11-12 13:43:00,2
2019-11-12 13:44:00,14
2019-11-12 13:46:00,2
2019-11-12 13:47:00,14
2019-11-12 13:57:00,16
2019-11-12 13:59:00,5
2019-11-12 14:00:00,11
2019-11-12 14:13:00,16
2019-11-12 16:34:00,16
2019-11-12 16:50:00,16
2019-11-12 16:54:00,16
2019-11-12 17:04:00,16
2019-11-12 17:25:00,1
2019-11-12 17:26:00,15
2019-11-12 17:48:00,16
2019-11-12 17:50:00,16
2019-11-12 17:55:00,12
2019-11-12 17:56:00,4
2019-11-12 17:57:00,16
2019-11-13 10:24:00,10
2019-11-13 10:25:00,3
2019-11-13 10:36:00,13
2019-11-13 10:37:00,6
2019-11-13 10:38:00,7
2019-11-13 10:52:00,13
2019-11-13 10:56:00,13
2019-11-13 11:03:00,13
2019-11-13 13:07:00,13
2019-11-13 13:28:00,13
2019-11-13 16:22:00,13
2019-11-13 16:32:00,11
2019-11-13 16:33:00,2
2019-11-13 16:42:00,13
2019-11-13 17:08:00,1
2019-11-13 17:09:00,1
2019-11-13 17:10:00,13
2019-11-13 17:12:00,13
2019-11-13 17:24:00,4
2019-11-13 17:25:00,13
2019-11-13 17:35:00,13
2019-11-14 11:53:00,14
2019-11-14 12:00:00,14
2019-11-14 12:07:00,14
2019-11-14 12:08:00,14
2019-11-14 12:10:00,11
2019-11-14 12:11:00,17
2019-11-14 12:23:00,14
2019-11-14 12:24:00,14
2019-11-14 12:32:00,14
2019-11-14 12:33:00,23
2019-11-14 12:34:00,7
2019-11-14 12:52:00,14
2019-11-14 12:53:00,5
2019-11-14 12:54:00,9
2019-11-14 13:01:00,5
2019-11-14 13:02:00,9
2019-11-14 13:03:00,14
2019-11-14 13:20:00,14
2019-11-14 13:45:00,14
2019-11-14 13:47:00,14
2019-11-14 13:48:00,2
2019-11-14 13:49:00,12
2019-11-14 13:53:00,46
2019-11-14 13:55:00,14
2019-11-14 13:56:00,14
2019-11-14 13:57:00,14
2019-11-14 14:03:00,14
2019-11-14 14:05:00,12
2019-11-14 14:06:00,13
2019-11-14 14:07:00,3
2019-11-14 16:07:00,7
2019-11-14 16:08:00,14
2019-11-14 16:16:00,4
2019-11-14 16:17:00,10
2019-11-14 16:18:00,14
2019-11-14 16:23:00,14
2019-11-14 16:41:00,14
2019-11-14 17:19:00,14
2019-11-14 17:23:00,7
2019-11-14 17:24:00,7
2019-11-15 10:19:00,2
2019-11-15 10:21:00,12
2019-11-15 10:27:00,12
2019-11-15 10:29:00,24
2019-11-15 10:31:00,24
2019-11-15 10:36:00,12
2019-11-15 10:44:00,12
2019-11-15 10:46:00,7
2019-11-15 10:47:00,5
2019-11-15 11:04:00,3
2019-11-15 11:05:00,9
2019-11-15 11:10:00,12
2019-11-15 11:14:00,12
2019-11-15 11:29:00,6
2019-11-15 11:30:00,6
2019-11-15 11:33:00,12
2019-11-15 11:35:00,28
2019-11-15 11:41:00,3
2019-11-15 11:42:00,9
2019-11-15 11:58:00,12
2019-11-15 12:38:00,9
2019-11-15 12:39:00,3
2019-11-15 16:48:00,12
2019-11-15 16:50:00,8
2019-11-15 16:51:00,4
