18,"CREATE TABLE [Diet_questionnaire_performance] (eid BIGINT NOT # , [Day_of_week_questionnaire_completed_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Day_of_week_questionnaire_completion_requested_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Delay_between_questionnaire_request_and_completion_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Duration_of_questionnaire_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Hour_of_day_questionnaire_completed_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [Number_of_diet_questionnaires_completed_#] INTEGER -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [When_diet_questionnaire_completed_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [When_diet_questionnaire_completion_requested_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , [When_diet_questionnaire_started_#] VARCHAR (MAX) -- f_# - http://biobank.ctsu.ox.ac.uk/crystal/field.cgi? id = # , PRIMARY KEY (eid) ) GO"
2019-04-15 13:26:00,1
2019-04-15 13:36:00,1
2019-04-16 08:57:00,1
2019-04-16 08:59:00,1
2019-04-16 10:13:00,1
2019-04-16 10:15:00,1
2019-04-16 10:18:00,1
2019-04-17 11:28:00,1
2019-04-23 09:45:00,1
2019-04-23 10:53:00,1
2019-04-24 09:56:00,1
2019-04-24 13:21:00,1
2019-04-29 11:39:00,1
2019-04-30 11:44:00,1
2019-04-30 15:39:00,1
2019-05-01 09:28:00,1
2019-05-02 09:35:00,1
2019-05-02 10:37:00,1
