86,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID WHERE (p.type = # OR p.type = #)"
2019-01-14 02:04:00,2
2019-02-11 15:03:00,1
2019-02-13 18:13:00,1
2019-02-13 18:14:00,1
2019-02-14 20:06:00,1
2019-02-16 14:19:00,1
2019-03-01 16:42:00,1
2019-03-01 16:44:00,1
2019-03-01 16:45:00,4
2019-03-01 16:49:00,1
2019-03-01 16:52:00,1
2019-03-01 16:53:00,1
2019-03-01 17:15:00,2
2019-03-01 17:26:00,1
2019-03-13 00:52:00,1
2019-03-13 00:53:00,1
2019-03-13 00:54:00,1
2019-03-13 15:42:00,2
2019-03-26 17:36:00,1
2019-04-03 10:05:00,1
2019-04-04 16:04:00,1
2019-04-19 13:49:00,1
2019-04-19 21:12:00,1
2019-04-25 09:40:00,1
2019-04-25 09:42:00,1
2019-04-30 08:26:00,1
2019-05-02 21:54:00,1
2019-05-02 21:55:00,1
2019-05-08 21:26:00,1
2019-05-16 08:25:00,2
2019-05-16 08:27:00,1
2019-05-19 08:19:00,1
2019-05-28 18:31:00,1
2019-05-29 22:27:00,1
2019-05-29 22:39:00,1
2019-06-04 10:07:00,1
2019-06-07 15:58:00,1
2019-06-20 12:04:00,1
2019-07-03 08:35:00,1
2019-07-08 00:33:00,1
2019-07-08 01:23:00,1
2019-07-09 20:07:00,1
2019-07-15 07:55:00,1
2019-07-15 10:18:00,2
2019-07-15 10:42:00,1
2019-07-19 09:59:00,1
2019-07-27 06:26:00,1
2019-07-29 15:08:00,1
2019-07-30 21:03:00,1
2019-08-02 00:22:00,1
2019-08-02 09:28:00,1
2019-08-11 21:26:00,1
2019-08-13 08:54:00,1
2019-08-13 10:04:00,2
2019-08-13 10:05:00,1
2019-08-15 07:30:00,1
2019-08-18 11:54:00,3
2019-08-24 20:17:00,1
2019-08-27 02:05:00,1
2019-09-17 13:44:00,1
2019-09-20 15:08:00,1
2019-09-24 07:43:00,1
2019-10-08 22:58:00,1
2019-10-09 16:49:00,1
2019-10-17 09:45:00,1
2019-10-29 19:14:00,1
2019-11-20 07:13:00,1
2019-11-22 18:59:00,2
2019-12-13 20:06:00,2
2019-12-16 15:49:00,2
2019-12-18 06:33:00,1
2019-12-18 06:44:00,1
