259,"SELECT count (*) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type not IN () ) then # else # end) as # FROM PhotoPrimary WHERE (b between # and #)"
2019-03-05 11:15:00,1
2019-03-05 16:35:00,1
2019-03-05 17:05:00,1
2019-03-05 17:11:00,1
2019-03-05 17:12:00,1
2019-03-05 17:14:00,5
2019-03-05 17:17:00,5
2019-03-05 17:25:00,1
2019-03-05 17:29:00,1
2019-03-05 17:30:00,1
2019-03-05 17:32:00,3
2019-03-05 17:33:00,1
2019-03-05 17:34:00,4
2019-03-05 17:35:00,1
2019-03-06 09:59:00,2
2019-03-06 10:00:00,3
2019-03-06 13:21:00,5
2019-03-06 13:22:00,5
2019-03-06 17:08:00,2
2019-03-06 17:09:00,2
2019-03-06 17:15:00,1
2019-03-06 17:16:00,5
2019-03-06 17:17:00,1
2019-03-06 17:18:00,2
2019-03-07 10:14:00,3
2019-03-07 10:15:00,3
2019-03-07 10:16:00,2
2019-03-07 10:17:00,2
2019-03-07 10:18:00,2
2019-03-07 10:19:00,5
2019-03-07 10:33:00,4
2019-03-07 10:34:00,2
2019-03-07 10:35:00,3
2019-03-07 10:36:00,9
2019-03-07 10:39:00,17
2019-03-07 10:40:00,8
2019-03-07 10:41:00,2
2019-03-07 10:42:00,10
2019-03-07 10:43:00,5
2019-03-07 10:44:00,18
2019-03-07 13:11:00,1
2019-03-07 13:12:00,2
2019-03-07 13:13:00,2
2019-03-07 16:57:00,4
2019-03-07 16:58:00,6
2019-03-07 16:59:00,5
2019-03-07 17:00:00,5
2019-03-07 17:05:00,11
2019-03-07 17:06:00,9
2019-03-07 17:07:00,6
2019-03-07 17:08:00,7
2019-03-07 17:09:00,11
2019-03-07 17:10:00,6
2019-04-03 16:40:00,2
2019-04-03 16:41:00,3
2019-04-04 13:18:00,2
2019-04-04 13:19:00,18
2019-05-09 17:12:00,3
2019-05-09 17:13:00,2
2019-05-09 17:14:00,3
2019-05-09 17:15:00,1
