1741,"select ra, dec, psfMag_r - extinction_r + # as psfMagCorr_r, psfMagErr_r, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r from star as s JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON s.objID = GN.objID where s.clean = # and psfFlux_r > #"
2019-04-03 16:55:00,1
2019-04-03 17:06:00,1
2019-04-03 17:09:00,1
2019-04-03 18:04:00,1
2019-04-03 18:06:00,1
2019-05-06 15:25:00,1
2019-05-06 15:27:00,1
2019-05-06 15:30:00,1
2019-05-06 15:48:00,1
2019-05-06 15:53:00,53
2019-05-06 15:54:00,82
2019-05-06 15:55:00,4
2019-05-06 18:03:00,1
2019-05-06 18:13:00,26
2019-05-07 01:07:00,1
2019-05-07 01:11:00,1
2019-05-07 14:21:00,1
2019-05-07 14:26:00,1
2019-05-07 14:37:00,1
2019-05-07 16:42:00,112
2019-05-07 16:45:00,215
2019-05-07 16:46:00,212
2019-05-07 16:47:00,30
2019-05-07 21:46:00,1
2019-07-03 01:45:00,1
2019-07-03 01:48:00,1
2019-07-03 01:51:00,1
2019-07-03 21:55:00,1
2019-07-03 22:01:00,1
2019-07-03 22:06:00,1
2019-07-08 15:03:00,1
2019-07-08 15:24:00,1
2019-07-09 14:05:00,238
2019-07-09 14:06:00,211
2019-07-09 14:07:00,164
2019-07-09 14:08:00,90
2019-07-09 14:09:00,79
2019-07-09 14:10:00,4
2019-07-09 18:11:00,1
2019-07-11 20:37:00,1
2019-07-11 20:44:00,1
2019-07-11 20:46:00,1
2019-07-19 02:47:00,115
2019-07-19 02:48:00,72
2019-07-19 02:50:00,1
2019-07-23 20:55:00,1
2019-07-23 21:01:00,1
2019-07-25 01:43:00,1
2019-10-31 20:10:00,1
2019-10-31 20:11:00,1
