44,"select all p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> # and abs (#* (#-q.z) )< #"
2019-02-11 18:09:00,1
2019-02-18 20:27:00,1
2019-02-22 08:55:00,1
2019-02-26 00:11:00,1
2019-03-05 22:29:00,1
2019-03-05 22:32:00,1
2019-03-06 23:25:00,1
2019-03-07 00:00:00,1
2019-03-07 00:02:00,1
2019-03-07 00:04:00,1
2019-03-07 00:06:00,1
2019-03-08 14:09:00,1
2019-03-08 17:40:00,1
2019-03-08 18:18:00,1
2019-03-09 20:07:00,2
2019-03-10 19:56:00,2
2019-03-10 19:57:00,2
2019-05-19 18:24:00,1
2019-05-19 18:59:00,1
2019-07-02 19:25:00,1
2019-07-02 19:31:00,1
2019-07-02 19:34:00,1
2019-07-02 19:38:00,1
2019-07-02 20:02:00,1
2019-07-02 20:07:00,1
2019-07-02 20:12:00,1
2019-07-02 20:16:00,1
2019-07-02 20:17:00,1
2019-07-12 17:58:00,1
2019-07-12 18:06:00,1
2019-07-22 05:08:00,1
2019-07-22 05:09:00,1
2019-07-22 05:14:00,1
2019-07-22 05:17:00,1
2019-09-14 10:44:00,1
2019-09-16 19:18:00,2
2019-09-16 19:20:00,1
2019-11-02 12:45:00,1
2019-11-02 12:46:00,1
2019-11-02 18:35:00,1
