18,"select * from OPENQUERY ([#.#], #' #) as case_ids from cancer_study cs inner join sample_list sl on sl.CANCER_STUDY_ID = cs.CANCER_STUDY_ID join sample_list_list sll on sl.list_id = sll.list_id join sample s on s.internal_id = sll.sample_id where cs.cancer_study_identifier = #paac_jhu_## group by sl.stable_id, sl.cancer_study_id order by #, #') a"
2019-04-21 09:47:00,1
2019-04-21 09:48:00,1
2019-04-21 13:28:00,3
2019-04-30 16:07:00,1
2019-05-03 07:30:00,1
2019-05-03 07:31:00,1
2019-05-03 07:50:00,1
2019-05-03 07:53:00,1
2019-05-03 13:56:00,1
2019-05-03 13:57:00,2
2019-05-06 12:08:00,1
2019-05-06 12:10:00,1
2019-05-06 12:13:00,1
2019-05-07 18:17:00,1
2019-11-05 16:31:00,1
