91,"SELECT TOP # p.u, p.g, p.r, p.i, p.z FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-05-09 12:33:00,1
2019-05-09 12:38:00,1
2019-05-13 21:10:00,1
2019-05-13 21:20:00,1
2019-05-13 21:32:00,1
2019-05-13 21:33:00,1
2019-05-13 21:35:00,1
2019-05-13 21:42:00,1
2019-05-13 21:43:00,1
2019-05-13 21:46:00,1
2019-05-13 21:51:00,1
2019-05-13 21:52:00,1
2019-05-13 21:53:00,1
2019-05-13 21:59:00,1
2019-05-21 12:37:00,1
2019-05-21 14:18:00,1
2019-06-05 01:01:00,1
2019-06-05 01:02:00,1
2019-06-05 01:05:00,1
2019-06-30 12:32:00,1
2019-06-30 12:33:00,1
2019-06-30 12:35:00,3
2019-06-30 12:36:00,1
2019-06-30 12:45:00,1
2019-07-01 17:12:00,2
2019-07-01 17:15:00,1
2019-07-01 17:34:00,2
2019-07-01 17:37:00,1
2019-07-01 17:42:00,1
2019-07-01 17:43:00,1
2019-07-01 17:47:00,1
2019-07-01 17:49:00,1
2019-07-01 17:50:00,1
2019-07-01 18:04:00,1
2019-07-01 18:07:00,1
2019-07-01 18:08:00,1
2019-07-01 18:09:00,2
2019-07-01 21:14:00,1
2019-07-01 22:48:00,1
2019-07-01 23:01:00,1
2019-07-01 23:02:00,3
2019-07-01 23:03:00,1
2019-07-02 00:00:00,1
2019-07-02 00:07:00,4
2019-07-02 00:09:00,1
2019-07-02 00:11:00,1
2019-07-02 00:13:00,1
2019-07-02 00:15:00,2
2019-07-02 00:16:00,4
2019-07-02 00:17:00,1
2019-07-02 00:18:00,3
2019-07-02 00:19:00,4
2019-07-02 00:22:00,1
2019-07-02 00:23:00,3
2019-07-02 00:24:00,1
2019-07-02 06:28:00,2
2019-07-02 06:30:00,1
2019-07-02 07:49:00,2
2019-07-02 07:50:00,3
2019-07-02 07:51:00,1
2019-07-03 16:42:00,1
2019-07-17 04:17:00,1
2019-09-11 03:54:00,1
2019-09-11 04:01:00,1
2019-09-11 04:05:00,1
2019-12-20 16:39:00,1
