22,"select top # p.ra, p.dec, p.deVRad_r, q.z from Galaxy p, dbo.fgetNearByObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> # and abs (#* (#-q.z) )< #"
2019-02-26 21:13:00,1
2019-02-27 18:43:00,1
2019-02-27 18:46:00,1
2019-02-27 18:48:00,1
2019-02-27 18:50:00,1
2019-02-27 18:52:00,1
2019-08-15 08:38:00,1
2019-08-15 08:39:00,1
2019-08-15 08:47:00,1
2019-08-15 08:55:00,1
2019-08-15 09:08:00,1
2019-08-15 09:42:00,1
2019-08-15 20:24:00,1
2019-08-16 10:28:00,1
2019-08-16 11:14:00,1
2019-08-16 11:36:00,1
2019-08-23 12:35:00,1
2019-08-23 13:28:00,1
2019-08-23 13:29:00,1
2019-08-23 14:44:00,1
2019-08-23 15:02:00,1
2019-08-23 15:21:00,1
