319,"SELECT count (*) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type not IN () ) then # else # end) as # FROM PhotoPrimary WHERE (b between # and #) and (l between # and #)"
2019-03-03 16:04:00,1
2019-03-03 16:06:00,1
2019-03-03 16:09:00,2
2019-03-03 16:10:00,1
2019-03-03 16:11:00,1
2019-03-03 16:12:00,1
2019-03-03 16:13:00,3
2019-03-03 16:14:00,5
2019-03-03 16:15:00,6
2019-03-03 16:16:00,9
2019-03-03 16:17:00,4
2019-03-03 16:18:00,3
2019-03-03 16:19:00,9
2019-03-03 16:20:00,6
2019-03-03 16:33:00,11
2019-03-03 16:34:00,7
2019-03-03 16:36:00,12
2019-03-03 16:37:00,6
2019-03-03 16:46:00,10
2019-03-03 16:47:00,8
2019-03-04 13:11:00,2
2019-03-04 13:14:00,1
2019-03-04 13:31:00,1
2019-03-04 14:16:00,1
2019-03-04 14:17:00,3
2019-03-04 14:18:00,3
2019-03-04 14:19:00,5
2019-03-04 14:20:00,2
2019-03-04 14:21:00,1
2019-03-04 14:22:00,2
2019-03-04 14:23:00,2
2019-03-04 14:24:00,4
2019-03-04 14:32:00,8
2019-03-04 14:33:00,9
2019-03-04 14:38:00,17
2019-03-04 17:48:00,1
2019-03-04 17:49:00,1
2019-03-04 17:51:00,1
2019-03-04 17:53:00,1
2019-03-04 17:56:00,1
2019-03-04 17:57:00,2
2019-03-05 09:45:00,1
2019-03-05 10:14:00,2
2019-03-05 10:58:00,1
2019-03-05 10:59:00,3
2019-03-07 10:47:00,22
2019-03-07 10:48:00,12
2019-03-07 10:52:00,17
2019-04-03 13:08:00,1
2019-04-03 13:11:00,1
2019-04-04 09:11:00,11
2019-04-04 09:12:00,4
2019-04-04 09:13:00,36
2019-04-04 09:14:00,17
2019-04-04 10:43:00,17
