39,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearbyObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> # and abs (#* (#-q.z) )< #"
2019-07-11 00:23:00,1
2019-07-11 00:24:00,1
2019-07-11 00:25:00,1
2019-07-11 01:04:00,1
2019-07-11 01:08:00,1
2019-07-11 01:11:00,1
2019-07-11 01:48:00,1
2019-07-12 03:05:00,1
2019-07-12 03:06:00,1
2019-07-12 03:07:00,1
2019-07-12 03:08:00,1
2019-07-13 17:25:00,1
2019-07-13 17:26:00,1
2019-07-13 18:27:00,1
2019-07-13 18:30:00,1
2019-07-13 18:33:00,1
2019-07-13 18:35:00,1
2019-07-13 18:39:00,1
2019-07-13 18:43:00,1
2019-07-13 18:44:00,1
2019-07-14 22:48:00,1
2019-07-14 22:50:00,1
2019-07-14 22:53:00,1
2019-07-14 22:57:00,1
2019-07-14 22:58:00,1
2019-07-14 23:05:00,2
2019-07-14 23:19:00,1
2019-07-14 23:20:00,1
2019-07-14 23:23:00,1
2019-07-14 23:26:00,2
2019-07-14 23:27:00,2
2019-07-14 23:30:00,1
2019-07-14 23:32:00,1
2019-07-14 23:33:00,1
2019-07-14 23:37:00,1
2019-07-14 23:38:00,1
