4951,"SELECT DISTINCT p.u, p.g, p.r, p.i, s.Z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-14 18:50:00,1
2019-02-14 18:57:00,4
2019-02-14 19:00:00,1
2019-02-14 19:18:00,12
2019-02-14 19:19:00,8
2019-02-14 19:20:00,134
2019-02-14 19:21:00,133
2019-02-14 19:22:00,138
2019-02-14 19:23:00,134
2019-02-14 19:24:00,136
2019-02-14 19:25:00,133
2019-02-14 19:26:00,144
2019-02-14 19:27:00,152
2019-02-14 19:28:00,125
2019-02-14 19:53:00,96
2019-02-14 20:12:00,77
2019-02-14 20:13:00,150
2019-02-14 20:14:00,150
2019-02-14 20:15:00,150
2019-02-14 20:16:00,141
2019-02-14 20:17:00,140
2019-02-14 20:18:00,134
2019-02-14 20:19:00,129
2019-02-14 20:20:00,72
2019-02-14 20:25:00,54
2019-02-14 20:26:00,112
2019-02-14 20:27:00,129
2019-02-14 20:28:00,139
2019-02-14 20:29:00,144
2019-02-14 20:30:00,152
2019-02-14 20:31:00,164
2019-02-14 20:32:00,164
2019-02-14 20:33:00,173
2019-02-14 20:34:00,174
2019-02-14 20:35:00,164
2019-02-14 20:36:00,172
2019-02-14 20:37:00,175
2019-02-14 20:38:00,166
2019-02-14 20:39:00,163
2019-02-14 20:40:00,159
2019-02-14 20:41:00,52
2019-02-14 21:12:00,1
