58,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.u, p.g, p.r, p.i, p.z FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = #)"
2019-01-21 19:23:00,1
2019-01-21 19:39:00,1
2019-01-25 01:42:00,1
2019-01-25 01:50:00,1
2019-01-25 01:51:00,1
2019-01-25 01:59:00,1
2019-01-25 02:01:00,1
2019-01-25 02:02:00,1
2019-01-25 02:03:00,1
2019-01-25 02:06:00,1
2019-01-26 18:51:00,1
2019-01-29 20:18:00,1
2019-01-30 20:57:00,1
2019-01-31 01:14:00,1
2019-01-31 01:15:00,1
2019-01-31 20:35:00,3
2019-01-31 20:41:00,1
2019-01-31 20:50:00,1
2019-01-31 21:13:00,1
2019-02-01 04:58:00,1
2019-02-01 05:29:00,1
2019-02-01 05:46:00,1
2019-02-01 05:47:00,1
2019-02-01 05:48:00,1
2019-02-01 06:16:00,1
2019-02-01 06:25:00,1
2019-02-01 09:35:00,1
2019-09-06 23:53:00,2
2019-09-07 00:06:00,1
2019-09-07 01:31:00,2
2019-09-08 19:52:00,1
2019-09-08 19:53:00,1
2019-09-08 23:28:00,1
2019-09-10 14:21:00,1
2019-09-11 04:34:00,1
2019-09-13 04:27:00,1
2019-09-13 07:37:00,2
2019-09-13 07:43:00,1
2019-09-13 08:01:00,1
2019-09-13 08:03:00,1
2019-09-13 08:04:00,2
2019-09-13 08:05:00,1
2019-09-13 08:08:00,1
2019-09-13 13:30:00,1
2019-09-13 13:31:00,2
2019-09-13 13:32:00,1
2019-09-13 13:34:00,1
2019-09-13 13:35:00,2
2019-09-13 13:40:00,1
2019-09-13 14:07:00,1
