42,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between #e-# and #) )"
2019-02-12 04:18:00,1
2019-04-10 14:01:00,1
2019-04-10 15:00:00,1
2019-04-11 19:00:00,1
2019-04-12 04:26:00,1
2019-04-12 05:11:00,1
2019-04-16 06:03:00,2
2019-04-16 06:08:00,1
2019-04-18 11:53:00,1
2019-04-19 05:45:00,1
2019-04-19 06:30:00,1
2019-05-07 23:53:00,2
2019-06-03 18:21:00,1
2019-08-03 12:45:00,1
2019-08-03 17:27:00,1
2019-08-05 11:34:00,1
2019-08-07 12:50:00,1
2019-09-09 18:46:00,2
2019-10-11 09:52:00,1
2019-10-11 12:21:00,1
2019-10-14 14:44:00,1
2019-10-14 15:38:00,1
2019-11-21 14:34:00,1
2019-11-21 14:40:00,1
2019-11-21 14:44:00,1
2019-11-21 15:22:00,1
2019-11-21 16:05:00,1
2019-11-21 16:52:00,1
2019-11-22 02:32:00,1
2019-11-22 03:22:00,1
2019-11-22 07:45:00,1
2019-11-22 07:46:00,1
2019-11-22 08:45:00,1
2019-11-25 16:47:00,2
2019-11-25 20:55:00,1
2019-11-26 11:18:00,1
2019-11-26 15:39:00,1
2019-11-26 21:51:00,1
