10,"SELECT A.RAJ2#, A.DEJ2#, C.ra, C.dec, C.err_maj, C.err_min, C.err_ang, C.j_m, C.j_cmsig, C.j_msigcom, C.j_snr, C.h_m, C.h_cmsig, C.h_msigcom, C.h_snr, C.k_m, C.k_cmsig, C.k_msigcom, C.k_snr, A.INDX, B.distance FROM MyDB.WISE_AGN_R9#_ptsrc_VIZIER AS A OUTER APPLY dbo.fGetNearestObjEq (A.RAJ2#, A.DEJ2#, #/#.) AS B LEFT OUTER JOIN PhotoObjAll AS C ON B.objID = C.objID WHERE A.INDX BETWEEN # AND # INTO MyDB.WISE_AGN_R9#_ptsrc_VIZIER3#_SDSSTwomass_#as"
2019-08-28 14:02:00,1
2019-08-28 14:06:00,1
2019-08-28 14:09:00,1
2019-08-28 14:12:00,1
2019-08-28 14:15:00,1
2019-08-28 14:18:00,1
2019-08-28 14:21:00,1
2019-08-28 14:24:00,1
2019-08-28 14:27:00,1
2019-08-28 14:30:00,1
