816,"SELECT TOP # p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, n.distance AS offset, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z, p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z, p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z, p.expFlux_u, p.expFlux_g, p.expFlux_r, p.expFlux_i, p.expFlux_z, p.expMag_u, p.expMag_g, p.expMag_r, p.expMag_i, p.expMag_z, p.petroRad_u, p.petroRad_g, p.petroRad_r, p.petroRad_i, p.petroRad_z, p.petroFlux_u, p.petroFlux_g, p.petroFlux_r, p.petroFlux_i, p.petroFlux_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroR5#_u, p.petroR5#_g, p.petroR5#_r, p.petroR5#_i, p.petroR5#_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.rowc_u, p.rowc_g, p.rowc_r, p.rowc_i, p.rowc_z, p.colc_u, p.colc_g, p.colc_r, p.colc_i, p.colc_z, p.rowcErr_u, p.rowcErr_g, p.rowcErr_r, p.rowcErr_i, p.rowcErr_z, p.colcErr_u, p.colcErr_g, p.colcErr_r, p.colcErr_i, p.colcErr_z FROM fGetNearbyObjEq (#, #, #) n JOIN Galaxy p ON n.objID = p.objID JOIN SpecPhoto s ON p.specobjid = s.specobjid ORDER BY offset"
2019-04-19 03:16:00,2
2019-04-19 03:17:00,3
2019-04-19 03:18:00,4
2019-04-19 03:19:00,2
2019-04-19 03:20:00,2
2019-04-19 03:21:00,3
2019-04-19 03:22:00,3
2019-04-19 03:23:00,2
2019-04-19 03:24:00,2
2019-04-19 03:25:00,2
2019-04-19 03:26:00,3
2019-04-19 03:27:00,1
2019-04-19 03:28:00,3
2019-04-19 03:29:00,2
2019-04-19 03:30:00,1
2019-04-19 03:31:00,2
2019-04-19 03:32:00,2
2019-04-19 03:33:00,3
2019-04-19 03:34:00,3
2019-04-19 03:35:00,2
2019-04-19 03:36:00,2
2019-04-19 03:37:00,2
2019-04-19 03:38:00,3
2019-04-19 03:39:00,2
2019-04-19 03:40:00,2
2019-04-19 03:41:00,2
2019-04-19 03:42:00,2
2019-04-19 03:43:00,2
2019-04-19 03:44:00,2
2019-04-19 03:45:00,3
2019-04-19 03:46:00,2
2019-04-19 03:47:00,2
2019-04-19 03:48:00,2
2019-04-19 03:49:00,3
2019-04-19 03:50:00,2
2019-04-19 03:51:00,2
2019-04-19 03:52:00,3
2019-04-19 03:53:00,4
2019-04-19 03:54:00,3
2019-04-19 03:55:00,3
2019-04-19 03:56:00,2
2019-04-19 03:57:00,2
2019-04-19 03:58:00,2
2019-04-19 03:59:00,2
2019-04-19 04:00:00,2
2019-04-19 04:01:00,2
2019-04-19 04:02:00,3
2019-04-19 04:03:00,2
2019-04-19 04:04:00,2
2019-04-19 04:05:00,2
2019-04-19 04:06:00,2
2019-04-19 04:07:00,3
2019-04-19 04:08:00,3
2019-04-19 04:09:00,2
2019-04-19 04:10:00,2
2019-04-19 04:11:00,3
2019-04-19 04:12:00,3
2019-04-19 04:13:00,3
2019-04-19 04:14:00,3
2019-04-19 04:15:00,2
2019-04-19 04:16:00,4
2019-04-19 04:17:00,2
2019-04-19 04:18:00,3
2019-04-19 04:19:00,3
2019-04-19 04:20:00,3
2019-04-19 04:21:00,2
2019-04-19 04:22:00,3
2019-04-19 04:23:00,3
2019-04-19 04:24:00,3
2019-04-19 04:25:00,3
2019-04-19 04:26:00,4
2019-04-19 04:27:00,3
2019-04-19 04:28:00,3
2019-04-19 04:29:00,3
2019-04-19 04:30:00,3
2019-04-19 04:31:00,3
2019-04-19 04:32:00,1
