34741,"select z, ra, dec, bestObjID from specObj where class = # and zWarning = # and ra< # and ra> # and dec< # and dec> # and z > # and z < #"
2019-01-19 14:09:00,2
2019-01-19 14:21:00,4
2019-01-19 14:24:00,1
2019-01-19 14:25:00,1
2019-01-19 14:26:00,1
2019-01-19 14:28:00,3
2019-01-19 14:30:00,1
2019-01-19 14:31:00,1
2019-01-19 14:32:00,1
2019-01-19 14:33:00,1
2019-01-19 14:34:00,1
2019-01-19 14:36:00,1
2019-01-19 14:37:00,2
2019-01-19 14:38:00,1
2019-01-19 14:39:00,2
2019-01-19 14:41:00,3
2019-01-19 14:42:00,4
2019-01-19 15:51:00,4
2019-01-19 15:56:00,4
2019-01-19 15:57:00,23
2019-01-19 15:58:00,23
2019-01-19 15:59:00,35
2019-01-20 16:28:00,6
2019-01-20 16:29:00,35
2019-01-20 16:30:00,17
2019-01-20 16:34:00,1
2019-01-20 16:35:00,2
2019-01-20 16:37:00,1
2019-01-20 16:39:00,13
2019-01-20 16:40:00,12
2019-01-20 16:42:00,13
2019-01-20 16:43:00,11
2019-01-20 16:44:00,16
2019-01-20 16:45:00,29
2019-01-20 16:46:00,7
2019-01-20 16:47:00,68
2019-01-20 16:48:00,61
2019-01-20 16:49:00,63
2019-01-20 16:50:00,64
2019-01-20 16:51:00,65
2019-01-20 16:52:00,70
2019-01-20 16:53:00,61
2019-01-20 16:54:00,63
2019-01-20 16:55:00,11
2019-02-21 13:14:00,11
2019-02-21 13:15:00,50
2019-02-21 13:16:00,45
2019-02-21 13:17:00,46
2019-02-21 13:18:00,1
2019-02-21 13:20:00,38
2019-02-21 13:21:00,50
2019-02-21 13:22:00,53
2019-02-21 13:23:00,9
2019-02-21 13:24:00,24
2019-02-21 13:25:00,53
2019-02-21 13:26:00,49
2019-02-21 13:27:00,37
2019-02-21 13:28:00,56
2019-02-21 13:29:00,53
2019-02-21 13:30:00,44
2019-02-21 13:31:00,40
2019-02-21 13:32:00,42
2019-02-21 13:33:00,44
2019-02-21 13:34:00,29
2019-02-21 13:35:00,54
2019-02-21 13:36:00,44
2019-02-21 13:37:00,47
2019-02-21 13:38:00,44
2019-02-21 13:39:00,46
2019-02-21 13:40:00,27
2019-02-21 16:43:00,1
2019-02-21 16:44:00,6
2019-02-21 16:45:00,13
2019-02-21 16:56:00,19
2019-02-21 16:57:00,29
2019-02-21 17:13:00,4
2019-02-21 17:14:00,5
2019-02-21 17:15:00,47
2019-02-21 17:16:00,44
2019-02-21 17:17:00,40
2019-02-21 17:18:00,27
2019-02-21 17:19:00,34
2019-02-21 17:20:00,48
2019-02-21 17:21:00,47
2019-02-21 17:22:00,44
2019-02-21 17:23:00,36
2019-02-21 17:24:00,39
2019-02-21 17:25:00,37
2019-02-21 17:26:00,38
2019-02-21 17:27:00,34
2019-02-21 17:28:00,43
2019-02-21 17:29:00,40
2019-02-21 17:30:00,41
2019-02-21 17:31:00,38
2019-02-21 17:32:00,46
2019-02-21 17:37:00,20
2019-02-21 17:38:00,43
2019-02-21 17:39:00,43
2019-02-21 17:40:00,39
2019-02-21 17:41:00,32
2019-02-21 17:42:00,39
2019-02-21 17:43:00,39
2019-02-21 17:44:00,42
2019-02-21 17:45:00,3
2019-02-21 17:57:00,45
2019-02-21 17:58:00,50
2019-02-21 17:59:00,47
2019-02-21 18:00:00,45
2019-02-21 18:01:00,41
2019-02-21 18:02:00,39
2019-02-21 18:03:00,36
2019-02-21 18:04:00,42
2019-02-21 18:05:00,42
2019-02-21 18:06:00,41
2019-02-21 18:07:00,38
2019-02-21 18:08:00,40
2019-02-21 18:09:00,41
2019-02-21 18:10:00,44
2019-02-21 18:11:00,41
2019-02-21 18:12:00,42
2019-02-21 18:13:00,42
2019-02-21 18:14:00,41
2019-02-21 18:15:00,42
2019-02-21 18:16:00,34
2019-02-21 18:17:00,40
2019-02-21 18:18:00,39
2019-02-21 18:19:00,40
2019-02-21 18:20:00,37
2019-02-21 18:21:00,33
2019-02-21 18:22:00,40
2019-02-21 18:23:00,42
2019-02-21 18:24:00,25
2019-02-21 18:25:00,45
2019-02-21 18:26:00,36
2019-02-21 18:27:00,42
2019-02-21 18:28:00,41
2019-02-21 18:29:00,46
2019-02-21 18:30:00,50
2019-02-21 18:31:00,30
2019-02-21 18:36:00,18
2019-02-21 18:37:00,56
2019-02-21 18:38:00,48
2019-02-21 18:39:00,47
2019-02-21 18:40:00,47
2019-02-21 18:41:00,38
2019-02-21 18:42:00,39
2019-02-21 18:43:00,41
2019-02-21 18:44:00,40
2019-02-21 18:45:00,42
2019-02-21 18:46:00,41
2019-02-21 18:47:00,40
2019-02-21 18:48:00,42
2019-02-21 18:49:00,36
2019-02-21 18:50:00,45
2019-02-21 18:51:00,44
2019-02-21 18:52:00,43
2019-02-21 18:53:00,21
2019-02-21 19:09:00,42
2019-02-21 19:10:00,46
2019-02-21 19:11:00,46
2019-02-21 19:12:00,41
2019-02-21 19:13:00,34
2019-02-21 19:14:00,44
2019-02-21 19:15:00,38
2019-02-21 19:16:00,46
2019-02-21 19:17:00,45
2019-02-21 19:18:00,46
2019-02-21 19:19:00,45
2019-02-21 19:20:00,47
2019-02-21 19:21:00,45
2019-02-21 19:22:00,22
2019-02-21 19:23:00,44
2019-02-21 19:24:00,44
2019-02-21 19:25:00,39
2019-02-21 19:26:00,42
2019-02-21 19:27:00,45
2019-02-21 19:28:00,22
2019-02-21 19:39:00,24
2019-02-21 19:40:00,53
2019-02-21 19:41:00,39
2019-02-21 19:42:00,46
2019-02-21 19:43:00,37
2019-02-21 19:44:00,42
2019-02-21 19:45:00,37
2019-02-21 19:46:00,22
2019-02-21 19:50:00,17
2019-02-21 19:51:00,43
2019-02-21 19:52:00,41
2019-02-21 19:53:00,13
2019-02-21 20:25:00,45
2019-02-21 20:26:00,56
2019-02-21 20:27:00,54
2019-02-21 20:28:00,52
2019-02-21 20:29:00,45
2019-02-21 20:30:00,39
2019-02-21 20:31:00,42
2019-02-21 20:32:00,43
2019-02-21 20:33:00,46
2019-02-21 20:34:00,44
2019-02-21 20:35:00,44
2019-02-21 20:36:00,46
2019-02-21 20:37:00,49
2019-02-21 20:38:00,50
2019-02-21 20:39:00,40
2019-02-21 20:40:00,33
2019-02-21 20:52:00,27
2019-02-21 20:53:00,44
2019-02-21 20:54:00,48
2019-02-21 20:55:00,44
2019-02-21 20:56:00,45
2019-02-21 20:57:00,1
2019-02-21 21:04:00,10
2019-02-21 21:05:00,57
2019-02-21 21:06:00,55
2019-02-21 21:07:00,45
2019-02-21 21:08:00,50
2019-02-21 21:09:00,47
2019-02-21 21:10:00,44
2019-02-21 21:11:00,47
2019-02-21 21:12:00,43
2019-02-21 21:13:00,43
2019-02-21 21:14:00,45
2019-02-21 21:15:00,45
2019-02-21 21:16:00,44
2019-02-21 21:17:00,46
2019-02-21 21:18:00,46
2019-02-21 21:19:00,47
2019-02-21 21:20:00,44
2019-02-21 21:21:00,49
2019-02-21 21:22:00,48
2019-02-21 21:23:00,50
2019-02-21 21:24:00,49
2019-02-21 21:25:00,48
2019-02-21 21:26:00,48
2019-02-21 21:27:00,52
2019-02-21 21:28:00,48
2019-02-21 21:29:00,48
2019-02-21 21:30:00,44
2019-02-21 21:31:00,46
2019-02-21 21:32:00,49
2019-02-21 21:33:00,50
2019-02-21 21:34:00,32
2019-02-21 21:36:00,25
2019-02-21 21:37:00,46
2019-02-21 21:38:00,46
2019-02-21 21:39:00,45
2019-02-21 21:40:00,44
2019-02-21 21:41:00,40
2019-02-21 21:42:00,46
2019-02-21 21:43:00,46
2019-02-21 21:44:00,45
2019-02-21 21:45:00,44
2019-02-21 21:46:00,44
2019-02-21 21:47:00,5
2019-03-10 23:49:00,1
2019-03-10 23:50:00,5
2019-03-10 23:51:00,2
2019-03-10 23:52:00,3
2019-03-10 23:53:00,1
2019-03-10 23:54:00,2
2019-03-11 00:02:00,1
2019-03-11 00:03:00,1
2019-03-11 00:04:00,4
2019-03-11 00:05:00,1
2019-03-11 00:08:00,1
2019-03-11 00:09:00,1
2019-03-11 00:29:00,2
2019-03-11 00:30:00,1
2019-03-11 09:38:00,47
2019-03-11 09:39:00,90
2019-03-11 09:40:00,90
2019-03-11 09:41:00,39
2019-03-11 09:42:00,60
2019-03-11 09:43:00,89
2019-03-11 09:44:00,87
2019-03-11 09:45:00,29
2019-03-11 09:48:00,106
2019-03-11 09:49:00,92
2019-03-11 09:50:00,90
2019-03-11 09:51:00,105
2019-03-11 09:52:00,108
2019-03-11 09:53:00,7
2019-03-11 12:16:00,52
2019-03-11 12:17:00,91
2019-03-11 12:18:00,77
2019-03-11 12:19:00,82
2019-03-11 12:20:00,88
2019-03-11 12:21:00,87
2019-03-11 12:24:00,68
2019-03-11 12:25:00,74
2019-03-11 12:26:00,65
2019-03-11 12:27:00,56
2019-03-12 10:32:00,49
2019-03-12 10:33:00,69
2019-03-12 10:34:00,59
2019-03-12 10:35:00,54
2019-03-12 10:36:00,57
2019-03-12 10:37:00,54
2019-03-12 10:38:00,74
2019-03-12 10:39:00,61
2019-03-12 10:43:00,39
2019-03-12 10:44:00,56
2019-03-12 10:45:00,56
2019-03-12 10:46:00,55
2019-03-12 10:47:00,59
2019-03-12 11:25:00,58
2019-03-12 11:26:00,55
2019-03-12 11:27:00,57
2019-03-12 11:28:00,61
2019-03-12 11:29:00,34
2019-03-12 11:38:00,35
2019-03-12 11:39:00,61
2019-03-12 11:40:00,27
2019-03-12 11:49:00,4
2019-03-12 11:50:00,55
2019-03-12 17:48:00,1
2019-03-13 09:09:00,1
2019-03-13 09:10:00,28
2019-03-13 09:11:00,33
2019-03-13 09:12:00,45
2019-03-13 09:13:00,45
2019-03-13 09:14:00,104
2019-03-13 09:15:00,102
2019-03-13 09:16:00,94
2019-03-13 09:25:00,1
2019-03-13 09:26:00,17
2019-03-13 09:27:00,16
2019-03-13 09:28:00,14
2019-03-13 09:29:00,11
2019-03-13 09:30:00,7
2019-03-13 09:31:00,10
2019-03-13 09:32:00,7
2019-03-13 09:33:00,9
2019-03-13 09:34:00,9
2019-03-13 09:35:00,8
2019-03-13 09:36:00,15
2019-03-13 09:37:00,6
2019-03-13 09:39:00,16
2019-03-13 09:40:00,114
2019-03-13 09:41:00,105
2019-03-13 09:42:00,108
2019-03-13 09:43:00,108
2019-03-13 17:12:00,8
2019-03-13 17:13:00,49
2019-03-13 17:14:00,44
2019-03-13 17:17:00,51
2019-03-13 17:18:00,48
2019-03-13 17:20:00,69
2019-03-13 17:21:00,59
2019-03-13 17:22:00,49
2019-03-13 17:23:00,50
2019-03-13 17:24:00,54
2019-03-13 17:25:00,50
2019-03-13 17:26:00,49
2019-03-13 17:27:00,49
2019-03-13 17:28:00,47
2019-03-13 17:29:00,52
2019-03-13 17:30:00,52
2019-03-13 17:31:00,52
2019-03-13 17:32:00,50
2019-03-13 17:33:00,81
2019-03-13 17:34:00,81
2019-03-13 17:35:00,68
2019-03-13 17:36:00,60
2019-03-13 17:37:00,59
2019-03-13 17:38:00,51
2019-03-13 17:39:00,54
2019-03-13 17:40:00,55
2019-03-13 17:41:00,55
2019-03-13 17:42:00,55
2019-03-13 17:43:00,57
2019-03-13 17:44:00,53
2019-03-13 17:56:00,44
2019-03-13 17:57:00,81
2019-03-13 17:58:00,66
2019-03-13 17:59:00,71
2019-03-13 18:00:00,62
2019-03-13 18:01:00,65
2019-03-13 18:02:00,57
2019-03-13 18:03:00,60
2019-03-13 18:04:00,58
2019-03-13 18:05:00,55
2019-03-13 18:06:00,58
2019-03-13 18:07:00,60
2019-03-13 18:08:00,57
2019-03-13 18:09:00,57
2019-03-13 18:10:00,63
2019-03-13 18:11:00,59
2019-03-13 18:12:00,62
2019-03-13 18:13:00,58
2019-03-13 18:14:00,53
2019-03-13 18:15:00,60
2019-03-13 18:16:00,57
2019-03-13 18:17:00,34
2019-03-13 18:19:00,56
2019-03-13 18:20:00,85
2019-03-13 18:21:00,76
2019-03-13 18:22:00,66
2019-03-13 18:23:00,63
2019-03-13 18:24:00,54
2019-03-13 18:25:00,56
2019-03-13 18:26:00,57
2019-03-13 18:27:00,58
2019-03-13 18:28:00,61
2019-03-13 18:29:00,62
2019-03-13 18:30:00,33
2019-03-13 18:41:00,25
2019-03-13 18:42:00,83
2019-03-13 18:43:00,74
2019-03-13 18:44:00,72
2019-03-13 18:45:00,67
2019-03-13 18:46:00,64
2019-03-13 18:47:00,62
2019-03-13 18:48:00,64
2019-03-13 18:49:00,57
2019-03-13 18:50:00,59
2019-03-13 18:51:00,59
2019-03-13 18:52:00,60
2019-03-13 18:53:00,58
2019-03-13 18:54:00,60
2019-03-13 18:55:00,65
2019-03-13 18:56:00,62
2019-03-13 18:57:00,61
2019-03-13 18:58:00,60
2019-03-13 18:59:00,58
2019-03-13 19:00:00,61
2019-03-13 19:01:00,57
2019-03-13 19:02:00,66
2019-03-13 19:03:00,65
2019-03-13 19:05:00,26
2019-03-13 19:06:00,54
2019-03-13 19:07:00,54
2019-03-13 19:08:00,54
2019-03-13 19:09:00,55
2019-03-13 19:10:00,20
2019-03-13 19:11:00,36
2019-03-13 19:12:00,56
2019-03-13 19:13:00,54
2019-03-13 19:14:00,56
2019-03-13 19:15:00,55
2019-03-13 19:16:00,54
2019-03-13 19:17:00,56
2019-03-13 19:18:00,55
2019-03-13 21:17:00,45
2019-03-13 21:18:00,117
2019-03-13 21:19:00,96
2019-03-13 21:20:00,76
2019-03-13 21:21:00,84
2019-03-13 21:22:00,74
2019-03-13 21:23:00,78
2019-03-13 21:24:00,73
2019-03-13 21:25:00,84
2019-03-13 21:34:00,72
2019-03-13 21:35:00,99
2019-03-13 21:36:00,92
2019-03-13 21:37:00,86
2019-03-13 21:38:00,89
2019-03-13 21:39:00,80
2019-03-13 21:40:00,80
2019-03-13 21:41:00,85
2019-03-13 21:42:00,76
2019-03-13 21:43:00,85
2019-03-13 21:44:00,91
2019-03-13 21:45:00,81
2019-03-13 21:46:00,86
2019-03-13 21:47:00,78
2019-03-13 21:48:00,84
2019-03-13 21:49:00,87
2019-03-13 21:50:00,68
2019-03-14 12:55:00,2
2019-03-14 12:56:00,3
2019-03-14 12:57:00,6
2019-03-14 12:58:00,19
2019-03-14 12:59:00,50
2019-03-14 13:00:00,49
2019-03-14 13:01:00,64
2019-03-14 13:02:00,43
2019-03-14 13:17:00,31
2019-03-14 13:18:00,51
2019-03-14 13:19:00,54
2019-03-14 13:20:00,68
2019-03-14 13:21:00,30
2019-03-14 16:03:00,12
2019-03-14 16:04:00,1
2019-03-15 11:46:00,19
2019-03-15 11:47:00,24
2019-03-15 11:48:00,15
2019-03-15 11:49:00,21
2019-03-15 11:50:00,12
2019-03-15 11:54:00,37
2019-03-15 11:55:00,4
2019-03-15 12:07:00,30
2019-03-15 12:08:00,45
2019-03-15 12:09:00,48
2019-03-15 12:10:00,47
2019-03-15 12:11:00,50
2019-03-15 12:12:00,46
2019-03-15 12:25:00,21
2019-03-15 12:26:00,47
2019-03-15 12:27:00,34
2019-03-15 12:28:00,31
2019-03-15 12:29:00,33
2019-03-15 12:30:00,27
2019-03-15 12:31:00,28
2019-03-15 12:32:00,30
2019-03-15 12:33:00,29
2019-03-15 12:34:00,26
2019-03-15 12:35:00,24
2019-03-15 12:36:00,32
2019-03-15 12:37:00,28
2019-03-15 12:38:00,26
2019-03-15 12:39:00,18
2019-03-15 14:43:00,12
2019-03-15 14:44:00,9
2019-03-15 14:45:00,14
2019-03-15 14:46:00,6
2019-03-15 14:53:00,4
2019-03-15 14:54:00,10
2019-03-15 14:55:00,7
2019-03-15 14:56:00,12
2019-03-15 14:57:00,8
2019-03-15 14:58:00,6
2019-03-15 14:59:00,7
2019-03-15 15:00:00,12
2019-03-15 15:01:00,8
2019-03-15 15:02:00,11
2019-03-15 15:03:00,10
2019-03-15 15:04:00,12
2019-03-15 15:05:00,25
2019-03-15 15:06:00,23
2019-03-15 15:07:00,21
2019-03-15 15:08:00,23
2019-03-15 15:09:00,7
