38,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-07-01 02:44:00,1
2019-07-01 02:45:00,1
2019-07-01 02:46:00,1
2019-07-01 03:05:00,1
2019-07-01 03:07:00,1
2019-07-01 03:10:00,1
2019-07-01 03:11:00,1
2019-07-01 03:59:00,1
2019-07-01 04:02:00,1
2019-07-01 04:05:00,1
2019-07-01 11:57:00,1
2019-07-01 11:59:00,1
2019-07-01 12:04:00,2
2019-07-01 12:06:00,2
2019-07-01 12:08:00,2
2019-07-01 12:10:00,1
2019-07-01 12:11:00,1
2019-07-01 12:44:00,1
2019-07-01 12:45:00,2
2019-07-01 12:46:00,2
2019-07-01 12:50:00,1
2019-07-01 12:51:00,2
2019-07-01 12:52:00,1
2019-07-01 12:53:00,2
2019-07-01 14:58:00,1
2019-07-01 15:01:00,2
2019-07-01 15:04:00,1
2019-07-03 14:02:00,3
