21,"SELECT EID, [Wears_glasses_or_contact_lenses_#], [Age_started_wearing_glasses_or_contact_lenses_#], [Reason_for_glasses_contact_lenses_#], [Which_eye_s_affected_by_myopia_short_sight__#], [Which_eye_s_affected_by_hypermetropia_long_sight__#], [Which_eye_s_affected_by_presbyopia_#], [Which_eye_s_affected_by_astigmatism_#], [Which_eye_s_affected_by_strabismus_squint__#], [Which_eye_s_affected_by_amblyopia_lazy_eye__#], [Which_eye_s_affected_by_other_eye_condition_#], [Which_eye_s_affected_by_other_serious_eye_condition_#], [Other_eye_problems_#], [Eye_problems_disorders_#], [Which_eye_s_affected"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:26:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
